,,,Sharing out HC, Full-time ,13.2933121349378,15.973038865468,13.9754058269017,12.9770003062101,15.7217107623714,14.1816095861307,12.8983022697167,12.3490920232018,10.2655112185946,9.85258416160159,14.4370076919519,14.8868632849032,,,,,,Sharing out HC,Full-time,3.6975943126293,2.13066736418841,4.16309076284124,4.38703606404878,3.56161992191156,4.60789931929713,5.02379910978465,4.79874923381688,2.94139674146988,4.57790415395251,3.72299082285426,3.88880073212096
,,,,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional POKKT Brand Allocation%,,,,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,Regional POKKT App Allocation%,,,,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
Local brand GP/ TT: brand GP,,,,,,,,,,,,,,,,,,,Local App GP/ TT: App GP,,,,,,,,,,,,,,,,
,Vietnam,,,,0.000982466099071569,1.77855648219726e-05,0.0403706358602594,0,0.0814379187736889,0.0718201022229236,0.0408330261404283,0.0198550145141272,0.0197527878543598,0.0331307302550394,0.020374423874339,0.0600339844830538,,,,Vietnam,,,,0,0,0,0,0,0,0,0,0,0,0,0
,Hong Kong,,,,0.0235479969777471,0.0133471278046825,0.0055153040270714,0.00266887189059185,0.00417565810595224,0.0163077128531364,0,0.0102637468777749,0.0260029557973935,0.0153879336253929,0,0,,,,Hong Kong,,,,0.0112195712462032,0.0128682504513376,0.0403417765155867,0.00691220423948526,-0.0681263732935365,0.0125798110917629,0.00284731691837977,0.00581855007062209,0.006891139799856,0.00108644234318062,0.0190736691512969,0.00369418837002334
,Singapore,,,,0.0545931459734094,0.108838748019685,0.0251661866064223,0,0,0.000637375711736211,0.00323869091262623,0.00685461466160533,0,0,0,0,,,,Singapore,,,,0,0,0,0,0,0,0,0,0,0,0,0
,Indonesia,,,,0.147584341985532,0.0755779600644391,0.133714262914331,0.138494009746732,0.153766582054352,0.102517330549114,0.080525725211558,0.10742790970603,0.0925325809485422,0.106951796025019,0.153503768902316,0.152419089268543,,,,Indonesia,,,,0.196119646080028,0.0883698506482849,0.191424397130521,0.102429822823624,0.199219115695333,0.182992981900691,0.164376806373873,0.188680921374066,0.158873342450411,0.217990237613777,0.193691423554945,0.261342837472503
,Taiwan,,,,0.00290451287225523,0,0.0018620535938477,0.00436137395593693,0.0132961008946396,0.0129994293969818,0.0151523744323682,0.00220957465038868,0.00109633212414349,0,0,0,,,,Taiwan,,,,0.113686886472685,0.057519899885114,0.113145755700379,0.106060345050344,0.0525307149662149,0.0428790037465041,0.0193694736751828,0.028022314805767,0.0310310806023366,0.0275353353675969,0.0272672589678352,0.0107635215690225
,Philippines,,,,0.165303819843787,0.232953228132512,0.218256173996671,0.215022194079225,0.185104994028361,0.256285738566693,0.273917499463256,0.263676773761365,0.18639527072417,0.179323171356945,0.360535199543723,0.271404296797818,,,,Philippines,,,,0.0733701633138178,0.0818203266043,0.20447494131359,0.15456205479806,0.137750634675007,0.170951400981478,0.143279217159372,0.122660365458244,0.0723664913089356,0.179574883948204,0.142270144607106,0.126756838446425
,Malaysia,,,,0,0.0164142627757705,0.0157234921785837,0.0193902997329486,0.00526082578519503,-0.00123832995423035,0.00431420365471787,0,0,0.0300298070497385,0.0087440075223899,0,,,,Malaysia,,,,0.00710371087731654,0.00337477433119973,0.21693451745818,0.0861333861618101,0.0305525114406709,0.0524457812252651,0.0823620723664462,0.080704621971911,0.0464590055273874,0.0655348259353021,0.0515188216837501,0.0238527026346279
,Cambodia,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,Cambodia,,,,0,0,0,0,0,0,0,0,0,0,0,0
MMPL,,,,,,,,,,,,,,,,,,,MMPL,,,,,,,,,,,,,,,,
,"Global (Maiden Marketing SG) - China, LATAM, Singapore",,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,"Global (Maiden Marketing SG) - China, LATAM, Singapore",,,,0.111463881674516,0.249697398654193,0.110363281185875,0.127076891273826,0.149331732649004,0.0929080259616906,0.158660731897668,0.15043838999387,0.251330420439524,0.160143680700313,0.158779252660071,0.181544170738669
