Unnamed: 0,Rough calculation only ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
為替レート,JPY,JP,SG,TH,HK,CB,TW,MY,PH,VN,ID,IN,KR,Arche,DDI,Total,,
154.257427880796,Jan,31535197.6886067,9780351.30586625,6661727.34382592,5672292.43506147,78657.4050506967,1729327.57644612,991261.316710553,1234028.57156079,2025703.91520777,1379448.59139829,2056125.02256014,30126.4756651194,0,3606017.27374677,66780264.9217066,,
149.697013245191,Feb,30948652.4274867,8183149.80479509,6126634.69138463,3563359.26085602,59944.6719839045,2051184.40276879,1249238.04220258,1459433.60638068,2260574.59701564,875163.169744437,1630666.03195133,63447.582093842,0,5988600.57244138,64460048.8611051,,
149.8450602,Mar,31898247.7102171,7981067.07623022,4334923.18919807,3380461.10304454,60696.240084612,2108264.55434172,1155931.76649363,1544497.98899946,2039374.78636537,1256131.65979877,413768.663180862,78637.189142358,0,3155792.41048427,59407794.3375811,,
142.3499702,Apr,33296453.7661134,6802919.31085502,6534976.80894696,3427605.07445414,57045.327057948,1772423.67845513,1044989.70773849,1347096.20249455,2000143.77278347,1298626.03764145,1652277.45660693,101202.287813987,0,4490589.24192562,63826348.6728871,,
144.0650252,May,34606372.5747817,6683339.31250647,6754928.10482886,3637104.523756,61573.39177048,1725723.24256525,1055511.13558107,1505538.58000033,2153573.31700522,1128367.70012522,1689557.15863904,106151.432518116,0,4510889.15524929,65618629.6293271,,
144.6579274,Jun,36001961.5617246,6906522.04735866,8292211.90655746,3880068.45215593,67819.976102942,1778573.55712082,1171698.83377524,1701295.84572446,2475097.137814,1380056.87950583,1897470.80080942,142994.3612349,0,4353037.67184515,70048809.0317295,,
149.5114713,Jul,32398039.9116253,6854329.47991308,8324393.54589677,4114778.46226823,60707.637806652,1847598.47239274,1153108.71751596,1729592.05832507,2447425.03921592,1335372.17171894,1929669.80433345,152663.173115004,0,4311412.95909257,66659091.4332198,,
147.0540659,Aug,31170951.8225988,6654775.87499464,8422396.62846648,3935256.50646419,67359.585426154,1838005.24103355,1188032.15191819,1878443.63861539,2559427.48914775,1313641.32338799,1887043.36038922,146696.724519863,0,4529553.45568916,65591583.8026514,,
147.8142,Sep,29983953.786948,6694484.42401199,8834250.17392199,3899983.065912,73481.395104,1940328.91870199,1224399.709854,1974092.638266,2608792.03164599,1276040.078766,1887495.68919599,155318.726934,0,4872801.529224,65425422.1684859,,
154.1304653,Oct,30961270.101982,6850390.18244462,8870755.44116681,4150251.00217261,69363.333298959,1945232.82210705,1207023.41724805,2106003.22785218,2529979.1465808,1278316.46397256,1945033.99380682,139190.599298471,0,4630093.04935387,66682902.7812848,,
156.1650852,Nov,29350745.2132267,6656305.6323239,8883146.34968585,4090357.1174027,70667.8243547039,1854232.3857256,1158646.54818032,2188264.81801585,2579167.88938338,1223367.60609061,1816862.08083724,110104.193320259,0,4688592.76413601,64670460.4226831,,
156.2998206,Dec,19764626.5412797,4636901.45079222,6114311.43802987,2794443.85455404,52899.67428207,1345141.26405489,843728.313573684,1415230.79260655,1933917.99926047,900965.307877404,1267886.95172693,79072.0792415399,0,3230976.74950419,44380102.4167836,,
,Total,371916473.106591,84684535.9020922,88154655.6219097,46545960.8581019,780216.462323122,21936036.1157137,13443569.6607918,20083517.9688413,27613177.1214258,14645496.9900275,20073857.0140374,1305604.82489746,0,52368356.8326923,763551458.479445,,
,,,,,,,,,,,,,,,,,,
,割合,0.487087633683831,0.110908747487346,0.115453457187368,0.0609598218184202,0.00102182564601063,0.0287289558183775,0.0176066321549089,0.0263027694411535,0.0361641338180603,0.0191807596297346,0.0262901167840252,0.00170991072101083,0,0.0685852358097513,1,,
,,,,,,,,,,,,,,,,,,
,"**Due to the exchange rate, the total JPY amount does not exactly match the actual recharge numbers.**",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
為替レート,JPY,JP,SG,TH,HK,CB,TW,MY,PH,VN,ID,IN,KR,Arche,DDI,Total,,
154.257427880796,Jan,33063580.81165247,9780351.30586625,6661727.34382592,5672292.43506147,78657.4050506967,1729327.57644612,991261.316710553,1234028.57156079,2025703.91520777,1379448.59139829,2056125.02256014,30126.4756651194,0,3606017.27374677,68308648.04475237,,
149.697013245191,Feb,31137874.789140247,8183149.80479509,6126634.69138463,3563359.26085602,59944.6719839045,2051184.40276879,1249238.04220258,1459433.60638068,2260574.59701564,875163.169744437,1630666.03195133,63447.582093842,0,5988600.57244138,64649271.22275857,,
149.8450602,Mar,31917789.72879624,7981067.07623022,4334923.18919807,3380461.10304454,60696.240084612,2108264.55434172,1155931.76649363,1544497.98899946,2039374.78636537,1256131.65979877,413768.663180862,78637.189142358,0,3155792.41048427,59427336.35616012,,
142.3499702,Apr,33337795.836819883,6802919.31085502,6534976.80894696,3427605.07445414,57045.327057948,1772423.67845513,1044989.70773849,1347096.20249455,2000143.77278347,1298626.03764145,1652277.45660693,101202.287813987,0,4490589.24192562,63867690.74359357,,
144.0650252,May,34549995.51499682,6683339.31250647,6754928.10482886,3637104.523756,61573.39177048,1725723.24256525,1055511.13558107,1505538.58000033,2153573.31700522,1128367.70012522,1689557.15863904,106151.432518116,0,4510889.15524929,65562252.56954216,,
