,Month,🔗 管理部門コスト実績共有,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,
,Q1,2025Q1 管理部門コスト,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total
,,,,広告宣伝費,,,50000,,428786,480975,959761,,,,広告宣伝費,1867,,,,417792,450000,869659,,,,広告宣伝費,,,,,420643,6285,426928,,,,広告宣伝費,1867,,50000,,1267221,937260,2256348,,,,広告宣伝費,,,,,126991,,126991,,,,広告宣伝費,171,,,,133836,2500,136507,,,,広告宣伝費,2860,,,,-3696768,9282,-3684626,,,,広告宣伝費,,,,,50393,10800,61193,,,,広告宣伝費,,,,,103444,5718,109162,,,,広告宣伝費,,,,,139392,12000,151392,,,,広告宣伝費,,,,,132584,4317676,4450260,,,,広告宣伝費,210,,,,134566,2593199,2727975,,,,広告宣伝費,,,,,159992,,159992
,,,,業務委託費,,2481119,,774875,,46100,3302094,,,,業務委託費,,2134616,,755283,,,2889899,,,,業務委託費,,2994937,60000,931349,,154000,4140286,,,,業務委託費,,7610672,60000,2461507,,200100,10332279,,,,業務委託費,,2967068,,793807,,106463,3867338,,,,業務委託費,,3787447,,460327,,1144000,5391774,,,,業務委託費,,3355153,,908551,200000,249333,4713037,,,,業務委託費,,2601050,,2639478,,322667,5563195,,,,業務委託費,,2520126,,1205770,,681757,4407653,,,,業務委託費,,2402959,,902050,,536790,3841799,,,,業務委託費,,1285716,3120525,420885,,481429,5308555,,,,業務委託費,,1287425,,972302,,1577630,3837357,,,,業務委託費,,1869865,3344151,762378,,242140,6218534
,,,,社内会食,,139755,45818,,,90423,275996,,,,社内会食,,184504,39082,,,66628,290214,,,,社内会食,,156734,125404.54546,2364,,42968,327470.54546,,,,社内会食,,480993,210304.54546,2364,,200019,893680.5454599999,,,,社内会食,27799,443727,234813.363644,,,136203,842542.363644,,,,社内会食,4655,55655,38633.909090999994,,,-1030817,-931873.090909,,,,社内会食,13096,132492,272204.181815,,,297889,715681.181815,,,,社内会食,,74557,16763.636363,35040,3909,1493598,1623867.6363630001,,,,社内会食,,74439,47667.090909,6150,,1908583,2036839.090909,,,,社内会食,6218,79138,330913,5236,,963830,1385335,,,,社内会食,,231405,197202,,,1892698,2321305,,,,社内会食,,159976,128079,,18182,345825,652062,,,,社内会食,,96581,27436,97851,,,221868
,,,,銀行関係（振込手数料）,,,,,,557649,557649,,,,銀行関係（振込手数料）,,,,,,889199,889199,,,,銀行関係（振込手数料）,,,,,,927425,927425,,,,銀行関係（振込手数料）,,,,,,2374273,2374273,,,,銀行関係（振込手数料）,,,,,,774879,774879,,,,銀行関係（振込手数料）,,,,,,542507,542507,,,,銀行関係（振込手数料）,,,,,,704992,704992,,,,銀行関係（振込手数料）,,,,,,743520,743520,,,,銀行関係（振込手数料）,,,,,,703393,703393,,,,銀行関係（振込手数料）,,,,,,486998,486998,,,,銀行関係（振込手数料）,,,,,,573725,573725,,,,銀行関係（振込手数料）,,,,,,733745,733745,,,,銀行関係（振込手数料）,,,,,,509619,509619
,,,,Grand Total,4171477,2917356,12449229.909050906,1020875,471986,71471428,92502351.90905087,,,,Grand Total,3843242.2726993603,3186195,8591148.2,2521283,417792,75309384,93869044.47269933,,,,Grand Total,3938615,3306252,14941821.455045698,1184540,425907,76942894,100740029.45504569,,,,Grand Total,11953334.27269936,9409803,35982199.564096585,4726698,1315685,223723706,287111425.83679575,,,,Grand Total,4127919,4748346,15186506.545404097,1045849,264577,76077586.2727,101450783.8181041,,,,Grand Total,3376778.08,4261134,12604198.6363944,742326,133836,133382728,154501000.71639442,,,,Grand Total,3687187.6363789,5047209,11662543.727331601,1220484,-3496768,127366504,145487160.3637105,,,,Grand Total,3483908,3019494,12990770.181965495,2896486,72502,128692377,151155537.18196553,,,,Grand Total,4034261.0909239994,3510183,9281601.6362159,3768767,103444,146195345,166893601.7271399,,,,Grand Total,3731117,2798723,7288398,1407215,139392,142337440,157702285,,,,Grand Total,3561889.72729,1857980,12291357,938950,132584,121477266,140260026.72729,,,,Grand Total,3522289.818141,34854937,11036605,1472122,155146,139619910,190661009.81814098,,,,Grand Total,3740740.9091049996,2289217,29161485,1359966,150730,131182665,167884803.909105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(千円),Jan,,,,,,,,,,(千円),Feb,,,,,,,,,,(千円),Mar,,,,,,,,,,(千円),25Q1,,,,,,,,,,(千円),Apr,,,,,,,,,,(千円),May,,,,,,,,,,(千円),June,,,,,,,,,,(千円),July,,,,,,,,,,(千円),Aug,,,,,,,,,,(千円),Sep,,,,,,,,,,(千円),Oct,,,,,,,,,,(千円),Nov,,,,,,,,,,(千円),Dec,,,,,,
,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,カテゴリー,Engineer,Finance,HR,Legal,PR,共通系,Grand Total
,,,,人件費,33063.58081165247,6621.467721211396,8944.5,1515.658,2002.615,-19978.596,32169.225532863868,,,,人件費,31137.874789140256,6595.694641646706,8392.267,1501.5250000000003,2075.949,1089.828,50793.13843078697,,,,人件費,31917.789728796244,6624.988154901319,8426.199,2046.057,1321.963,-3124.5909999999994,47212.40588369757,,,,人件費,96119.24532958897,19842.150517759423,25762.966,5063.24,5400.527,-22013.359,130174.76984734839,,,,人件費,33337.79583681989,7572.692692535952,9746.503000000002,2006.3560000000002,1321.881,4818.620000000001,58803.84852935585,,,,人件費,34549.99551499682,8042.535054482557,9805.312,1951.363,1312.531,4480.901999999986,60142.638569479364,,,,人件費,35949.06142758257,7913.777093815448,8891.016,1926.455,1311.8329999999999,-4128.771,51863.371521398025,,,,人件費,32268.34063326963,7121.202464824208,8722.029,1941.0360000000003,1355.5560000000003,7417.513,58825.67709809384,,,,人件費,31312.40254069556,7676.955899908088,7526.741999999985,1938.4659999999851,1450.399,6977.259999999985,56882.2254406036,,,,人件費,30077.44989882113,6934.791,7284.802999999999,1960.6189999999997,1459.708,-3503.7599999999848,44213.61089882114,,,,人件費,29812.34782938966,6967.484,6964.851999999999,1938.466,1424.112,6887.695,53994.95682938966,,,,人件費,29720.88935619039,7047.673,7362.554,1963.102,1442.8440000000003,5631.005999999985,53168.06835619038,,,,人件費,20104.301565945803,6290.592,7028.5269999999855,1793.838,1333.8290000000002,-9566.591999999986,26984.495565945803
