,Month,🔗 管理部門コスト実績共有,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,,,,,SUM of Amount,BU Level Dept,,,,,,
,Q1,2025Q1 管理部門コスト,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total,,,,科目,Engineer,Finance,HR,Legal,PR,共通系,Grand Total
,,,,IT費用,4171.477,184.682,113.65345450000001,246,,13566.246,18282.0584545,,,,IT費用,3338.9362726993604,164.573,45.923,186,,15679.722,19415.15427269936,,,,IT費用,3938.615,188.449,166.30327273,246,,12374.412,16913.77927273,,,,IT費用,11449.028272699361,537.704,325.87972723,678,,41620.380000000005,,,,,IT費用,4013.743,230.461,131.15645454200003,252.042,,15171.528,19798.930454542002,,,,IT費用,3323.67108,194.351,113.320454549,251.938,,13036.871,16920.151534549,,,,IT費用,3538.3646363789003,201.763,30.363636362999998,311.933,,13889.035,17971.4592727419,,,,IT費用,3483.908,206.899,51.849,221.968,,15944.953,19909.576999999997,,,,IT費用,4034.2610909239993,410.717,25.486,2436.047,,12155.142,19061.653090924,,,,IT費用,3724.899,198.455,25.415,36.079,,12457.921,16442.769,,,,IT費用,3561.88972729,202.17,68.349,36.205,,13098.31,16966.92372729,,,,IT費用,3513.145818141,142.722,26.293,39.493,,16104.183,19825.836818141,,,,IT費用,3072.3069091049997,181.948,24.89,39.572,,19131.78,22450.496909104997
,,,,オフィス費用,,,,,,7733.152,7733.152,,,,オフィス費用,,,,,,9076.985,9076.985,,,,オフィス費用,,,,0.372,,10035.872,10036.243999999999,,,,オフィス費用,,,,,,26846.009000000002,,,,,オフィス費用,,,,,,9305.543,9305.543,,,,オフィス費用,,88.739,,,,18108.923,18197.662,,,,オフィス費用,,,,,,12721.952,12721.952,,,,オフィス費用,,10,,,,7409.527,7419.527,,,,オフィス費用,,,,,,26932.084,26932.084,,,,オフィス費用,,,,,,24856.181,24856.181,,,,オフィス費用,,,,19.432,,19198.168,19217.600000000002,,,,オフィス費用,,,,,,33492.4,33492.4,,,,オフィス費用,,,,,,25105.499,25105.499
,,,,交通費および宿泊費,,3,65.067000002,,,4.782,72.849000002,,,,交通費および宿泊費,502.439,4.636,1056.4691,,,,1563.5441,,,,交通費および宿泊費,,105.247,627.9070909398002,4.455,3,882.896,1623.5050909398,,,,交通費および宿泊費,,112.883,1749.4431909418004,,,,,,,,交通費および宿泊費,86.377,115.757,759.4239090501001,,137.586,992.4032727,2091.5471817501,,,,交通費および宿泊費,48.281,42.609,944.7191818219003,,,231.3,1266.9091818219003,,,,交通費および宿泊費,132.867,239.467,191.53490908810002,,,587.994,1151.8629090881,,,,交通費および宿泊費,,-4.168,532.9487272729999,,,800.684,1329.4647272729999,,,,交通費および宿泊費,,176.592,1432.2669090304003,,,1283.155,2892.0139090304,,,,交通費および宿泊費,,7.835,3232.787,,,1190.913,4431.535,,,,交通費および宿泊費,,2.051,311.452,,,1154.9,1468.403,,,,交通費および宿泊費,,,121.765,,2.398,1149.114,1273.277,,,,交通費および宿泊費,668.434,40.823,490.318,,,,1199.5749999999998
,,,,人材採用 ,,,11654.696454548912,,,198,11852.696454548912,,,,人材採用 ,,,7258.4430999999995,1080,,198,8536.4431,,,,人材採用 ,,2115.75,13653.0785459159,,,198,15966.8285459159,,,,人材採用 ,,,32566.21810046481,,,594,,,,,人材採用 ,,,13928.349272718002,,,198,14126.349272718002,,,,人材採用 ,,,11449.4250909325,,,1798,13247.4250909325,,,,人材採用 ,,,11110.3410000655,,,1198,12308.3410000655,,,,人材採用 ,,,12444.770818329493,,,1790.5,14235.270818329493,,,,人材採用 ,,,7439.2136362765,,,,7439.2136362765,,,,人材採用 ,,,3588.397,,,1751.75,5340.147,,,,人材採用 ,,4.727,8531.486,,,,8536.213000000002,,,,人材採用 ,,,10592.442,,,,10592.442,,,,人材採用 ,,,25261.046,,,,25261.046
,,,,会計士、税理士、監査法人、社労士,,100,,,,20,120,,,,会計士、税理士、監査法人、社労士,,610,,500,,1600,2710,,,,会計士、税理士、監査法人、社労士,,-2426.999,,,,20,-2406.999,,,,会計士、税理士、監査法人、社労士,,-1716.9989999999998,,,,1640,,,,,会計士、税理士、監査法人、社労士,,900,,,,850,1750,,,,会計士、税理士、監査法人、社労士,,100,,15.5,,1000.955,1116.455,,,,会計士、税理士、監査法人、社労士,,1150,,,,1297.213,2447.2129999999997,,,,会計士、税理士、監査法人、社労士,,100,,,,30,130,,,,会計士、税理士、監査法人、社労士,,250,,20,,,270,,,,会計士、税理士、監査法人、社労士,,100,,460.327,,2809.53,3369.857,,,,会計士、税理士、監査法人、社労士,,100,,460.327,,822.8,1383.127,,,,会計士、税理士、監査法人、社労士,,33250,,460.327,,3697.2,37407.526999999995,,,,会計士、税理士、監査法人、社労士,,100,,455.164,,3444.75,3999.9139999999998
,,,,家賃系,,,,,,46954.935,46954.935,,,,家賃系,,,,,,46893.381,46893.381,,,,家賃系,,,,,,46831.746,46831.746,,,,家賃系,,,,,,140680.06199999998,,,,,家賃系,,,,,,46770.027,46770.027,,,,家賃系,,,,,,94809.468,94809.468,,,,家賃系,,,,,,94747.128,94747.128,,,,家賃系,,,,,,96713.145,96713.145,,,,家賃系,,,,,,96641.793,96641.793,,,,家賃系,,,,,,96570.343,96570.343,,,,家賃系,,,,,,77822.416,77822.416,,,,家賃系,,,,,,77190.055,77190.055,,,,家賃系,,,,,,76628.912,76628.912
,,,,広告宣伝費,,,50,,428.786,480.975,959.761,,,,広告宣伝費,1.867,,,,417.792,450,869.659,,,,広告宣伝費,,,,,420.643,6.285,426.928,,,,広告宣伝費,,,,,1267.221,937.26,,,,,広告宣伝費,,,,,126.991,,126.991,,,,広告宣伝費,0.171,,,,133.836,2.5,136.507,,,,広告宣伝費,2.86,,,,-3696.768,9.282,-3684.6259999999997,,,,広告宣伝費,,,,,50.393,10.8,61.193,,,,広告宣伝費,,,,,103.444,5.718,109.162,,,,広告宣伝費,,,,,139.392,12,151.392,,,,広告宣伝費,,,,,132.584,4317.676,4450.26,,,,広告宣伝費,0.21,,,,134.566,2593.199,2727.975,,,,広告宣伝費,,,,,159.992,,159.992
,,,,業務委託費,,2481.119,,774.875,,46.1,3302.094,,,,業務委託費,,2134.616,,755.283,,,2889.899,,,,業務委託費,,2994.937,60,931.349,,154,4140.286,,,,業務委託費,,7610.6720000000005,,2461.507,,,,,,,業務委託費,,2967.068,,793.807,,106.463,3867.338,,,,業務委託費,,3787.447,,460.327,,1144,5391.774,,,,業務委託費,,3355.153,,908.551,200,249.333,4713.036999999999,,,,業務委託費,,2601.05,,2639.478,,322.667,5563.195000000001,,,,業務委託費,,2520.126,,1205.77,,681.757,4407.653,,,,業務委託費,,2402.959,,902.05,,536.79,3841.799,,,,業務委託費,,1285.716,3120.525,420.885,,481.429,5308.555,,,,業務委託費,,1287.425,,972.302,,1577.63,3837.357,,,,業務委託費,,1869.865,3344.151,762.378,,242.14,6218.534
,,,,社内会食,,139.755,45.818,,,90.423,275.996,,,,社内会食,,184.504,39.082,,,66.628,290.214,,,,社内会食,,156.734,125.40454546,2.364,,42.968,327.47054546,,,,社内会食,,480.99300000000005,210.30454545999999,,,200.019,,,,,社内会食,27.799,443.727,234.813363644,,,136.203,842.5423636439999,,,,社内会食,4.655,55.655,38.63390909099999,,,-1030.817,-931.873090909,,,,社内会食,13.096,132.492,272.204181815,,,297.889,715.6811818150001,,,,社内会食,,74.557,16.763636363,35.04,3.909,1493.598,1623.867636363,,,,社内会食,,74.439,47.667090908999995,6.15,,1908.583,2036.839090909,,,,社内会食,6.218,79.138,330.913,5.236,,963.83,1385.335,,,,社内会食,,231.405,197.202,,,1892.698,2321.3050000000003,,,,社内会食,,159.976,128.079,,18.182,345.825,652.062,,,,社内会食,,96.581,27.436,97.851,,,221.868
,,,,銀行関係（振込手数料）,,,,,,557.649,557.649,,,,銀行関係（振込手数料）,,,,,,889.199,889.199,,,,銀行関係（振込手数料）,,,,,,927.425,927.425,,,,銀行関係（振込手数料）,,,,,,2374.273,,,,,銀行関係（振込手数料）,,,,,,774.879,774.879,,,,銀行関係（振込手数料）,,,,,,542.507,542.507,,,,銀行関係（振込手数料）,,,,,,704.992,704.992,,,,銀行関係（振込手数料）,,,,,,743.52,743.52,,,,銀行関係（振込手数料）,,,,,,703.393,703.393,,,,銀行関係（振込手数料）,,,,,,486.998,486.998,,,,銀行関係（振込手数料）,,,,,,573.725,573.725,,,,銀行関係（振込手数料）,,,,,,733.745,733.745,,,,銀行関係（振込手数料）,,,,,,509.619,509.619
,,,,その他,,8.8,519.995,,43.2,1819.166,2391.161,,,,その他,,87.866,191.231,,,455.469,734.566,,,,その他,,172.134,309.128,,2.264,5469.29,5952.816,,,,その他,,268.79999999999995,1020.354,,,7743.924999999999,,,,,その他,,91.333,132.76354545,,,1772.54,1996.63654545,,,,その他,,-7.667,58.1,14.561,,3739.021,3804.0150000000003,,,,その他,,-31.666,58.1,,,1663.686,1690.12,,,,その他,,31.156,-55.562,,18.2,3432.983,3426.777,,,,その他,,78.309,336.968,100.8,,5883.72,6399.7970000000005,,,,その他,,10.336,110.886,3.523,,701.184,825.929,,,,その他,,31.911,62.343,2.101,,2115.144,2211.499,,,,その他,8.934,14.814,168.026,,,2736.559,2928.333,,,,その他,,,13.644,5.001,-9.262,6119.965,6129.348
,,,,Grand Total,37235.05781165247,9538.823721211395,21393.729909050908,2536.533,2474.6009999999997,51492.83199999999,124671.5774419148,,,,Grand Total,34981.11706183961,9781.889641646709,16983.4152,4022.8080000000004,2493.741,76399.21199999998,144662.18290348633,,,,Grand Total,35856.404728796246,9931.24015490132,23368.0204550457,3230.5969999999998,1747.87,73818.30299999999,147952.43533874323,,,,Grand Total,,,,,,,,,,,Grand Total,37465.71483681989,12321.038692535953,24933.009545404107,3052.205,1586.458,80896.20627269999,160254.63234745993,,,,Grand Total,37926.77359499683,12303.669054482558,22409.5106363944,2693.689,1446.367,137863.63,214643.6392858738,,,,Grand Total,39636.24906396147,12960.986093815449,20553.559727331598,3146.939,-2184.9350000000004,123237.733,197350.53188510853,,,,Grand Total,35752.24863326963,10140.69646482421,21712.799181965493,4837.522,1428.0580000000004,136109.89,209981.21428005933,,,,Grand Total,35346.66363161956,11187.138899908088,16808.343636215886,5707.232999999985,1553.8429999999998,153172.605,223775.82716774353,,,,Grand Total,33808.56689882113,9733.514000000001,14573.201,3367.834,1599.1000000000001,138833.68000000002,201915.89589882112,,,,Grand Total,33374.23755667966,8825.464000000002,19256.209000000003,2877.4159999999997,1556.6960000000001,128364.96100000001,194254.98355667965,,,,Grand Total,33243.17917433139,41902.61,18399.159000000003,3435.224,1597.9900000000002,145250.916,243829.07817433137,,,,Grand Total,23845.042475050803,8579.809000000001,36190.01199999999,3153.804,1484.5590000000002,121616.07300000002,194869.2994750508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Check,,,,,,,8.731149137020111e-11,,,,Check,,,,,,,1.4551915228366852e-10,,,,Check,,,,,,,0,,,,Check,,,,,,,,,,,Check,,,,,,,0,,,,Check,,,,,,,2.1827872842550278e-10,,,,Check,,,,,,,1.673470251262188e-10,,,,Check,,,,,,,1.8189894035458565e-10,,,,Check,,,,,,,2.3283064365386963e-10,,,,Check,,,,,,,1.0913936421275139e-10,,,,Check,,,,,,,2.764863893389702e-10,,,,Check,,,,,,,0.0004389503301354125,,,,Check,,,,,,,6.973153358558193e-05
