,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,
,,GROVE,196217.015,195235.441009928,-981.5739900720073,,,,,,,GROVE,213243.548,215292.41945919266,2048.8714591926546,,,,,,,GROVE,122193.166,103057.693385969,-19135.472614030994,,,,,,,GROVE,254272.659,195235.441009928,-59037.21799007201,,,,,,,GROVE,171511.208,163697.7077926,-7813.500207400008,,,,,,,GROVE,119124.936,116064.15264760646,-3060.7833523935406,,,,,,,DX / AI,30238.597,30592.071,353.47399999999834,,,,,,,DX / AI,41546.529,40927.356999999996,-619.1720000000059,,,,,,,GEC,25721.941,25990.398,268.45700000000215,,,,,,,GEC,35198.763,36106.719,907.9559999999983,,
,,ENGAWA,96817.948,93406.0238773054,-3411.9241226946033,,,,,,,ENGAWA,49774.227,47472.72008752108,-2301.5069124789225,,,,,,,ENGAWA,43936.643,38947.9431938254,-4988.699806174598,,,,,,,ENGAWA,62027.226,93406.0238773054,31378.7978773054,,,,,,,ENGAWA,35503.312,33585.051766995544,-1918.2602330044538,,,,,,,ENGAWA,34577.045,34304.86117244045,-272.183827559551,,,,,,,GROVE,170595.55,176786.27234144547,6190.722341445478,,,,,,,GROVE,169338.234,152166.22536261374,-17172.008637386258,,,,,,,DX / AI,36600.697,36971.144,370.4470000000001,,,,,,,DX / AI,24056.474,20735.249,-3321.2249999999985,,
,,LYFT,105057.252,105057.252,0,,,,,,,LYFT,93772.789,99795.86006148529,6023.071061485287,,,,,,,LYFT,80632.769,84992.7734418601,4360.004441860103,,,,,,,LYFT,88167.007,104385.741156247,16218.734156246996,,,,,,,LYFT,105827.958,104752.44553288011,-1075.5124671198864,,,,,,,LYFT,110083.926,110083.926,0,,,,,,,ENGAWA,112049.082,111262.52755748463,-786.5544425153639,,,,,,,ENGAWA,31752.579,28932.898660261686,-2819.6803397383155,,,,,,,GROVE,140072.183,132834.49536364223,-7237.687636357761,,,,,,,GROVE,144346.653,136723.47602151128,-7623.176978488715,,
,,AnyReach,37241.295,33017.9798549506,-4223.315145049397,,,,,,,AnyReach,18727.054,18096.410081576134,-630.6439184238661,,,,,,,AnyReach,25557.857,25401.7273275375,-156.129672462499,,,,,,,AnyReach,27308.801,33017.9798549506,5709.178854950602,,,,,,,AnyReach,24529.437,24529.453984730408,0.01698473040596582,,,,,,,AnyReach,17483.542,13511.767350847029,-3971.7746491529724,,,,,,,LYFT,91466.977,91466.97699999998,0,,,,,,,LYFT,95452.89,95452.83794755577,-0.05205244422541,,,,,,,ENGAWA,49770.586,48692.32255457419,-1078.263445425815,,,,,,,ENGAWA,53838.896,53697.31580077789,-141.5801992221095,,
,,Total,1338074.705,1359591.233101666,21516.528101665783,,,,,,,Total,1017907.0779999999,949779.2958001799,-68127.78219981992,,,,,,,Total,826003.262,1094763.8673624976,268760.6053624976,,,,,,,Total,1277918.741,1358919.7222579129,81000.98125791294,,,,,,,Total,903647.7660000001,891379.7575834591,-12268.00841654092,,,,,,,Total,842109.648,828210.8142152047,-13898.833784795366,,,,,,,AnyReach,18647.953,16583.77583153953,-2064.177168460472,,,,,,,AnyReach,18246.566,18951.05066559295,704.4846655929505,,,,,,,LYFT,76108.668,76039.09540586823,-69.57259413177962,,,,,,,LYFT,54970.217,59573.071130211625,4602.854130211628,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,1041993.7219999998,1032064.4061943217,-9929.31580567814,,,,,,,Total,852083.8450000001,852389.5708150275,305.7258150273701,,,,,,,AnyReach,0,16465.44627282111,16465.44627282111,,,,,,,Total,935712.7679999999,904619.5361134749,-31093.231886525056,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,813062.8499999999,840140.820538525,27077.970538525144,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,,,,,粗利差額は下記の通り：,,,,,,
,BM,,,合計,"+2,811",,,,,,BM,,,合計,"△36,974",,,,,,GROVE,,,合計,"△19,488",,,,,,BM,,,合計,"△9,488",,,,,,BM,,,合計,"△4,989",,,,,,BM,,,合計,"△26,202",,,,,,CG,,,合計,"+27,311",,,,,,BM,,,合計,"+9,487",,,,,,AnyReach,,,,"+16,465",,,,,,BM,,,,"△43,061",,
,①,東京美肌堂_KOL施策 (HS/NS期間相違),,,"△8,500",,,,,,①,"創通メディカル (SO修正, 案件キャンセル)",,,"△13,500",,,,,,①,8月と9月のギャラ計算で、計算式の不備により、消費税との入り繰りで過小計上分,,,"△19,000",,,,,,①,SO Update,,,"△2,000",,,,,,①,Lost案件・Proctor and Gamble,,,"△4,000",,,,,,①,HS期間、金額変更,,,"△11,100",,,,,,①,BGM単価調整分,,,"+24,000",,,,,,①,AD案件分見積戻し,,,"+33,000",,,,,,①,GDSにはまだ反映されていない,,,"+16,465",,,,,,①,Ad HSとのcost差額 GP,,,"△17,000",,
,②,iherb SNSアカウント運用 (HS/NS期間相違),,,"△2,100",,,,,,②,湘南美容クリニック(過去案件コストについての修正),,,"△12,600",,,,,,,,,,,,,,,,②,HSコスト修正,,,"△4,000",,,,,,②,その他,,,"△1,000",,,,,,,・マンダム ,,"△1,600",,,,,,,,,,,,,,,,,②,過去案件のADコスト,,,"△13,000",,,,,,BM,,,,"+11,729",,,,,,②,ANA 2月修正戻り,,,"△17,000",,
,③,ヘイリオン_ビーコン_シュミテクト_NADESHIKO (HS/NS期間相違),,,"△3,600",,,,,,③,P&G_Pampers(過去案件期間についての修正、来年1月までに変更),,,"△10,100",,,,,,ENGAWA,,,合計,"△4,989",,,,,,③,コスト見積対象外,,,"△2,000",,,,,,,,,,,,,,,,,・aveda ,,"△2,000",,,,,,,GROVE,,,合計,"+6,264",,,,,,③,SO修正,,,"△8,000",,,,,,①,AD案件分見積戻し,,,"+17,000",,,,,,③,Kanebo 事後修正,,,"△3,000",,
,④,ユニ・チャームの案件 (BC⇆BM),,,"+16,000",,,,,,,,,,,,,,,,①,AHKへの6/7月実費請求分に消費税を含んでいたため修正,,,"△2,100",,,,,,④,SG deal 期間ズレ,,,"△2,000",,,,,,BC,,,合計,"+6,988",,,,,,,・新日本製薬,,"△2,000",,,,,,,①,BGM単価調整分,,,"+18,500",,,,,,,,,,,,,,,,②,SO依頼無,,,"△3,000",,,,,,④,SO依頼無,,,"△1,000",,
,,,,,,,,,,,PG Web,,,合計,"△24,221",,,,,,②,73Hours 7月計上分原価の計上漏れ,,,△400,,,,,,,,,,,,,,,,①,各ブランドでズレがあるため、Naokiと連携し、,,,"+6,988",,,,,,,・Twitterまとめ　,,"△2,500",,,,,,,②,在庫評価損,,,"△1,500",,,,,,GROVE,,,合計,"△17,172",,,,,,③,過去分の修正,,,"△2,000",,,,,,⑤,その他差額合計,,,"△5,000",,
,,,,,,,,,,,①,12/5時点(Monthly Review)、GDS数字の変更,,,"△13,000",,,,,,③,JTBコミュニケーションデザイン 原価の当初見込レートより変動,,,△700,,,,,,,,,,,,,,,,,BI DashboardをFinanceに合わせる。,,,,,,,,,,・P&G 24年の案件重複修正,,"△3,000",,,,,,,③,過去分の在庫調整,,,"△5,800",,,,,,①,BGMプロジェクト library音源→ NS計上なし,,,"△5,400",,,,,,PG Web,,,,"△7,234",,,,,,CG,,,,"+5,097",,
,PG Web,,,合計,"+19,561",,,,,,②,見積のない請求書登録 ,,,"△6,500",,,,,,④,EC受託の認識違い,,,"△1,000",,,,,,PG Web,,,合計,"△10,495",,,,,,,,,,,,,,,,,,,,,,,,,,④,消費税80%控除分の影響,,,"△2,000",,,,,,②,韓国案件のコストの消費税分違い,,,"△1,600",,,,,,①,電通Digitalに関する3月の差額,,,"△3,500",,,,,,①,Nextone上振れ分（202407~202503),,,"+2,000",,
,①,11月分の確定値差額,,,"+12,300",,,,,,③,10月分の確定値差額,,,"△3,500",,,,,,,,,,,,,,,,①,8月分の売上確定値差額 ,,,"△4,000",,,,,,GROVE,,,合計,"△7,111",,,,,,②,7月 AD コスト差額分,,,"△5,100",,,,,,⑤,送料・資材における予実差,,,"△2,000",,,,,,③,テレ朝（ツアーグッズと子供パーティー）過去案件のコスト,,,"△6,600",,,,,,②,その他3月差額合計,,,"△3,500",,,,,,②,その他差額合計,,,"+3,000",,
,②,コスト見積超過分戻し,,,"+5,100",,,,,,,,,,,,,,,,PG,,,合計,"+9,246",,,,,,②,8月分の原価確定値差額,,,"△3,000",,,,,,①,過去2重計上+月ズレ,,,"△2,400",,,,,,③,エビデンス不良,,,"△2,200",,,,,,,,,,,,,,,,④,送料・資材における予実差,,,"△1,000",,,,,,GROVE,,,,"△7,238",,,,,,D2CCR,,,,"+25,339",,
,③, BS cleaning ,,,"+3,600",,,,,,,,,,,,,,,,①,9月分の確定値差額 ,,,"+5,000",,,,,,③,その他,,,"△4,000",,,,,,②,確認中,,,"△5,000",,,,,,④,その他,,,"△8,100",,,,,,BM,,,合計,"△28,046",,,,,,⑤,消費税80%控除分の影響,,,"△2,000",,,,,,①,"請求書未着分（NS未計上）
消費税80%控除分の影響",,,"△2,700",,,,,,①,在庫評価益,,,"+25,000",,
,,,,,,,,,,,,,,,,,,,,,②,その他,,,"+4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,見積対象外（5％未満のため）にした案件のBill,,"△3,400",,,,,,,①,マンダム 期間認識に関する修正分 ,,,"△20,000",,,,,,,,,,,,,,,,②,BGMプロジェクト library音源→ NS計上なし,,,"△2,300",,,,,,GROVE,,,,"△7,081",,
