  ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
ALL,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月（見込み）,,"累計
（1月 - 12月）",,,,,,,,12,Dec,,,,,,,,
売上高,1983611,2479974,1618817.4369436107,1750861.5157428435,2093259.3439087742,1676728.6114141766,1730577.361537463,2317607.5776420883,1903754.1810393352,1946604.830731842,2657176.5074711363,1814278.8012996248,2215160.112442679,3003528.043021948,,,24728354.32319552,,,,,,,,(千円）,,売上高,粗利,粗利構成比,1人当たり粗利益,粗利率,営業利益,1人当たり営業利益,営利率
原価,1090465,1396931,894322.6826293825,1009216.9542449949,1174055.6353505063,840498.6775630274,883504.7886963853,1298113.8864730112,1089630.854600216,1055260.8154177386,1345498.7211600204,1007901.8007679962,1265380.8178275023,1644608.3207640343,,,13507993.955494815,,,,,,,,ALL,,3003528.043021948,1358919.7222579138,,,,444307.0073525952,,0.14792836989980734
粗利,893146,1083043,724494.7543142282,741644.5614978486,919203.7085582679,836229.9338511493,847072.5728410777,1019493.6911690771,814123.3264391192,891344.0153141033,1311677.7863111158,806377.0005316286,949779.2946151765,1358919.7222579138,,,11220360.367700705,143402.2940835479,0.17783529786812566,,,,,,,BM,463606.5316554977,239728.63675729098,0.17641118370036585,2135.782192608312,0.5170950372533393,81389.29480306414,725.11072878341,0.17555683374958117
人件費,199444,212412,222046.13055730343,235071.7759089509,223007.61999999976,238775.50543962538,233283.3247876641,236703.06758309502,238423.04611354065,236203.73058512984,248850.35951292657,248996.84070493933,249103.7845475166,258038.36149999953,321814.898,,2868503.5472406913,106.94384257728234,0.00042949879313533356,,,,,,,PM,0,0,0,0,0,0,0,0
その他販管費,376977,443487,338422.9299999998,326050.7399999999,346703.4073333333,330636.52636363625,351055.105,375026.589,346740.849,369971.8559999999,422826.72399999993,379466.51799999987,466166.0509999997,461705.05399999977,526007,,4514772.349696969,86699.53299999982,0.22847742524677725,,,,,,,BC,330668.32387144613,196743.05442560243,0.1447790117422859,9007.54024924423,0.5949860939873097,62067.726820738026,2841.663453630614,0.18770387829729976
管理部門コスト,103530,166804,87436.51963026224,109681.06584164657,112096.03060994695,122788.91751064,176716.86569087676,157714.2828211469,174228.96564678953,188429.16353612373,168107.32899999988,160880.74599999972,210585.89856104966,171024.25693026846,165004,,1839690.0417787505,49705.15256104994,0.30895650223458077,,,,,,,PG Web,537775.9953657276,180828.12543253216,0.13306755540502208,4318.0426413427385,0.3362517609391539,104204.51252342787,2488.327119579509,0.19376936386415142
エンジニアコスト,37373,33390,37235.05781165247,34981.11706183961,35856.404728796246,37465.7148368199,37926.77359499682,39636.24906396148,35752.24863326962,35346.663631619565,33808.56689882113,33374.237556679655,33243.17917433138,23845.042475050803,36700,,418471.25546783867,,,,,,,,,PG App,156981.143,71900.67100000002,0.05291016814483597,4234.889331417934,0.4580210694478127,7567.713854435926,445.732010837206,0.04820778922749929
営業利益,175821,226950,39354.11631501024,35859.86268541159,201540.24588619173,106563.26970042777,48090.503767540096,210413.50270087377,18978.2170455195,61392.601561230375,438084.8068993683,-16341.341729989974,-9319.618667720933,444307.0073525952,,,1578923.173516456,,,,,,,,,CG,438539.606509569,121521.07274405617,0.0894247620029701,33505.61622476662,0.27710398545588283,113403.62718851867,31267.485755970378,0.25859380887195693
粗利率,0.45,0.437,0.44754568228651037,0.4235883619745841,0.43912557286944925,0.49872706182657733,0.48947397074958243,0.43989055826539025,0.4276409919660199,0.4578967447537851,0.4936359261882282,0.4444614576072848,0.4287632705555742,0.45244116345611346,,,0.45374472644044334,,,,,,,,,D2C Creator,192091.307,84400.407,0.062108456899694166,4263.0171408829465,0.4393765044245339,-986.231426178696,-49.8139952651794,-0.005134180414414568
営業利益率,0.089,0.092,0.024310410437209225,0.020481267286406264,0.09628059058838483,0.06355427406379784,0.027788704993122058,0.09078909852156526,0.00996883801203711,0.031538297137662666,0.16486853834045762,-0.009007073068529577,-0.0042071986649507235,0.14792836989980734,,,0.06385071779869336,,,,,,,,,GEC,0,0,0,0,0,0,0,0
1人当たり粗利益,2163,2630,1766.2243922162836,1743.1175648236367,2061.4394583402855,1795.4920202794528,1784.6636801661984,2113.311125756944,1690.2945485997573,1840.524412079993,2725.31213402449,1623.8821732980807,1872.0186366596206,2740.628906668056,,,,,,,,,,,,DX / AI,57081.06,37752.568999999996,0.02778130921322725,2269.925068509001,0.6613852125380992,3672.2175892758096,220.7971267575685,0.06433338114736849
1人当たり営業利益,426,551,95.94023939549568,84.28290284076459,451.9814394189457,228.80489283712132,101.31997916892364,436.1666973704691,39.40284693044412,126.7687671125792,910.221894762987,-32.90819741337835,-18.36900417965346,896.0651669419155,,,,,,,,,,,,GROVE,429262.878533566,195235.441009928,0.14366959122907896,2117.23362583924,0.4548155705354374,57834.0039721008,627.181710929346,0.13472864033729506
