Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,SUM of Amount,,Month (YYMM),,,,,,,,,,何目的の契約なのか,
,科目,Vendor Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,Grand Total,Comment,Next steps
,IT費用,ASANA,,107272,,107272,53636,,101293,,107272,476745,顧客コミュニケーション,継続 & 金額ステイ
,,COEFONT,,3000,,6000,3300,,6000,,8000,26300,ユーザー獲得案件時の動画制作ツール,継続 & 金額ステイ
,,GITHUB,,43462,,41298,14528,,,,,99288,顧客のTechサポート対応,継続 & 金額ステイ
,,"GITHUB, INC.",,,,,,,38140,,,38140,顧客のTechサポート対応,継続 & 金額ステイ
,,MYSTORESPY.COM,,2371,,2314,1084,,2391,,2406,10566,自社ゲームに使用する開発ツール購入,継続 & 金額ステイ
,,ORDER PAYMENT15669604966596 UNITY,,,,,,,,,3333,3333,自社ゲームに使用する開発ツール購入,継続 & 金額ステイ
,,UNITY,,,,12309,,,4006,,,16315,自社アプリに使うデジタルコンテンツ購入,継続 & 金額ステイ
,,VEN0001083 Google Asia Pacific Pte. Ltd.,529617.7000000001,501757.5,,535922,,497919.30000000005,,508493.10000000003,506507.7,3080217.3000000003,プロモ支援で発生するGoogleへの支払い分,継続 & 金額ステイ
,,VEN0029438 株式会社UPSIDER,,,,2700,,,2600,2600,,7900,it tools,継続 & 金額ステイ
,,VEN0031458 ADLOGIC TECHNOLOGY PTE. LTD.,,771798,,,572252,1946897,-1946897,,,1344050,自社ゲームの広告出稿媒体（テストフェーズにて使用）,継続 & 金額ステイ
,,VEN0041586 adjust株式会社,449166,1649166,1649166,1649166,1649166,1649166,1649166,1649174,1200000,13193336,自社ゲームの広告出稿最適化,継続 & 金額ステイ
,,VEN0056671 株式会社Yaaha,250000,100000,270000,-20000,1963660,739060,750000,922310,,4975030,業務委託（ショート動画によるプロモ支援受注時の発注先）,継続 & 金額ステイ
,,アップルストア,,,,11800,,,,,,11800,AppStoreへのライセンスFee,継続 & 金額ステイ
,IT費用 Total,,1228783.7000000002,3178826.5,1919166,2348781,4257626,4833042.3,606699,3082577.1,1827518.7,23283020.3,,
,一般管理費,VEN0000649 Expense Claims for AJP,16364,8455,3109,49665,28918,8942,35621,2909,56854,210837,社内会食費用,継続 & 金額ステイ
,,VEN0029438 株式会社UPSIDER,88692,,,,58182,121600,51888,82527,38018,440907,社内会食費用,継続 & 金額ステイ
,一般管理費 Total,,105056,8455,3109,49665,87100,130542,87509,85436,94872,651744,,
,交通費および宿泊費,VEN0000649 Expense Claims for AJP,,,67279,,,65646,41473,7545,,181943,交通費および宿泊費,継続 & 金額ステイ
,,VEN0029438 株式会社UPSIDER,,335724,316484,21400,,,113618,,5445,792671,交通費および宿泊費,継続 & 金額ステイ
,交通費および宿泊費 Total,,,335724,383763,21400,,65646,155091,7545,5445,974614,,
,交際費,VEN0000649 Expense Claims for AJP,27273,25000,,7855,,129231,46535,17108,64544,317546,交際費,継続 & 金額ステイ
,,VEN0029438 株式会社UPSIDER,,67691,77326,107214,42090,60613,68978,31452,106264,561628,交際費,継続 & 金額ステイ
,交際費 Total,,27273,92691,77326,115069,42090,189844,115513,48560,170808,879174,,
,人材採用 (中途採用),VEN0025375 オープンワーク株式会社,,,,800000,,,,,,800000,人材紹介Fee,継続 & 金額ダウン
,,VEN0029438 株式会社UPSIDER,,,,,,,,29321,,29321,人材紹介Fee,継続 & 金額ステイ
,,VEN0052540 株式会社Get Light,,,,,,,,1683500,,1683500,人材紹介Fee,継続 & 金額ステイ
,,VEN0054588 株式会社キャリア・エックス,,,,,1683500,,-841750,,,841750,人材紹介Fee,継続 & 金額ダウン
,人材採用 (中途採用) Total,,,,,800000,1683500,,-841750,1712821,,3354571,,
,広告宣伝費,INTCUS04832 Grove,,,,,,-110387,,,,-110387,ドリームビートアプリ関連費用,ショット
,,VEN0018428 株式会社イード,1550000,50000,50000,50000,50000,50000,,50000,50000,1900000,,継続 & 金額ダウン
,,VEN0026369 Google Japan G.K.,,,,,,,722480,520356,461176,1704012,SASのGoogleAdsでの出稿テスト,継続 & 金額ステイ
,,VEN0029438 株式会社UPSIDER,2071349,3480236,300909,70583,182664,634211,753115,567496,575672,8636235,,
,,VEN0031458 ADLOGIC TECHNOLOGY PTE. LTD.,,,7941785,,,0,6121294,4321870,4202407,22587356,自社ゲームの広告出稿媒体（テストフェーズにて使用）,継続 & 金額ステイ
,,VEN0040960 広島テレビ放送株式会社,51770,75779,51770,0,71960,,200029,3446,81200,535954,顧客紹介に対する対価費用（6ヶ月間限定）,継続 & 金額ダウン
,,VEN0042602 株式会社ゲームエイト,,,,1500000,,,,,,1500000,新規営業を目的としたイベント出店費,カット
,,VEN0043604 AppLovin (Singapore) Pte Ltd,47109702,35179058,39723499,26630953,26324655,28790078,29489149,27090063,21393252,281730409,（粗利連動）SASの広告出稿費,継続 & 金額ステイ
,,VEN0045213 佐藤健吉,,,,,,,269500,,,269500,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0046275 達夫坂本,300000,350000,300000,,850000,950000,350000,450000,350000,3900000,アポ獲得を目的とした業務委託（顧客紹介、イベント企画等）,継続 & 金額ステイ
,,VEN0048154 株式会社Aspire Digital Vision,76305,0,,-1,,,,,,76304,アポ獲得を目的とした業務委託（顧客紹介、イベント企画等）,継続 & 金額ステイ
,,VEN0049605 大樹森嶋,53000,-50000,50000,0,-50000,,,,,3000,解約予定：アポ獲得を目的とした業務委託（顧客紹介、イベント企画等）,カット
,,VEN0049669 祥吾秋本,51000,51000,51000,,203000,52000,50000,102000,1000,561000,アポ獲得を目的とした業務委託（顧客紹介、イベント企画等）,継続 & 金額ステイ
,,VEN0050343 淳一郎島田,50000,51000,51000,1000,203000,103000,50000,51000,50000,610000,アポ獲得を目的とした業務委託（顧客紹介、イベント企画等）,継続 & 金額ステイ
,,VEN0051064 将平高橋,150000,253000,464000,,357000,357000,250000,355000,157000,2343000,アポ獲得を目的とした業務委託（顧客紹介、イベント企画等）,継続 & 金額ステイ
,,VEN0052042 株式会社オプト,,,,,,603448,767698,,,1371146,SAS広告宣伝費,継続 & 金額ステイ
,,VEN0057098 合同会社ハント,122440,,,,,,,,,122440,1月の新年会イベントの会場費,カット
,,VEN0063332 一般社団法人日本インディペンデント・ゲーム協会,,,,300000,,,,,,300000,新規営業を目的としたイベント出店費,カット
,,VEN0064082 株式会社トリファ,,,,,100000,,,,,100000,事例掲載依頼の報酬,ショット
,,VEN0064695 株式会社ツイン,,,,,91200,,,,,91200,（8/18確認中）おそらくイベント費用,カット
,,VEN0067215 株式会社modesto,,,,,,,290250,,,290250,ドリームビートの景品配送費用,カット
,,VEN0068321 essence株式会社,,,,,,,,174880,126396,301276,成果報酬の顧客紹介手数料,継続 & 金額ステイ
,広告宣伝費 Total,,51585566,39440073,48983963,28552535,28383479,31429350,39313515,33686111,27448103,328822695,,
,業務委託費,CUS0013050 株式会社テレビ朝日ミュージック,,,,,-1161695,,,,,-1161695,,
,,VEN0021391 株式会社GENIT,,,,,2176610,299781,153872,116465,157788,2904516,ドリームビートの清算費用,ショット
,,VEN0025089 株式会社ポラリスエックス,300000,287794,0,650988,319885,300000,447281,529522,211424,3046894,ドリームビートの清算費用,ショット
,,VEN0025205 樹菊池,1050184,1312545,635833,677500,644167,705636,742500,752273,765227,7285865,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0025799 レバテック株式会社,1790110,1484500,,,692000,1250000,1753215,1950000,1950000,10869825,自社ゲームのエンジニア,継続 & 金額ステイ
,,VEN0025954 和恵空閑,865333,848988,645689,905366,900000,-647583,,,,3517793,自社ゲームのエンジニア,継続 & 金額ステイ
,,VEN0026002 悠貴窪田,791787,709570,761806,800000,688007,-129056,,,,3622114,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0027703 龍真原,92374,89728,295,,,,,,,182397,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,カット
,,VEN0028338 株式会社センターモバイル,2598401,2499790,-5092580,1911886,-1911886,,,,,5611,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0029441 剣星川,-41379,114575,305482,200000,880839,445439,386125,826522,-109647,3007956,原価に変更済,カット
,,VEN0030763 株式会社TOKYO STUDIO,183054,158343,180310,182106,159794,170000,122662,139072,156936,1452277,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0035895 株式会社AppRuns,5565,3953,4281,3520,4843,3092,3561,6264,4301,39380,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0036415 将太山下,968439,834591,820083,793499,693490,834121,912541,848908,950000,7655672,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0037178 ハレコレ合同会社,195281,-490793,,,,,,,,-295512,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0038371 慎太郎森川,381944,286102,324234,337953,262828,305789,260292,247596,266800,2673538,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0038372 敬司村松,360979,383016,374164,445042,515736,438136,517092,575879,512492,4122536,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0038451 展貴湯浅,-907004,348486,268446,300000,411885,300000,300000,2087321,2974300,6083434,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0038858 株式会社エルフィールド,256843,375514,384160,301069,1566949,355269,450070,1199587,-1204197,3685264,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0043489 奥山弘喜,7650,,,,,,,,,7650,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0045213 佐藤健吉,730909,,,,,,,,,730909,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0049230 株式会社LOOP,-15029,57409,,,,,,,,42380,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）,継続 & 金額ステイ
,,VEN0050038 合同会社彼方此方,,816000,408000,561000,408000,408000,816000,408000,408000,4233000,（粗利連動）顧客アプリの使用許諾費（顧客アプリを活用してフォーエムが広告マネタイズをする契約であるため、顧客のレベニューシェア分を販管費で計上）契約終了によりカット見込み,カット
,,VEN0053992 真博阿武,33864,160000,80000,80000,816000,-652800,,163200,714000,1394264,自社ゲームのアドバイザー費用,継続 & 金額ステイ
