Unnamed: 0,HR Data Sheet,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Country,AJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Employee Expense,,,,,,,,,,,,,,,,,,,,FTE by Contract type,,,,,,,,,,,
,Location,Department,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,Department,Contract type,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
,AJP,IM,80.36674,89.8203,99.5390433333333,112.89366,108.231239999999,105.9023,105.494823333333,106.471406666666,102.49613,109.551556666666,112.892083333333,107.743953333333,,,,Full-time,CG,Fixed-Term,0,0,0,0,0,0,0,0,0,0,0,0
,IM,Full-time,58.70000000000003,66.70000000000005,73.70000000000007,94.7,90.99999999999905,90.00000000000007,89.99999999999977,88.99999999999937,86.00000000000006,91.99999999999945,93.99999999999967,89.99999999999974,,,,Non Full-time,CG,Consultant,0,0,0,0,0,0,0,0,0,0,0,0
,IM,Non Full-time,21.666739999999958,23.12029999999996,25.83904333333323,18.193659999999998,17.231239999999957,15.902299999999931,15.49482333333323,17.47140666666663,16.49612999999993,17.55155666666656,18.89208333333333,17.74395333333326,,,,Full-time,D2C,Full-time,66.3,68.3,69.3,65.3,62.7,67.25,65.5,64.5,62,60,58,52
,AJP,PG,54.9662166666666,55.9113799999999,55.5713466666666,58.7682666666666,59.52614,62.9834766666666,61.0769133333333,57.9120033333333,58.9298499999999,58.1967533333333,60.88175,58.8555066666666,,,,Non Full-time,D2C,Part-time,1.72063333333333,1.89669333333333,1.87736,1.86663333333333,1.94565,1.6217,1.78648,1.88466666666666,1.50762333333333,1.83209666666666,2.62408333333333,2.18340666666666
,PG,Full-time,47.999999999999936,48.999999999999915,48.99999999999994,54.99999999999993,57,60.999999999999936,58.99999999999997,54.99999999999997,54.999999999999915,53.99999999999997,55.00000000000001,52.99999999999994,,,,Non Full-time,D2C,Intern,3.44348666666666,3.73768666666666,4.36793666666666,1.73964333333333,2.50943333333333,2.50249333333333,2.84057,2.91437666666666,2.77172333333333,2.60809,3.50106333333333,2.58855
,PG,Non Full-time,6.96621666666666,6.91137999999999,6.57134666666666,3.768266666666666,2.52614,1.9834766666666628,2.07691333333333,2.91200333333333,3.92984999999999,4.19675333333333,5.88174999999999,5.85550666666666,,,,Full-time,D2C,Fixed-Term,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,CG,7.39033333333333,7.4268,7.59536666666666,7.62843666666666,8.10901666666666,6.16052333333333,6.20029666666666,6.25814666666666,5.43478666666666,5.19293333333333,4.77816666666666,4.62688666666666,,,,Non Full-time,D2C,Consultant,0,0,0,0,0,0,0,0,0,0,0,0
,CG,Full-time,6.9999999999999964,7.000000000000001,6.999999999999994,6.999999999999995,7,5,5,5,3.9999999999999947,3.999999999999998,3.9999999999999942,3.9999999999999947,,,,Full-time,Corporate,Full-time,33,32,35,37,41,40,40,39,38,36,36,36
,CG,Non Full-time,0.390333333333333,0.426799999999999,0.595366666666666,0.628436666666666,1.10901666666666,1.16052333333333,1.20029666666666,1.25814666666666,1.434786666666666,1.192933333333332,0.778166666666666,0.6268866666666659,,,,Non Full-time,Corporate,Part-time,3.33213666666666,3.43112333333333,3.30880666666666,3.89179333333333,3.8665,3.68815333333333,4.17083333333333,3.7685,3.57230666666666,3.89694,4.81858333333333,4.30564666666666
,AJP,D2C,72.46412,74.9343799999999,75.5452966666666,68.9062766666666,67.1550833333333,71.3741933333333,70.12705,69.2990433333333,66.2793466666666,64.4401866666666,64.1251466666666,56.7719566666666,,,,Non Full-time,Corporate,Intern,0.65477,0.600173333333333,0.555076666666666,0.541573333333333,0.54868,0.362986666666666,0.28694,0.635033333333333,0.2675,0.174236666666666,0.44484,0.754493333333333
,D2C,Full-time,67.30000000000001,69.29999999999991,69.29999999999994,65.29999999999994,62.69999999999997,67.24999999999997,65.5,64.49999999999999,61.999999999999936,59.99999999999994,57.999999999999936,51.999999999999936,,,,Full-time,Corporate,Fixed-Term,0,0,0,0,0,0,0,0,0,0,0,0
,D2C,Non Full-time,5.16411999999999,5.63437999999999,6.245296666666659,3.60627666666666,4.45508333333333,4.12419333333333,4.6270500000000006,4.79904333333332,4.27934666666666,4.44018666666666,6.1251466666666605,4.77195666666666,,,,Non Full-time,Corporate,Consultant,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,POKKT,0,0,0,0,0,0,0,0,0,0,0,0,,,,Full-time,[Dept 1],Full-time,0,0,0,0,0,0,0,0,0,0,0,0
,POKKT,Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,Non Full-time,[Dept 1],Part-time,0,0,0,0,0,0,0,0,0,0,0,0
