(千円）実績と予算➡ 韓国案件を含む,実績,実績.1,実績.2,実績.3,実績.4,見込み,見込み.1,見込み.2,見込み.3,見込み.4,見込み.5,見込み.6
前月比_販管費(人件費以外),1.15243902085222,0.602606994803343,1.58484269323592,0.636651759022098,1.3138945428739,1.14336739828618,1.17162621110542,0.908939827815676,1.0625676983532,1.04298275925583,1.10561272056737,0.849383567237083
,,,,,,,,,,,,
PM,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,28430.065,36613.544,35796.963,22922.511,0,,,,,,,
原価,17477.715,17217.895,19244.947,7917.396,0,,,,,,,
粗利,10952.3499999999,19395.649,16552.016,15005.1149999999,0,,,,,,,
人件費,6652.95489999999,6973.813,6433.0815,6664.5677,0,0,0,0,0,0,0,0
その他販管費,319.554,-77.0680000000002,33.4169999999994,605.621,0,0,0,0,0,4968.529,573.82,0
管理部門コスト,3353.64319066188,3999.46203921142,4092.73520604907,4429.59924940983,0,0,0,0,0,0,0,0
エンジニアコスト,1065.45040118004,1114.35940138507,968.426213221691,1091.57253109892,,,,,,,,
営業利益,-439.252491841931,7385.0825594035,5024.35608072923,2213.75451949123,0,,,,,,,
粗利率,0.385238303183619,0.529739732378815,0.462386040961072,0.654601714445681,0,0,0,0,0,0,0,0
営業利益率,-0.0154502809558096,0.201703570662362,0.140357048745426,0.0965755679860393,0,0,0,0,0,0,0,0
1人当たり粗利益,969.234513274336,1716.42911504424,1345.69235772357,1219.92804878048,0,,,,,,,
1人当たり営業利益,-38.8719019329142,653.547129150752,408.484234205628,179.980042235059,0,,,,,,,
"人数(正社員=1,Intern&Part Time=0.3)",11.3,11.3,12.3,12.3,,,,,,,,
前月比_売上,1.50638822656705,1.28784594759104,0.977697296934708,0.64034792560475,0,0,0,0,0,0,0,0
前月比_粗利,1.14301294093091,1.77091208736024,0.853388097505785,0.906543045874291,0,0,0,0,0,0,0,0
前月比_人件費,1.87248941739375,1.04822790847417,0.922462575351533,1.03598371946632,0,0,0,0,0,0,0,0
前月比_販管費(人件費以外),0.16979489904357,-0.241173635754833,-0.43360408989463,18.1231409163003,0,0,0,0,0,0,0.115490922967341,0
,,,,,,,,,,,,
BC,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,39375.230318956,21186.3453242924,52209.0127253193,42450.7206298699,50756.1056708337,27846.962,145727.077,121552.2,164448.921,159293.377,211691.129,178077.696
原価,17209.41567918,7827.8079147621,19609.9787920608,16600.1991134252,23929.7708007938,7363.63699999999,62129.8389999999,50599.686,72091.93,69820.961,99940.904,77104.868
粗利,22165.8146397759,13358.5374095303,32599.0339332584,25850.5215164446,26826.3348700399,20483.325,83597.238,70952.514,92356.991,89472.416,111750.224999999,100972.828
人件費,4814.4799,4119.41791,3688.16103,4794.03262,4769.42711,13189.53472,12268.2119,13976.7925,13657.3823,12612.334,12601.1745999999,16637.07892
その他販管費,11734.3579999999,7222.806,14157.332,11478.066,14003.8819999999,31419.553,46235.839,37369.958,55799.497,55968.09,72107.165,47685.845
管理部門コスト,2248.30119125,2444.63742969384,2400.63592705959,3071.9090729647,4395.01376398488,12170.6550890091,12169.7128430961,13608.3589881887,12025.1894041566,11533.8891880252,15707.7199357209,12099.3750528826
エンジニアコスト,1216.02907171312,809.167160082743,1157.93498394096,1137.62306292806,1219.43229549789,4859.53830894775,5915.04786775805,5087.77023511998,5001.19896338268,5607.96046776208,4966.63271840418,5268.55985584637
営業利益,2152.64647681286,-1237.49109024624,11194.9699922579,5368.89076055191,2438.5797005572,-41155.9561179569,7008.42638914578,909.634276691285,5873.72333246063,3750.14234421269,6367.53274587486,19281.9691712709
粗利率,0.562938031351779,0.630525803533152,0.624394759287398,0.608953655742071,0.528534144128699,0.7355676716189,0.573656177842639,0.583720525009008,0.561615062223485,0.561683214236835,0.527892810283986,0.567015579536698
営業利益率,0.0546700669272413,-0.0584098423444146,0.214426004398064,0.126473489280984,0.0480450512963309,-1.47793343194697,0.0480928220988456,0.00748348673813625,0.0357176155169825,0.0235423619916896,0.0300793555967801,0.108278406585353
1人当たり粗利益,2925.9548294115,1934.04951972316,4518.42382079101,3030.54179559726,3072.89059221534,747.576344340018,3413.48641175192,2767.0022526513,3702.31267121315,3522.23237445275,0,3795.9709774436
1人当たり営業利益,284.15587052432,-179.164003915949,1551.69073996551,629.412750357785,279.333299032898,-1502.06176109008,286.171754228444,35.4738676728724,235.459818314883,147.630670592287,0,724.886059070335
"人数(正社員=1,Intern&Part Time=0.3)",7.57558333333333,6.90702966666666,7.2146915,8.53,8.73,27.3996430666666,24.49028,25.6423766666666,24.9457566666666,25.40219,,26.6
前月比_売上,0.633622939332765,0.538062765669536,2.464276491588,0.813091809515926,1.19564768083394,0.548642604312368,5.23314094370509,0.834108543877539,1.35290781244601,0.96864957234958,1.32893867269823,0.841214730353674
前月比_粗利,0.483294406065236,0.60266395016941,2.44031460435192,0.792984281968896,1.03774830434173,0.763552870685889,4.08123378406581,0.848742323281063,1.30167327122475,0.968767118019252,1.2489908062838,0.903558162858285
前月比_人件費,1.12409056735932,0.855630929106174,0.895311209150906,1.29984362965843,0.99486747130227,2.76543375457938,0.930147435860421,1.13926891823575,0.977147102956561,0.92348106855001,0.999115199454755,1.32028000945245
前月比_販管費(人件費以外),0.58919250853585,0.615526303185909,1.96008753384764,0.810750641434417,1.22005588746396,2.2436316587072,1.4715625967053,0.808246563883051,1.49316456282878,1.00302140716429,1.28836208275108,0.661319093601863
,,,,,,,,,,,,
Global E-Commerce,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,53634.349,42937.923,38257.549,67569.835,40926.699,85244.719,,,,,,
原価,44949.0209999999,67501.0639999999,105924.739999999,54694.431,49627.416,37471.004,0,0,0,0,0,0
粗利,18412.126,17937.853,18985.847,18885.3932,18359.9594,47773.715,,,,,,
人件費,23844.018,29435.612,35786.324,27419.486,23188.202,25962.503,,,,,,
その他販管費,21295.885,21522.37,28739.516,21876.924,18152.914,0,,,,,,
管理部門コスト,8010.16192176675,10114.6276993425,9566.35261576512,10236.8158697201,14315.888905626,43.1146476094312,,,,,,
エンジニアコスト,5032.11464226986,5554.40188890499,6072.69652595711,6329.68489935381,6525.20489735886,12739.901861246,,,,,,
営業利益,-31645.2845640366,-17063.8005882475,6774.00385827774,-30053.8729690739,-30914.7532029848,9028.19549114445,,,,,,
粗利率,0.455949324921637,0.611206837672279,0.734658471124702,0.447346005414206,0.548041532955183,0.560430200960601,0,0,0,0,0,0
営業利益率,-0.321000231215839,-0.154508847389623,0.0469822188651599,-0.245810766729454,-0.341395343579746,0.105909147182999,0,0,0,0,0,0
1人当たり粗利益,1665.39536865505,2362.02153196552,3684.33878260869,1924.14387400909,1745.21661611499,0,0,0,0,0,0,0
1人当たり営業利益,-1172.48182897505,-597.102653176055,235.617525505313,-1057.29183952368,-1087.15998779673,0,0,0,0,0,0,0
"人数(正社員=1,Intern&Part Time=0.3)",26.99,28.5776666666666,28.75,28.4253333333333,28.43625,,,,,,,
前月比_売上,0.49926247607086,1.12025980649677,1.30553795282457,0.847983943437047,0.740642527555843,2.08286329175973,0,0,0,0,0,0
前月比_粗利,1.39083547868061,1.50172489852448,1.56923067168244,0.516351807896814,0.907357752748173,2.60205994791034,0,0,0,0,0,0
前月比_人件費,1.04709542766151,0.974241269041934,1.0584236028693,0.9947090166691,0.972177767524586,1.1196427821355,0,0,0,0,0,0
前月比_販管費(人件費以外),0.425171056150924,1.23450720428075,1.2157492767604,0.766200127177074,0.84568332170778,0,0,0,0,0,0,0
,,,,,,,,,,,,
PG,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,872353.857387673,849810.629416268,1109799.0851561,873512.148647969,559500.784339225,579239.266,556813.581,564802.078,617089.507999999,588892.608,677472.549,770534.619
原価,606704.209845539,589009.686848407,766459.142023952,578194.846274272,314684.48875059,360715.111999999,340886.258,345057.376,383286.005999999,357961.998,418400.915,479726.205999999
粗利,265649.647542133,260800.942567861,343339.943132153,295317.302373697,244816.295588635,218524.154,215927.322999999,219744.702,233803.501999999,230930.61,259071.633999999,290808.413
人件費,39612.8939,39894.0974,39037.1698999999,45045.3139,44562.3909,35594.302,35484.041,31633.812,31723.912,31834.3579999999,32855.2089999999,32590.183385
その他販管費,84028.43,73589.508,76179.916,66077.044,72108.421,65419.699,71239.705,72268.206,60379.359,60799.493,71939.475,64786.2059391969
管理部門コスト,16313.0157735055,19788.9771566305,18490.9599146524,20804.0870460466,29464.2830301153,27532.4577729772,29853.4269010497,30733.7865491088,28407.3406662966,26424.2927105695,38254.2937248019,28929.3328332081
エンジニアコスト,13677.6348266233,13975.3050179984,13187.5666117265,13820.2428339153,14456.3712552628,11990.5593897926,10596.0817062866,10241.5208466003,10041.5167762183,9897.95578431191,9573.42153386147,9837.63136479724
営業利益,112017.673042004,113553.054993232,196444.330705774,149570.614593735,84224.8294032573,77987.1358372301,68754.0683926635,74867.3766042908,103251.373557484,101974.510505118,106449.234741336,154665.059477797
粗利率,0.304520516866447,0.30689301067816,0.309371261631431,0.338080360794972,0.437562023934899,0.377260601666462,0.387791049586486,0.389064967285761,0.378881019639698,0.392143842294586,0.382409050200497,0.377411223103007
営業利益率,0.128408526073868,0.133621598815763,0.177008913895565,0.171229003311793,0.150535677090654,0.134637170535379,0.123477714514767,0.132555065784107,0.167319930445949,0.173163169514803,0.157127008169502,0.200724348606843
1人当たり粗利益,4832.96220209444,4664.54132535918,6178.36283852553,5112.1025333464,4183.02480889112,3525.52269978617,3594.18137549676,3794.45865022455,3967.48849691624,3968.10125604944,4255.32501940236,4579.66004724409
1人当たり営業利益,2037.93675161084,2030.94709866278,3534.99316624636,2589.14838931873,1439.09763061868,1258.19234465707,1144.43410251764,1292.77822031755,1752.10650557374,1752.23710369269,1748.45885246952,2435.67022799681
"人数(正社員=1,Intern&Part Time=0.3)",54.9662166666666,55.9113799999999,55.5713466666666,57.7682666666666,58.52614,61.9834766666666,60.0769133333333,57.9120033333333,58.9298499999999,58.1967533333333,60.88175,63.5
前月比_売上,0,0.97415816095671,1.30593693081766,0.787090348452666,0.640518606644711,1.03527873814169,0.961284245878455,1.01434680703307,1.09257655387025,0.9543066287233,1.15041781777637,1.1373665547591
前月比_粗利,0,0,0,0,0,0,0,0,0,0,0,0
前月比_人件費,0,1.00709878709467,0.978519942651967,1.15390828831574,0.989279173388111,0.798752070549249,0.996902285090461,0.891494066304342,1.00284821822927,1.00348147479415,1.03206758559415,0.99193352825727
前月比_販管費(人件費以外),0,0.875769165269421,1.03520077889364,0.867381423733783,1.09127794820845,0.90724076457034,1.08896412073066,1.01443718780138,0.83548993868756,1.00695823882462,1.18322491603671,0.900565453656659
,,,,,,,,,,,,
PG Web,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,491257.959193836,474789.151708134,613954.250578053,484077.828823984,463324.784339225,481836.266,454332.581,460806.078,517602.508,485234.608,567980.549,651025.619
原価,317068.206922769,308305.477924203,403057.974511976,307094.149137136,293862.48875059,339450.111999999,317788.258,321412.376,361269.005999999,334438.998,392771.915,450480.205999999
粗利,174189.752271066,166483.67378393,210896.276066076,176983.679686848,169462.295588635,142386.154,136544.323,139393.702,156333.502,150795.61,175208.634,200545.413
人件費,31676.215,31938.05,31278.6709999999,34725.347,34487.831,25962.503,26923.5864999999,23478.5275,23370.732,23818.8974999999,23911.7929999999,23588.578665
その他販管費,20872.5132690117,18707.4815655395,23844.3893641204,25703.7468069518,27886.5781688878,23818.5746077972,24904.2670807822,22612.7697053065,20817.3530495717,27681.280412033,28515.0216097016,25546.9779391969
管理部門コスト,12292.9156353594,14902.166626537,13899.9502798306,14422.9072037525,20638.5046914437,19672.0517954401,21478.0105670348,22903.3582254589,21202.8116332684,19668.1988198638,27561.9143824094,20014.0038468735
エンジニアコスト,10048.9517510836,9882.97390133785,9886.22525184151,10449.6903573019,10843.9361145896,8191.04758439139,7288.57563137494,7051.66070950126,6980.80078164944,7135.31307536031,6613.68715254583,6909.93366985186
営業利益,32123.1397464775,31284.1647259622,75060.5038995826,44927.5112835,22557.8244439305,64741.9770123711,55949.8832208079,63347.3858597332,83961.8045355104,72491.9201927427,88606.217855343,124485.918879077
粗利率,0.354578992586533,0.350647594168858,0.343504871686306,0.365609968373911,0.36575271022964,0.295507341491808,0.300538259218526,0.302499703573788,0.30203389586358,0.310768456152657,0.30847646861935,0.308045347444306
営業利益率,0.0653895558235682,0.065890647697851,0.122257487148124,0.0928105122943692,0.0486868503615698,0.134365097815968,0.123147415705165,0.137470812309322,0.162212901285846,0.149395609871138,0.156002204672933,0.191215084700188
1人当たり粗利益,3169.03295941598,2977.63485329696,3795.05426296567,3063.68340092453,2895.49756038302,3215.04569429122,3159.12039305672,3229.91778939443,3554.29806629721,3481.19798250854,3994.28624839421,4568.23264236902
1人当たり営業利益,584.416059436706,559.531256891928,1350.70514576185,777.719566050681,385.431611309587,1461.85853459828,1294.46917446723,1467.83423902455,1908.9016473474,1673.51507330449,2019.98377261373,2835.67013391976
"人数(正社員=1,Intern&Part Time=0.3)",41.4206099999999,42.1042833333333,41.77387,40.0491666666666,40.9951266666666,44.2874433333333,43.22226,43.1570433333333,43.9843533333333,43.31716,43.8648166666666,43.9
前月比_売上,0.876496638043239,0.966476253101877,1.29310926412124,0.788459121128673,0.95712870276423,1.03995357530285,0.94291902262085,1.01424836622051,1.12325451575315,0.937465720316795,1.17052769863438,1.14621111611341
前月比_粗利,0.827544074640442,0.955760437186084,1.26676851412941,0.839197746817479,0.957502386030614,0.840223210156659,0.958971916609251,1.02086779543372,1.12152485913603,0.964576422013497,1.1618947925606,1.14460919203331
前月比_人件費,1.10992729247696,1.00826598127333,0.979354437731796,1.11019253343596,0.993160154742297,0.752801850600578,1.03701813727281,0.872043087573047,0.99540876232549,1.01917635699215,1.00390007555975,0.986483057334931
前月比_販管費(人件費以外),1.02377560096007,0.875769165269421,1.03520077889364,0.867381423733783,1.09127794820845,0.85412324393284,1.0455817567114,0.907987760971131,0.920601647691415,1.32972142741281,1.03011931475923,0.895912978389787
,,,,,,,,,,,,
PG App,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,381095.898193836,375021.477708134,495844.834578053,389434.319823984,96176,97403,102481,103996,99487,103658,109492,119509
原価,289636.002922769,280704.208924203,363401.167511976,271100.697137136,20822,21265,23098,23645,22017,23523,25629,29246
粗利,91459.8952710668,94317.2687839305,132443.667066076,118333.622686848,75354,76138,79383,80351,77470,80135,83863,90263
人件費,7936.6789,7956.04739999999,7758.4989,10319.9669,10074.5598999999,9631.799,8560.4545,8155.2845,8353.18,8015.4605,8943.41599999999,9001.60472
その他販管費,63155.9167309882,54882.0264344604,52335.5266358795,40373.2971930481,44221.8428311121,41601.1243922027,46335.4379192177,49655.4362946934,39562.0059504282,33118.2125879669,43424.4533902983,39239.228
管理部門コスト,4020.10013814609,4886.81053009344,4591.00963482173,6381.17984229413,8825.77833867154,7860.40597753709,8375.41633401497,7830.42832364986,7204.52903302828,6756.09389070569,10692.3793423925,8915.3289863346
エンジニアコスト,3628.68307553968,4092.33111666055,3301.34135988506,3370.55247661338,3612.43514067319,3799.51180540125,3307.50607491167,3189.86013709905,3060.7159945689,2762.64270895159,2959.73438131563,2927.69769494538
営業利益,28134.6615911517,30934.9752071766,64594.271430169,46722.4506954556,8619.38378954316,13245.1588248588,12804.1851718556,11519.9907445576,19289.5690219745,29482.5903123757,17843.0168859934,30179.14059872
粗利率,0.239991812309004,0.251498312470877,0.267107082357289,0.303860283141795,0.783501081350856,0.781680235721692,0.774611879275182,0.77263548598023,0.778694703830651,0.773071060603137,0.765928104336389,0.755282028968529
営業利益率,0.0738256741268875,0.0824885427795477,0.130271139125885,0.119975175060516,0.0896209427460402,0.135983068538534,0.12494203971327,0.110773402290065,0.193890347703464,0.284421755314357,0.162961831786737,0.252526090911312
1人当たり粗利益,2208.07697595633,2240.08726231568,3170.49071742878,2954.70873768114,4298.32540579513,4302.54614499294,4709.8565855997,5445.69419368131,5183.50120627194,5385.56385277554,4928.2087646031,4605.25510204081
1人当たり営業利益,679.243052942767,734.722758781311,1546.2841108609,1166.62728801154,491.664892704994,748.48179676004,759.68249946339,780.753776666127,1290.66095642017,1981.41102729794,1048.54479573249,1539.75207136326
"人数(正社員=1,Intern&Part Time=0.3)",13.5456066666666,13.8070966666666,13.7974766666666,17.7191,17.5310133333333,17.6960333333333,16.8546533333333,14.7549599999999,14.9454966666666,14.8795933333333,17.0169333333333,19.6
前月比_売上,0.850882704174609,0.984060651099916,1.32217716598074,0.785395536398761,0.246963339141422,1.01275786058892,1.05213391784647,1.01478322811057,0.956642563175506,1.04192507563802,1.05628123251461,1.0914861359734
前月比_粗利,0.719290109325511,1.03124181920824,1.40423560577744,0.893463804711866,0.636792809085314,1.01040422538949,1.04261997951088,1.01219404658428,0.964144814625829,1.03440041306312,1.04652149497722,1.0763149422272
前月比_人件費,1.17627272321871,1.01021361575806,0.980742621552379,1.03763611916768,0.976220175667423,0.956051588913576,0.888770052198971,0.952669569121592,1.0242659222986,0.959569948211339,1.11577070338004,1.0065063192856
前月比_販管費(人件費以外),0.927543583922664,0.89627355002397,1.27459109237041,1.07797882405113,1.09532403607418,0.940737014309463,1.11380253770021,1.07165138659666,0.796730608017155,0.837121672482041,1.3111955627121,0.903620539499216
,,,,,,,,,,,,
CG,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,110162.061,99767.674,118109.416,94643.509,59516.436,60033.296,64191.494,66342.568,70301.661,71889.161,75954.939,77856.011
原価,27432.204,27601.269,39656.807,35993.452,39677.55043,39009.78212,40629.06332,41243.70235,43157.54504,43690.3313799999,45691.02854,46335.38649
