Group - Current Month,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
Revenue Total,7243765.80999993,15248759.11313695,25352510.053091653,33321260.094363645,40998344.447302304,48736069.60731225,56155932.931538746,64807484.18934368,74575044.7302764,83796300.69394848,94068517.17838947,105476603.04755858,8547494.373639867,17448444.98560357,27165594.406281266,35401782.58794904,43743556.16928465,54671455.9891442,63710220.39872653,72417684.8501771,85724290.55542895,94258969.82545324,102785775.42325789,116670935.91427344,,,,,,,,,,,,
Gross Profit,3041129.08281779,6503207.71157233,10526546.716082081,13734043.570912592,16956324.345384303,20387916.1334149,23408034.704544123,26618025.144147202,30481463.98360855,34276499.967243865,38719578.21685436,43266009.31933533,3517770.4035665933,6820835.9449697165,11236886.820192166,15059088.77674514,18870832.60848361,23190577.44883128,26871240.17749551,30657891.629171494,36414650.94977969,40041373.352390826,43553974.53463539,49496073.62599026,,,,,,,,,,,,
Operating profit / loss,626713.844975484,1679870.329652574,2863432.435097874,3343903.824592839,3722555.953460023,4465806.456015586,4645848.429010026,4932976.287340936,5889580.690691847,6660729.726236154,7783182.917049944,8298197.469508695,660142.4085518494,1045067.510514922,2343340.9544840087,3108505.7991004274,3551926.417901867,4367074.540270728,4703882.626776357,5165939.91610078,7289797.815353682,7723362.829019636,7362100.4630596135,9740388.071512012,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash flow,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00
,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual,Budget (Con.),Budget (Base),Actual
Begining Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Customer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Intercompany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Intercompany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ending Balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash inflow/(outflow),2025-01-01 00:00:00,2025-01-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00,2025-12-01 00:00:00
