Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Business Domain,Gross Profit,25実績,ACM Rate,24実績,YoY
,Brand Marketing,217300000,239728636.757291,1.1032150794168936,133062548.1,0.8016236738314122
,Brand Commerce,83597238,196743054.42560244,2.353463572870702,62248033,2.16063086564683
,WEB,136544323,180828125.43253216,1.3243181514952633,103349074.8,0.7496830598867845
,APP,79383000,71900671.00000001,0.9057439376188858,52839274,0.36074297690009915
,Creator Growth,23562431,121521072.74405618,5.157408110566188,40963444.06,1.966573625158611
,D2C for Creator,68365000,84400407,1.2345557960944928,53604350,0.5745066771633272
,DX / AI,46500000,37752568.99999999,0.8118832043010751,22816855,0.6545912659742104
,ENGAWA,48670000,93406023.8773054,1.9191704104644627,29143855.53,2.204998864380021
,Grove,107554595,195235441.00992802,1.8152217579353818,84948341.08,1.2982843281902974
,LYFT,93770128,104385741.15624699,1.1132089011998254,77340673.72,0.3496875076904489
,AnyReach,23161123,33017979.854950603,1.4255776740596993,6551725,4.039585735810127
