Unnamed: 0,Account (Line): Number,Account (Line): Name,Type,Subsidiary: Name,Date,Document Number,Transaction Number,Name,JE Name,Split,Memo,Description,Department: Name,Class: Name,Consolidation Classification,Nature,Amount
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-01,社会保険料_202503,VENDBILL340474,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,社会保険料_202503,,Not Applicable,Not Applicable,Staff costs,,3492657
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-01,所得税_202503,VENDBILL340472,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,所得税_202503,,Not Applicable,Not Applicable,Staff costs,,1319581
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-01,住民税_202503,VENDBILL340473,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,住民税_202503,,Not Applicable,Not Applicable,Staff costs,,440700
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-31,INVAMV0003284,VENDBILL343712,INTVEN0095 Cong Ty Tnhh AdAsia Media Viet Nam,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,,AJP Incentives pay on behalf_Takino,Finance,Not Applicable,Staff costs,,88558
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-31,INVATW0005104,VENDBILL343995,INTVEN0093 AnyMind Group Pte. Ltd. Taiwan Branch,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,Intercompany COS Recharge and compensation recharge,Employee Compensation_Ruby,Finance,Not Applicable,Staff costs,,112850
3,40003,Intercompany Employee Compensation,Bill,AnyMind Japan Inc,2025-03-31,INVATW0005104,VENDBILL343995,INTVEN0093 AnyMind Group Pte. Ltd. Taiwan Branch,,80050 - Accounts Payable : Intercompany  Accounts Payable : Creditors,Intercompany COS Recharge and compensation recharge,[Accrual] Bonus_Ruby,Finance,Not Applicable,Staff costs,,9403
3,40003,Intercompany Employee Compensation,Invoice,AnyMind Japan Inc,2025-03-31,INVAJP0014629,CUSTINVC113183,INTCUS0244 AnyMind Group Inc. (JPY),INTCUS0244 AnyMind Group Inc. (JPY),61060 - Accounts Receivable : Intercompany Accounts Receivable : Debtors,Intercompany Employee Compensation,Intercompany Employee Compensation,Not Applicable,Not Applicable,Staff costs,,-9336809
3,40003,Intercompany Employee Compensation,Invoice,AnyMind Japan Inc,2025-03-31,INVAJP0014630,CUSTINVC113185,"INTCUS0369 Engawa Co., Ltd.","INTCUS0369 Engawa Co., Ltd.",61060 - Accounts Receivable : Intercompany Accounts Receivable : Debtors,Intercompany Employee Compensation,Intercompany Employee Compensation,Brand Commerce & Marketing,Intercompany,Staff costs,,-2524824
3,40003,Intercompany Employee Compensation,Invoice,AnyMind Japan Inc,2025-03-31,INVAJP0014628,CUSTINVC113181,INTCUS0368 GROVE Inc._For AJP,INTCUS0368 GROVE Inc._For AJP,61060 - Accounts Receivable : Intercompany Accounts Receivable : Debtors,Intercompany Employee Compensation,Intercompany Employee Compensation,Administration,Intercompany,Staff costs,,-3345251
2,40010,Employee Wages and Salaries,Bill,AnyMind Japan Inc,2025-02-01,所得税_202502,VENDBILL329588,VEN0000581 Payroll-Salary JPoffice,,80011 - Accounts Payable : Non-trade Creditors,所得税_202502,,Brand Commerce & Marketing,AnyTag,Staff costs,,2274439
