Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,0,0.1,0.2,0.3,-436,-436.1,0.4,0.5,-218,-1357.05,-1209,0.6,-3656.05
AJP,Cross Border SG&A (Manual),SG&A,CG,Rental expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,CG,Research and development,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,CG,Staff costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,CG,Telephone & Internet,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,CG,Transportation & Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,CG,Royalty Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Accounting and professional fee,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Advertising and marketing events,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Client Gifts and Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Depreciation and Amortization,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Depreciation - Lease,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Interest Expense - Lease,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Finance costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,General expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Insurance expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,IT expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
