(千円）,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
GROVE,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,12月（見込み）,,"累計
（1月-11月）"
売上高,233760,375401,202283.449491976,243017.913342935,304526.292058536,242961.111759251,281870.307407351,337158.405579164,303808.30752809,342904.831130378,416003.790872188,268089.656010815,577720.889771196,429262.878533566,232759.972,,3520344.95495188
原価,134797,199195,95695.1939055899,113038.191928694,167802.816037024,112326.616395758,134689.484044737,173950.812237719,189421.718880484,190989.561337778,131499.683506785,165031.962624845,362428.470312003,234027.437523637,113658.37,,1836874.51121142
粗利,98963,176206,106588.255586386,129979.72141424,136723.476021511,130634.495363492,147180.823362613,163207.593341445,114386.588647606,151915.2697926,284504.107365402,103057.693385969,215292.419459192,195235.441009928,119101.602,,1683470.44374046
人件費,34528,42525,46092.234,54635.751,45518.952,41135.88,42689.7103371731,33356.145,44869.328,45330.1490851301,47123.750512927,49476.655,48715.693,55318.3019999999,36288.48081,,498944.24793523
その他販管費,61331,64400,40201.1179999999,67522.821,59374.761,66093.945,74868.251,60922.409,59612.49,70659.891,73090.305,71442.7359999999,89612.904,46135.6169999999,40223.169,,733401.631
管理部門コスト,0,0,14828.7957330806,17425.7832416126,19588.2509480506,20019.9669578908,32473.7057543691,29284.4573494576,32778.0095512748,36814.2938094426,33874.7451813628,31725.9512469168,34595.8561796006,35947.518037828,17657.46986,,303409.815953059
エンジニアコスト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
営業利益 ,3104,69281,5466.10785330609,-9604.63382737233,12241.5120734606,3384.70340560186,-2850.84372892862,39644.5819919877,-22873.2389036684,-889.064101972791,130415.306671112,-49587.648860947,42367.966279592,57834.0039721008,24932.48233,,147714.748852171
粗利率,0.423,0.469,0.526925242050583,0.534856544631832,0.448971007059155,0.537676562383108,0.522157955253911,0.484067994867547,0.376509087517397,0.443024582919449,0.68389787210572,0.384415030850023,0.372658187147185,0.454815570535438,0.511692800856669,,0.478211784720816
営業利益率,0.013,0.185,0.0270220221527461,-0.0395223286022489,0.0401985391498071,0.0139310500396283,-0.0101140263944462,0.117584439052875,-0.0752883918473938,-0.00259274300406328,0.31349547656209,-0.184966662268187,0.0733363931090871,0.134728640337295,,,0.0419603052378118
1人当たり粗利益,1497,2698,1566.94389026518,1938.7832825685,1931.41762036871,1844.85863603634,1953.43472854222,2117.7357874007,1464.75104654399,1891.21753400228,3387.82952059315,1184.32266209083,2415.05525835598,2117.23362583924,,,
1人当たり営業利益,47,1061,80.3567359006714,-143.26314364343,172.929132630583,47.7997736422631,-37.8373827411988,514.416935769213,-292.89797884623,-11.0681014541755,1552.96466532255,-569.853393534395,475.26513012583,627.181710929346,,,
"人数(正社員=1, Intern&Part Time=0.3)",66,65,68.02302,67.0419033333333,70.7891833333333,70.81003,75.3446333333333,77.0670233333333,78.0928533333333,80.3267033333333,83.9782833333333,87.0182566666666,89.14596,92.2125166666666,,,
前月比_売上,1.08,1.606,0.538846325641052,1.20137319169344,1.25310224200963,0.797832955955571,1.16014577545502,1.19614729440768,0.901084779441326,1.1286881320672,1.21317564847611,0.644440415912418,2.15495404920766,0.743028140636517,,,
前月比_粗利,0.971,1.781,0.604907072326633,1.21945631532449,1.05188312864418,0.955464995221006,1.12666124635059,1.10889169942572,0.700865604998531,1.32808637436167,1.87278150349084,0.362236223372367,2.08904752654305,0.906838436301444,,,
前月比_人件費,0.984,1.232,1.08388557319223,1.18535697358474,0.833134919294877,0.903708855159934,1.03777311527486,0.781362645390317,1.34515928024656,1.01027029165959,1.03956751663067,1.04993033155176,0.984619776741172,1.13553351278406,,,
前月比_その他販管費,1.46,1.05,0.624240962732919,1.67962545220757,0.879328797592742,1.11316565973208,1.13275506553588,0.813728225065655,0.978498568564483,1.18532024077504,1.03439594889836,0.977458446780321,1.25433191696353,0.514832294688273,,,
(千円）,,,,,,,,,,,,,,,,,
ENGAWA,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月（見込み）,,"累計
（1月-12月）"
売上高,70082,154999,41178.8524595045,43426.1656084394,99818.2896208807,67496.5872955117,44811.2770396069,173928.998950962,65788.8683808401,72836.9028660017,95120.1653953645,83795.1638685944,103700.182599101,144322.888513474,146269.572,,1036224.34259828
原価,27314,49074,18982.4205733158,20068.7378436346,46120.9738201028,18804.2647408744,15878.3783793452,62666.471393478,31484.0072083997,39251.8510990062,35185.2992135604,44847.2206747689,56227.4625115805,50916.8646361687,49451.6239999999,,440433.952094235
粗利,42768,105924,22196.4318861887,23357.4277648048,53697.3158007778,48692.3225546372,28932.8986602616,111262.527557484,34304.8611724404,33585.0517669955,59934.866181804,38947.9431938254,47472.720087521,93406.0238773054,96817.948,,595790.390504047
人件費,28663,35069,33747.758,31282.387,28572.884,33851.743,31109.017,31298.354,30590.091,31009.302,28648.2849999999,32429.6707049396,35885.6508347622,42286.2279999999,31560.55245,,390711.370539701
その他販管費,24906,24868,21530.0219999999,14942.1009999999,13307.364,12812.508,16509.275,19958.162,16044.47,12291.8509999999,17455.973,15656.6929999999,13324.5219999999,14938.9709999999,17023.283,,188771.911999999
