Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,1,2,3,4,5,6,7,8,9,10,11,12
,JP,2401.0,2402.0,2403.0,2404.0,2405.0,2406.0,2407.0,2408.0,2409.0,2410.0,2411.0,2412.0,2501.0,2502.0,2503.0,2504.0,2505.0,2506.0,2507.0,2508.0,2509.0,2510.0,2511.0,2512.0
,AnyX,0.239130434782608,0.239130434782608,0.204545454545454,0.186046511627906,0.186046511627906,0.175609756097561,0.175609756097561,0.170731707317073,0.170731707317073,0.146341463414634,0.146341463414634,0.135897435897435,0.135897435897435,0.135897435897435,0.1575,0.1375,0.146341463414634,0.142857142857142,0.131578947368421,0.135135135135135,0.135135135135135,0.128205128205128,0.135135135135135,0.135135135135135
,AnyFactory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,AnyShop,0.0369565217391304,0.0369565217391304,0.0386363636363636,0.0395348837209302,0.0395348837209302,0.0414634146341463,0.0414634146341463,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.025,0.025,0.024390243902439,0.0285714285714285,0.0263157894736842,0.027027027027027,0.027027027027027,0.0256410256410256,0.027027027027027,0.027027027027027
,AnyManager,0.0695652173913043,0.0695652173913043,0.0727272727272727,0.0744186046511627,0.0744186046511627,0.073170731707317,0.073170731707317,0.073170731707317,0.073170731707317,0.073170731707317,0.073170731707317,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.075,0.075,0.073170731707317,0.0857142857142857,0.0789473684210526,0.081081081081081,0.081081081081081,0.0769230769230769,0.081081081081081,0.081081081081081
,AnyChat,0.119565217391304,0.119565217391304,0.125,0.13953488372093,0.13953488372093,0.146341463414634,0.146341463414634,0.102439024390243,0.102439024390243,0.102439024390243,0.102439024390243,0.107692307692307,0.107692307692307,0.107692307692307,0.105,0.13,0.0999999999999999,0.0885714285714285,0.081578947368421,0.0837837837837837,0.0837837837837837,0.0794871794871795,0.0837837837837837,0.0837837837837837
,AnyTag,0.0869565217391304,0.0717391304347826,0.075,0.0720930232558139,0.0720930232558139,0.0902439024390243,0.0902439024390243,0.102439024390243,0.102439024390243,0.102439024390243,0.102439024390243,0.107692307692307,0.107692307692307,0.107692307692307,0.105,0.0849999999999999,0.0829268292682926,0.0971428571428571,0.121052631578947,0.124324324324324,0.124324324324324,0.117948717948717,0.124324324324324,0.124324324324324
,AnyDigital,0.00869565217391304,0.00869565217391304,0.00909090909090909,0.00697674418604651,0.00697674418604651,0.0073170731707317,0.0073170731707317,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.0048780487804878,0.00512820512820512,0.00512820512820512,0.00512820512820512,0.005,0.005,0.0024390243902439,0.00285714285714285,0.00263157894736842,0.0027027027027027,0.0027027027027027,0.00256410256410256,0.0027027027027027,0.0027027027027027
,AnyLogi,0.117391304347826,0.117391304347826,0.122727272727272,0.116279069767441,0.116279069767441,0.121951219512195,0.121951219512195,0.117073170731707,0.117073170731707,0.117073170731707,0.117073170731707,0.123076923076923,0.123076923076923,0.123076923076923,0.12,0.05,0.024390243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,AnyCreator,0.00434782608695652,0.00434782608695652,0.00454545454545454,0.00930232558139534,0.00930232558139534,0.0195121951219512,0.0195121951219512,0.0146341463414634,0.0146341463414634,0.0146341463414634,0.0146341463414634,0.0153846153846153,0.0153846153846153,0.0153846153846153,0.015,0.005,0.0048780487804878,0.00571428571428571,0.0131578947368421,0.0135135135135135,0.0135135135135135,0.0128205128205128,0.0135135135135135,0.0135135135135135
,IT Strategy,0.143478260869565,0.13695652173913,0.143181818181818,0.169767441860465,0.169767441860465,0.129268292682926,0.129268292682926,0.0804878048780487,0.0804878048780487,0.0902439024390244,0.0902439024390244,0.0871794871794871,0.0871794871794871,0.0871794871794871,0.085,0.1925,0.204878048780487,0.182857142857142,0.207894736842105,0.186486486486486,0.186486486486486,0.176923076923076,0.175675675675675,0.175675675675675
,Designer,0.152173913043478,0.152173913043478,0.159090909090909,0.162790697674418,0.162790697674418,0.170731707317073,0.170731707317073,0.170731707317073,0.170731707317073,0.170731707317073,0.170731707317073,0.153846153846153,0.153846153846153,0.153846153846153,0.15,0.15,0.146341463414634,0.171428571428571,0.157894736842105,0.162162162162162,0.162162162162162,0.153846153846153,0.162162162162162,0.162162162162162
,Data Science,0.0217391304347826,0.0217391304347826,0.0227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Managing Director,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,POKKT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439,0.024390243902439,0.024390243902439,0.024390243902439,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.025,0.025,0.024390243902439,0.0285714285714285,0.0263157894736842,0.027027027027027,0.027027027027027,0.0256410256410256,0.027027027027027,0.027027027027027
