Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,SUM of Amount,,Month (YYMM),,,,,,,,,,何目的の契約なのか,
,科目,Vendor Name,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,Grand Total,Comment,Next steps
,,VEN0061091 麻利夫田中,,,70000,,140000,70000,70000,70000,70000,490000,"買収先メディアの元オーナー
6月いっぱいまでの契約を想定",カット
,,VEN0061100 陽高橋,,,166560,,,,,,,166560,正社員雇用前の業務委託費用,カット
,,VEN0061575 千恵三毛門,,,,,154600,8160,,,,162760,"買収先メディア（デイリーガジェット）の元オーナー
引き継ぎ目的のため、7月末にて契約終了予定",カット
,,VEN0061652 優果小林,,,,,16800,,,,,16800,正社員雇用前の業務委託費用,カット
,,VEN0061778 芽衣國定,,,,268772,-268772,,,,,0,正社員雇用前の業務委託費用,カット
,,VEN0064899 芽衣國定,,,,,268772,,,,,268772,正社員雇用前の業務委託費用,カット
,,VEN0065515 小林優果,,,,,,16800,,,,16800,正社員雇用前の業務委託費用,カット
,,VEN0065517 松村莉乃,,,,,,434368,,,,434368,正社員雇用前の業務委託費用,カット
,,VEN0066813 合同会社3Bros.works,,,,,,,,117000,108000,225000,ウェブ　デマンド事業のクリエイティブ作成費用,継続 & 金額ステイ
,,VEN0067785 宜彦水谷,,,,,,,,16320,28560,44880,ロールアップ事業におけるライター,継続 & 金額ステイ
,,VEN0067839 ラッコ株式会社,,,,,,,,280000,,280000,ロールアップ事業にて買収案件仲介のプラットフォーム費用,ショット
,業務委託費 Total,,4109624,4787581,3625877,4360201,4702052,4234856,3731277,3308007,2560613,35420088,,
,減価償却,,645833,645833,645833,1618055,2576388,2576388,2751388,2906944,2906944,17273606,8月より1件追加（ままポスト）,継続 & 金額ステイ
,減価償却 Total,,645833,645833,645833,1618055,2576388,2576388,2751388,2906944,2906944,17273606,,
,Grand Total,,20535395.3,18445121.5,23806890,25025991,26930382,23273924.7,24249249,22115896.9,19185090.3,203567940.70000002,,
