Unnamed: 0,Unnamed: 1,Unnamed: 2,338422929.9999998,326050739.9999999,346703407.33333325,330636526.36363626,351055105,GROVEには韓国案件が含まれている,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
ALL,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,11月（見込み）,,"累計
（1月 - 10月）",,,,,,,,10,Oct,,,,,,,,
売上高,1983611,2479974,1618817.4369436107,1750861.5157428435,2093259.3439087742,1676728.6114141766,1730577.361537463,2317607.5776420883,1903754.1810393352,1946604.830731842,2657176.5074711363,1814278.8012996248,0,0,,,19509666.167730894,,-842897.7061715114,,,,,,(千円）,,売上高,粗利,粗利構成比,1人当たり粗利益,粗利率,営業利益,1人当たり営業利益,営利率
原価,1090465,1396931,894322.6826293825,1009216.9542449949,1174055.6353505063,840498.6775630274,883504.7886963853,1298113.8864730112,1089630.854600216,1055260.8154177386,1345498.7211600204,1007901.8007679962,0,0,,,10598004.816903278,,-337596.9203920242,,,,,,ALL,,1814278.8012996248,806377.0005316286,,,,-16341.341729989974,,-0.009007073068529577
粗利,893146,1083043,724494.7543142282,741644.5614978486,919203.7085582679,836229.9338511493,847072.5728410777,1019493.6911690771,814123.3264391192,891344.0153141033,1311677.7863111158,806377.0005316286,0,0,,,8911661.350827616,,-505300.7857794872,-0.38523240315029267,,,,,,BM,370852.3762077245,167458.91941111503,0.20766827340153876,1537.0034585503954,0.4515514262670296,7502.759462735761,68.86326081315413,0.020231121449072936
人件費,199444,212412,222046.13055730343,235071.7759089509,223007.61999999976,238775.50543962538,233283.3247876641,236703.06758309502,238423.04611354065,236203.73058512984,248850.35951292657,248996.84070493933,0,0,245691.9317049395,,2361361.401193175,,146.48119201275404,0.0005886316270527431,,,,,,PM,0,0,0,0,0,0,0,0
その他販管費,376977,443487,338422.9299999998,326050.7399999999,346703.4073333333,330636.52636363625,351055.105,375026.589,346740.849,369971.8559999999,422826.72399999993,379466.51799999987,0,0,387407.60399999993,,3586901.244696969,,-43360.206000000064,-0.10254840467462996,,,,,,BC,211470.8221047861,122618.61307041462,0.15206114880455984,4827.088257761028,0.5798370283426418,36896.339414627306,1452.4865539005616,0.17447484739216065
管理部門コスト,103530,166804,87436.51963026224,109681.06584164657,112096.03060994695,122788.91751064,176716.86569087676,157714.2828211469,174228.96564678953,188429.16353612373,168107.32899999988,160880.74599999972,0,0,160922.73871904047,,1458079.8862874324,,-7226.583000000159,-0.04298791160973216,,,,,,PG Web,426971.54244542203,136414.9000623314,0.16917012758597497,3149.2115379293427,0.31949412666013627,58111.2102550743,1341.5286287252973,0.13610089778407752
エンジニアコスト,37373,33390,37235.05781165247,34981.11706183961,35856.404728796246,37465.7148368199,37926.77359499682,39636.24906396148,35752.24863326962,35346.663631619565,33808.56689882113,33374.237556679655,0,0,33374.2375566797,,361383.0338184565,,,,,,,,,PG App,117316.866,56122.579999999994,0.06959843840164026,3771.781845292375,0.4783845828271614,5470.170312375711,367.62901981477023,0.0466273136922675
営業利益,175821,226950,39354.11631501024,35859.86268541159,201540.24588619173,106563.26970042777,48090.503767540096,210413.50270087377,18978.2170455195,61392.601561230375,438084.8068993683,-16341.341729989974,0,0,,,1143935.7848315826,,,,,,,,,CG,9842.671759718283,3529.2986385750937,0.004376735244492708,841.7254361087934,0.35857120147183585,-5132.8822389088,-1224.1745410314506,-0.5214927779991023
粗利率,0.45,0.437,0.44754568228651037,0.4235883619745841,0.43912557286944925,0.49872706182657733,0.48947397074958243,0.43989055826539025,0.4276409919660199,0.4578967447537851,0.4936359261882282,0.4444614576072848,0,0,,,0.456781847224406,,,,,,,,,D2C Creator,118265.93,48321.072,0.059923673378758154,627.9402000333249,0.4085798166893881,-24571.795242748936,-1146.851906484441,-0.20776731931798903
