Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,YTD,YTD.1,YTD.2,YTD.3,YTD.4,YTD.5,YTD.6,YTD.7,YTD.8,YTD.9,YTD.10,YTD.11,YTD SUM
AJP,Base Budget Revision,Gross Profit,CG,Creator Growth : AdSense Non-BGM,8754.1915,8899.9028,9048.4309,8719.41398601398,14598.0617482517,20631.6612587412,34697.3133566433,45279.6389510489,55879.8889510489,63007.6605594405,73663.77006993,82124.2183216783,425304.1524027967
AJP,Base Budget Revision,Gross Profit,CG,Creator Growth : AdSense BGM,289976.9764,297426.862,305064.346,87649.951048951,88515.965034965,89390.6363636363,90274.0489510489,91166.3006993007,92067.4755244755,0,0,0,1431532.5620223773
AJP,Base Budget Revision,Gross Profit,CG,Creator Growth : Sponsorship,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,CG,Creator Growth : Others,56352.6777,60483.6934,61960.8309,34975.4479720279,35619.4393006993,36995.2837762237,39800.8776923076,39070.6016083916,41871.6278321678,41209.291048951,44075.019090909,43474.301048951,535889.0913706289
AJP,Base Budget Revision,Gross Profit,PG,Publisher Growth : Web,810273.0327,807907.9079,988766.4702,872468.146853146,888119.727272727,995707.37062937,954855.405594405,974781.132867132,1093241.27272727,1054514.75524475,1225235.2027972,1402415.47552447,12068285.90031047
AJP,Base Budget Revision,Gross Profit,PG,Publisher Growth : App,467973.8562,466519.7368,515675.4967,510111.888111888,526951.048951049,532433.566433566,555125.874125874,561895.104895104,541748.251748251,560384.615384615,586454.545454545,631209.79020979,6456483.775014682
AJP,Base Budget Revision,Gross Profit,PG,Publisher Growth : Others,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,POKKT,Mobile Marketing : App Performance : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,POKKT,Mobile Marketing : App Performance : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,POKKT,Mobile Marketing : Web Performance : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,POKKT,Mobile Marketing : Web Performance : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,POKKT,Mobile Marketing : Brand Business : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,POKKT,Mobile Marketing : Brand Business : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,D2C,D2C : Creator (AnyFactory),287921.5686,504927.6316,594178.8079,516839.16083916,642293.706293706,720524.475524475,478076.923076923,796293.706293706,684293.706293706,649790.209790209,758601.398601398,642734.265734265,7276475.560547547
AJP,Base Budget Revision,Gross Profit,D2C,"D2C : Enterprise (AnyX, AnyLogi and others)",694723.7255,547084.4934,683928.5828,593834.251748251,658526.237762237,764035.244755244,909770.895104895,817849.748251748,1005992.94405594,982324.587412587,1176575,1097712.08391608,9932357.794706982
AJP,Base Budget Revision,Gross Profit,D2C,D2C : B2B,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,D2C,D2C : B2C,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,New Business,New Business : Items,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,Gross Profit,Others,Others,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,SG&A,Accounting and professional fee,Accounting and professional fee,-17428.5379,-21233.9888,-17659.3795,-19416.5475524475,-19416.5475524475,-19416.5475524475,-20262.7013986014,-20262.7013986014,-20262.7013986014,-21193.4706293706,-21193.4706293706,-21193.4706293706,-238940.06494125852
AJP,Base Budget Revision,SG&A,Advertising and marketing events,Advertising and marketing events,-328499.1774,-346114.1931,-440397.1421,-360082.741645021,-381547.489070929,-471695.53569264,-464359.904438894,-424668.830344655,-510375.497455877,-453312.074207459,-493086.389820179,-561386.787693972,-5235525.762969626
AJP,Base Budget Revision,SG&A,Client Gifts and Entertainment,Client Gifts and Entertainment,-15444.4444,-14710.5263,-16562.9139,-17993.0069930069,-18608.3916083916,-20384.6153846153,-20223.7762237762,-20727.2727272727,-22853.1468531468,-22013.986013986,-22363.6363636363,-23762.2377622377,-235647.95453006952
AJP,Base Budget Revision,SG&A,Depreciation and Amortization,Depreciation and Amortization,-54508.7136,-59198.4639,-70876.3787,-72335.6666666666,-100715.62004662,-105406.762237762,-110214.454545454,-114614.221445221,-119247.088578088,-103396.27039627,-107825.174825174,-112224.941724941,-1130563.7566661965
AJP,Base Budget Revision,SG&A,Depreciation - Lease,Depreciation - Lease,-211385.891,-211757.0142,-214240.1937,-226650.087965202,-451622.698029384,-455535.961400314,-456292.246684569,-454841.953564013,-360293.64935433,-361286.241279693,-361789.571616621,-362039.808762567,-4127735.317556693
AJP,Base Budget Revision,SG&A,Interest Expense - Lease,Interest Expense - Lease,-8991.121,-8721.9049,-8535.4585,-8724.00961005794,-29559.6193178297,-29497.9640978887,-29197.7910491291,-28756.478497309,-25372.6220285436,-25226.5165521858,-25045.0727745714,-24845.3704111292,-252473.92873864443
AJP,Base Budget Revision,SG&A,Finance costs,Finance costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Base Budget Revision,SG&A,General expenses,General expenses,-85003.268,-86279.6053,-97856.5142,-100562.937062937,-194636.363636363,-112024.595091474,-105748.251748251,-149034.965034965,-116053.444038254,-107510.489510489,-107720.279720279,-197268.963941216,-1459699.677284228
AJP,Base Budget Revision,SG&A,Insurance expenses,Insurance expenses,-473.8562,-476.9737,-480.1325,-506.993006993007,-506.993006993007,-506.993006993007,-506.993006993007,-506.993006993007,-506.993006993007,-506.993006993007,-506.993006993007,-506.993006993007,-5993.899462937063
AJP,Base Budget Revision,SG&A,IT expenses,IT expenses,-296510.2868,-320761.0064,-392867.3338,-355127.759373959,-371370.997069597,-406637.73090243,-386136.848884448,-401069.977189477,-439428.776689976,-433833.287812187,-496895.018048618,-494602.195904095,-4795241.218874786
AJP,Base Budget Revision,SG&A,Other outsourced services,Other outsourced services,-351796.5229,-323847.8158,-319051.4768,-294944.489510489,-298440.993006992,-328434.79020979,-306144.58041958,-307193.531468531,-308474.258741258,-342674.433566433,-311905.202797202,-311555.552447552,-3804463.6476678266
AJP,Base Budget Revision,SG&A,Recruitment,Recruitment,-135808.2795,-156420.0212,-157437.2165,-178907.446083916,-178907.446083916,-185900.453076923,-115970.383146853,-101984.369160839,-94991.3621678321,-199886.467062937,-46040.3132167832,-46040.3132167832,-1598294.0704167827
AJP,Base Budget Revision,SG&A,Rental expenses,Rental expenses,-941.1765,-947.3684,-953.6424,-1006.993006993,-1510.48951048951,-1510.48951048951,-1510.48951048951,-1510.48951048951,-1510.48951048951,-1510.48951048951,-1510.48951048951,-1510.48951048951,-15933.096390909077
AJP,Base Budget Revision,SG&A,Research and development,Research and development,-285255.9179,-274235.0316,-296515.7018,-276238.2954,-279968.2754,-294203.2954,-310114.4895,-309463.4395,-329535.5795,-329454.2695,-326665.9095,-328489.9995,-3640140.2044999995
AJP,Base Budget Revision,SG&A,Staff costs,Staff costs,-986730.0283,-1022028.9359,-925283.8964,-1131199.52360532,-1141873.427206,-1060369.76001043,-1221764.81487866,-1222874.99236273,-1155642.42216593,-1256312.97378142,-1270777.97960286,-1838138.34947426,-14232997.10368761
AJP,Base Budget Revision,SG&A,Telephone & Internet,Telephone & Internet,-7761.4379,-7812.5,-7864.2384,-8304.1958041958,-8304.1958041958,-8304.1958041958,-8304.1958041958,-8304.1958041958,-8304.1958041958,-8304.1958041958,-8304.1958041958,-8304.1958041958,-98175.9385377622
AJP,Base Budget Revision,SG&A,Transportation & Accommodation,Transportation & Accommodation,-55500.2433,-56594.4628,-62931.2894,-60654.1220587412,-60871.6039753846,-67337.907698193,-63219.3344761009,-63124.8226035765,-69403.9472068883,-64091.5633931754,-64286.9738612302,-70116.9498813035,-758133.2206545935
AJP,Base Budget Revision,SG&A,Royalty Expenses,Royalty Expenses,-158598.3333,-196193.7829,-264253.4636,-152574.699300699,-137317.23076923,-242212.335664335,-219251.111888111,-339376.986013986,-207838.524475524,-197209.153846153,-234936.426573426,-415321.041958041,-2765083.0902895047
