Month,2025-12-01 00:00:00,,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Key Financials,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
i. P&L -Current Month/YTD,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,,OP,,YTD GP,,YTD OP,,,,,,,,,,,,,,,,,,,,
5942099.0913548665,,2372349.9107494396,,49496073.625990264,,9697619.25011953,,,,,,,,,,,,,,,,,,,,
-17011.60284091998,-0.0028547217385119887,1230546.878182799,1.077722552038308,-7611553.856607579,-0.1332843648412292,-3014966.279308893,-0.2371638933975731,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ii. Profits by Dept.,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Month (USD'000),,,,,,,,,,,,,,,,,,,,,,,,,,
Dept.,,Budget,Actual,GP Ach.%,"Var. vs, Bud.",Bud. GP %,Act. GP %,Outperfomed,Underperformed,Overall GP%,,,,,,,,,,,,,,,,
DM,8861.35844291687,10916.8829244569,10916.8829244569,1.2319649402268642,0,0,0,,,,,,,,,,,,,,,,,,,
PG,4440526.35472178,1615311.0478226,714389.9494495882,0.16087956525467983,52.99999999999994,30477.566940049088,13479.055649992244,,,,,,,,,,,,,,,,,,,
IM,2926815.47474604,1500954.054041,508354.00181059865,0.17368843584329777,89.99999999999974,16677.26726712227,5648.377797895557,,,,,,,,,,,,,,,,,,,
CG,2802917.12421378,776699.50602218,724817.0151028732,0.2585938088719569,3.9999999999999947,194174.87650554525,181204.25377571853,,,,,,,,,,,,,,,,,,,
D2C,3706040.17889103,2038217.6005446292,413872.06146192295,0.11167500660658437,51.999999999999936,39196.49231816599,7959.07810503699,,,,,,,,,,,,,,,,,,,
POKKT,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,,,,,,,,,
Group,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,
Year 2025-Group,,#REF!,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Year 2024-Group,,20675212,22079463,28275531,24893852,24970947,26655860,27294946,28652562,32450033,30052146,32341520,36259430,,,,,,,,,,,,,
Revenue - Group - 2025 - MoM%,,0,-1,,,,,,,,,,,,,,,,,,,,,,,
Revenue - Group - 2024 - MoM%,,,0.06791954539571354,0.28062584674274005,-0.11959736494426931,0.003096949399393978,0.0674749339702656,0.02397544104748439,0.049738731851676876,0.13253512897031694,-0.07389474765711335,0.07618005050288246,0.12114180162218724,,,,,,,,,,,,,
Revenue - Group - YoY%,,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Local,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,
