Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,SUM of Amount,,Month (YYMM),,,,,,,,,,何目的の契約なのか,
,,VEN0053616 株式会社DYMキャリア,1460000,2320434,1648366,-500000,446607,337399,,,,5712806,社内会食,カット
,,VEN0054656 株式会社ハックルベリー,3380000,1320000,,,,,,,,4700000,- ECサイト開発費,継続 & 金額ダウン
,,VEN0055952 株式会社阪神コンテンツリンク,300000,150000,150000,150000,150000,150000,150000,150000,150000,1500000,- ビルボードへのチャート連携システム利用料,継続 & 金額ステイ
,,VEN0056057 Glossom株式会社,1420000,,,,,,,,,1420000,- CS外注費,カット
,,VEN0056057 グリーエックス株式会社,,6650000,620000,620000,320000,320000,1059200,695000,1096000,11380200,"- CS外注費
- 社名変更に伴い2月からこちらへ移管",継続 & 金額ダウン
,,VEN0056424 ＨＥＲＯＺ株式会社,300000,,,,,,,,,300000,- RPO,カット
,,VEN0059622 株式会社FANY,,1478200,,972000,,,,,,2450200,- サーバー補填費用,カット
,,VEN0061779 結衣児島,,,,53400,42000,46500,42250,33553,12000,229703,- サントリーファンダムマーケ支援,継続 & 金額ステイ
,,VEN0061959 GMOリサーチ&AI株式会社,,,445000,,,,,,,445000,- カルビ、アンケート調査,カット
,,VEN0062421 株式会社Helpfeel,,,,290000,290000,290000,290000,290000,290000,1740000,- CSツール利用,継続 & 金額ステイ
,,VEN0062573 W3-O PTE LTD,,,,760657,,,,984890,,1745547,- クリエイティブ制作費（カルビー。SGの会社）,ショット
,,VEN0066608 株式会社キャリママ,,,,,,,71031,9958,,80989,- リード獲得の業務委託費,継続 & 金額ステイ
,業務委託費 Total,,20749065,17613634,9091396,10890354,6344607,9060399,5857981,8468037,8828150,96903623,,
,Grand Total,,26141518,20650814,12057992,13977940,8765322,11283779,9675625,12141503,14993273,129687766,,
