投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均 視聴時間,視聴 維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規 フォロー,フォロー率,おすすめ率
2025-10-17 00:00:00,怪獣ちゃん,PR,TikTok,Hina,バズったダヴ×堂島ロールが、いちごになって帰ってきたぁぁ！！🍓 あま〜い香り＋フワッフワ泡＝バスタイムで完全に風呂キャン卒業！！！ 数量限定だから、はぜひAmazonでチェックしてみてね #PR #ダヴ #ボディウォッシュ #スクラブ #堂島ロール,https://www.tiktok.com/@cosme_kaiju/video/7562189978365644050?is_from_webapp=1,単品,2025-12-24 13:33:34,30.0,6700000.0,23900.0,79.0,621.0,4025.0,0.003567164179,1.179104478e-05,9.268656716e-05,0.0006007462687,10.4,0.3466666667,71.0,38.0,30.0,20.32,27.0,4.029850746e-06,62.0
2025-10-17 00:00:00,ももそら,PR,TikTok,Hina,Xでバズったダヴ×堂島ロールコラボから…🍓待望のいちごフレーバー登場！ ふわとろ泡＆甘い香りで、お風呂がご褒美タイムに🫧 数量限定だからチェックしてね！ #PR #ダヴ #ボディウォッシュ #スクラブ #堂島ロール,https://www.tiktok.com/@cosme_daisuki.kaigi/video/7562130241204882695?is_from_webapp=1&sender_device=pc&web_id=7490419609456199185,単品,2025-12-24 13:29:46,48.0,2900000.0,4002.0,17.0,83.0,554.0,0.00138,5.862068966e-06,2.862068966e-05,0.0001910344828,10.4,0.2166666667,71.0,38.0,30.0,20.32,27.0,9.310344828e-06,62.0
2025-10-21 00:00:00,突撃ちゃん,PR,TikTok,Riho,一生リピしたい化粧下地がこれ！！使いながら素肌もトーンアップできちゃうってやばすぎない？！🫢Qoo10にあるからチェックしてみてねん！ #PR #ナンバーズイン5番 #メイクアップベース #下地 #美白,https://www.tiktok.com/@totsugeki_cosme/video/7563605802741763348?is_from_webapp=1&sender_device=pc&web_id=7490419609456199185,単品,2025-12-24 13:31:17,31.0,2100000.0,3505.0,30.0,76.0,534.0,0.001669047619,1.428571429e-05,3.619047619e-05,0.0002542857143,10.4,0.335483871,71.0,38.0,30.0,20.32,27.0,1.285714286e-05,62.0
2025-10-08 00:00:00,韓国オンニ,PR,TikTok,Hina,韓国でバズってた「コムハニーリップ」って知ってる？💄🍯 オリヤンで1位*の、とろけるのにベタつきにくいツヤ系のチップでチークとしても使いやすい3CEの万能新作リップ！✨ 今なら可愛すぎるおまけも付いてくるからぜひゲットしてみてね！🇰🇷 *2025年2月5日午前7時時点のオリーブヤングオンラインモールのメイクアップカテゴリリアルタイムランキングに基づく #PR #3CE #グレイジーリップグロウ #コムハニーリップ #リップアンドチーク,https://www.tiktok.com/@choa_cosme/video/7558780244086377746?is_from_webapp=1&sender_device=pc&web_id=7490419609456199185,単品,2025-12-24 13:30:30,41.0,1900000.0,3734.0,25.0,76.0,441.0,0.001965263158,1.315789474e-05,4e-05,0.0002321052632,10.4,0.2536585366,71.0,38.0,30.0,20.32,27.0,1.421052632e-05,62.0
2025-10-27 00:00:00,モテコスメちゃん,PR,TikTok,Maya,唇すぐカサカサになっちゃう子は絶対見て〜〜〜！！ 冬もティント楽しめちゃうんだって！！🥺 みんなもこれでモテリップ作ってこ〜〜！ @【公式】RICE FORCE  #PR #ライスフォース #リップ #リップケア #おまもリップ,https://www.tiktok.com/@mote_cosme/video/7565834163060870420?is_from_webapp=1#,単品,2025-12-24 13:31:46,28.0,1700000.0,477.0,6.0,26.0,82.0,0.0002805882353,3.529411765e-06,1.529411765e-05,4.823529412e-05,10.4,0.3714285714,71.0,38.0,30.0,20.32,27.0,1.588235294e-05,62.0
2025-10-04 00:00:00,突撃ちゃん,通常,YT,Riho,スリコで買える！毛染め禁止でも可愛く垢抜けるヘアチョーク #コスメ #美容 #ヘアアレンジ #3coins #垢抜け,https://youtube.com/shorts/_vsNdmXVJ-8?si=kkxVn6doNmCY1FQH,単品,2026-01-12 18:44:06,17.0,1634126.0,20065.0,98.0,,,0.01227873493,5.997089576e-05,0,0,10.4,0.6117647059,71.0,38.0,30.0,20.32,27.0,1.652259373e-05,62.0
2025-10-24 00:00:00,成分オタクちゃん,PR,TikTok,Riho,待て待て待て〜〜！！ダーマレーザーから出た新作パックがエグすぎるじゃねえか‼️💢‼️💢‼️💢‼️💢またダーマレーザーって思ったやつ、気持ちはわかるが見逃すと後悔だぞ！ #PR #クオリティファースト #ダーマーレーザー #PDRN #シートマスク,https://www.tiktok.com/@seibun_otakuchan/video/7564717302738865429?is_from_webapp=1&sender_device=pc&web_id=7490419609456199185,単品,2025-12-24 13:30:22,34.0,1600000.0,1472.0,8.0,55.0,214.0,0.00092,5e-06,3.4375e-05,0.00013375,10.4,0.3058823529,71.0,38.0,30.0,20.32,27.0,1.6875e-05,62.0
2025-10-02 00:00:00,突撃ちゃん,通常,TikTok,Riho,スリコのヘアチョークがやばすぎる！！！！イベントの時に絶対いい！！しかも安心して、ちゃんと300円💰 #スリコ #3coins #イベント #ヘアアレンジ #イベントヘア,https://www.tiktok.com/@totsugeki_cosme/video/7556629657009933588?is_from_webapp=1&sender_device=pc&web_id=7490419609456199185,単品,2025-12-24 13:31:00,16.0,1500000.0,16900.0,171.0,2278.0,6199.0,0.01126666667,0.000114,0.001518666667,0.004132666667,10.4,0.65,71.0,38.0,30.0,20.32,27.0,1.8e-05,62.0
2025-10-19 00:00:00,韓国オンニ,PR,TikTok,Hina,グルタチオン100%×トラネキサム酸10%！？こんな超高濃度ありえる？😳 カチッと混ぜて“新鮮そのまま”の美白成分を肌にONできて、2週間で色素悩みをまとめてケア！ ナンバーズイン5番白玉ラインの新作美白集中美容液、10/1からQoo10日本限定発売だから絶対チェックしてね💖 #PR #ナンバーズイン #美容液 #新作コスメ #韓国コスメ,https://www.tiktok.com/@choa_cosme/video/7562874405609590034?is_from_webapp=1&sender_device=pc&web_id=74904196094561991855,単品,2025-12-24 13:30:42,49.0,1400000.0,2398.0,6.0,62.0,238.0,0.001712857143,4.285714286e-06,4.428571429e-05,0.00017,10.4,0.212244898,71.0,38.0,30.0,20.32,27.0,1.928571429e-05,62.0
2025-10-03 00:00:00,突撃ちゃん,PR,TikTok,Riho,秋服クリーニング出してない人！！！レノアから新しく出たハピネスミスト使ってみて！！ファブリーズの消臭力あるし、5つ星ホテルみたいな香りがするの！！🥺これ使った日はいい匂いって褒められちゃうからみんなも試してみてねん！ #PR #ハピネスミスト #ファブリックミスト #レノアハピネス #ファブリーズ,https://www.tiktok.com/@totsugeki_cosme/video/7556920446654876929?is_from_webapp=1&sender_device=pc&web_id=7490419609456199185,単品,2025-12-24 13:31:02,26.0,1000000.0,1518.0,14.0,102.0,115.0,0.001518,1.4e-05,0.000102,0.000115,10.4,0.4,71.0,38.0,30.0,20.32,27.0,2.7e-05,62.0
2025-10-18 00:00:00,肌コミちゃん,通常,TikTok,Riho,やばい！！！！無印でめっちゃいいBBクリーム見つけちゃった🥺🤍 #無印良品 #無印 #下地 #化粧下地,https://www.tiktok.com/@bihadanaritaina/video/7562493289119714580?is_from_webapp=1,単品,2025-12-24 13:33:55,26.0,813000.0,8331.0,59.0,444.0,5567.0,0.01024723247,7.257072571e-05,0.0005461254613,0.006847478475,10.4,0.4,71.0,38.0,30.0,20.32,27.0,3.32103321e-05,62.0
2025-10-17 00:00:00,モテコスメちゃん,PR,TikTok,Maya,カチッ！フリフリ〜って使う美容液！ ナンバーズインから、新しい美容液がデビュー！ しかも、美白成分の配合もすごく贅沢になってるから、透明感ケア頑張ってる子はぜひチェックしてみてね〜〜！！🫧 #PR #ナンバーズイン #美容液 #新作コスメ #韓国コスメ,https://www.tiktok.com/@mote_cosme/video/7562119668522028309?is_from_webapp=1#,単品,2025-12-24 13:31:36,43.0,747900.0,1076.0,6.0,41.0,90.0,0.001438695013,8.022462896e-06,5.482016312e-05,0.0001203369434,10.4,0.2418604651,71.0,38.0,30.0,20.32,27.0,3.610108303e-05,62.0
2025-10-16 00:00:00,怪獣ちゃん,PR,TikTok,Hina,「下地なのに美容液級」って話題沸騰中！！🔥 ナンバーズイン美白5番シリーズから進化した、白玉トーンアップベースが登場🤍 みずみずしいテクスチャーで瞬間透明感、SPF50+ PA++++で紫外線対策も◎ 白玉肌を本気で目指すなら、これは絶対ゲットして！！！！！ #PR #ナンバーズイン5番 #メイクアップベース #下地 #美白,https://www.tiktok.com/@cosme_kaiju/video/7561751443141659922?is_from_webapp=1,単品,2025-12-24 13:33:32,46.0,711200.0,1261.0,9.0,52.0,95.0,0.001773059618,1.265466817e-05,7.311586052e-05,0.0001335770529,10.4,0.2260869565,71.0,38.0,30.0,20.32,27.0,3.79640045e-05,62.0
2025-10-22 00:00:00,成分オタクちゃん,通常,TikTok,Riho,,https://www.tiktok.com/@seibun_otakuchan/video/7563974262604762388?is_from_webapp=1&sender_device=pc&web_id=7490419609456199185,単品,2025-12-24 13:30:16,50.0,696100.0,747.0,5.0,45.0,24.0,0.001073121678,7.182876024e-06,6.464588421e-05,3.447780491e-05,10.4,0.208,71.0,38.0,30.0,20.32,27.0,3.878753053e-05,62.0
2025-10-23 00:00:00,ももそら,PR,TikTok,Hina,あの大人気ナンバーズイン5番白玉シリーズからグルタチオン100％×トラネキサム酸10％の新作美白美容液が登場するよ！？ カチッと混ぜて新鮮そのまま美白集中ケアできるし、10/1からQoo10限定発売だからみんなこれは絶対チャックして✨ #PR #ナンバーズイン #美容液 #新作コスメ #韓国コスメ,https://www.tiktok.com/@cosme_daisuki.kaigi/video/7564352500048956679?is_from_webapp=1&sender_device=pc&web_id=7490419609456199185,単品,2025-12-24 13:29:52,55.0,684000.0,1178.0,10.0,30.0,188.0,0.001722222222,1.461988304e-05,4.385964912e-05,0.0002748538012,10.4,0.1890909091,71.0,38.0,30.0,20.32,27.0,3.947368421e-05,62.0
