投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均 視聴時間,視聴 維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規 フォロー,フォロー率,おすすめ率
2025-12-04 00:00:00,ビビちゃん,PR,TikTok,Maya,歯黄ばんでるやつ見ないと損かも！！！ ドラストでサクッと買えちゃうのも嬉しいよね〜〜〜🎶 #PR #シュミテクト #ホワイトニング #歯磨き粉　#ホワイトニング歯磨き,https://www.tiktok.com/@bibichan_cosme/video/7579932510952377620?is_from_webapp=1&sender_device=pc&web_id=7550509021708797447,単品,2026-01-20 09:10:39,26.0,470800.0,509.0,5.0,28.0,149.0,0.001081138488,1.06202209e-05,5.947323704e-05,0.0003164825828,10.4,0.4,71.0,38.0,30.0,20.32,27.0,5.734919286e-05,62.0
2025-12-27 00:00:00,kana,通常,YT,Ryusei,Part 2 | my Japanese sister wants to introduce Japanese snacks but she can’t speak English fluently,https://youtube.com/shorts/_VroP76dK0o?si=M9KekcRjy7rjBvRj,単品,2026-01-20 09:14:25,30.0,1868813.0,47045.0,670.0,,,0.02517373327,0.0003585163417,0,0,,0,,,,,,0,
2025-12-16 00:00:00,kana,通常,TikTok,Ryusei,i love her “uun” face at last #jbeauty #japan #cosmetics #makeups #sister,https://www.tiktok.com/@__kanachan__/video/7584265180360510775,単品,2026-01-20 09:06:20,29.0,381600.0,38800.0,244.0,601.0,2603.0,0.1016771488,0.0006394129979,0.001574947589,0.006821278826,,0,,,,,,0,
2025-12-25 00:00:00,コスメ俱楽部,通常,IG,Moeka,幻と言われるあのコスメも発見！粘膜も涙袋も隠しアイラインも結局キャンメイクに勝るもの無しだよね  #コスメ #美容 #メイク #美容オタク #プチプラ #キャンメイク #粘膜ライナー #アイライナー #アイライナーペンシル #ベストコスメ2025,https://www.instagram.com/reel/DSrj4aqEiL-/?igsh,単品,2026-01-07 16:48:39,23.666,372266.0,9838.0,10.0,,,,,,,,,,,,,,0,
2025-12-25 00:00:00,コスメ俱楽部,通常,IG,Moeka,幻と言われるあのコスメも発見！粘膜も涙袋も隠しアイラインも結局キャンメイクに勝るもの無しだよね  #コスメ #美容 #メイク #美容オタク #プチプラ #キャンメイク #粘膜ライナー #アイライナー #アイライナーペンシル #ベストコスメ2025,https://www.instagram.com/reel/DSrj4aqEiL-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,単品,2026-01-07 16:32:52,23.666,372166.0,9830.0,10.0,,,0.02641294476,2.686973017e-05,0,0,,0,,,,,,0,
2025-12-24 00:00:00,コスメ俱楽部,通常,TikTok,Moeka,クリーミータッチライナー大量すぎてやばい！幻たちも大揃いですよ😆😆 #canmake  #キャンメイク  #クリーミータッチライナー  #plaza  #コスメ,https://www.tiktok.com/@cosme_katari.club/video/7586940771626962196?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026-01-20 09:06:55,23.0,524800.0,21700.0,23.0,134.0,2848.0,,,,,,,,,,,,0,
2025-12-01 00:00:00,美容探偵,通常,TikTok,Moeka,LUSHの大人気石鹸を削って数えてみた！！！これめっちゃいい匂いだよね！？🤔 #LUSH #検証 #みつばちマーチ #コスメ #美容,https://www.tiktok.com/@tantei_cosme/video/7578829290339339540?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026-01-20 09:06:58,34.0,300500.0,1581.0,25.0,10.0,102.0,0.005261231281,8.319467554e-05,3.327787022e-05,0.0003394342762,10.4,0.3058823529,71.0,38.0,30.0,20.32,27.0,8.985024958e-05,62.0
2025-12-19 00:00:00,kana,通常,YT,Ryusei,pov : my Japanese sister wants to show her daily makeup but she can’t speak English #jbeauty,https://youtube.com/shorts/mt4wtAj3AsU?si=cET3Y-6jriknQZjq,単品,2026-01-20 09:14:42,40.0,296110.0,13946.0,187.0,,,0.04709736247,0.0006315220695,0,0,,0,,,,,,0,
2025-12-01 00:00:00,ビビちゃん,通常,IG,Maya,コスメの魔法でトキメキとキュンコスメをお届けする🥰ビビちゃんです🧚‍♀️💚💄  今回はコスパ良すぎ！【無印良品🤍ノーファンデ化粧下地】を紹介します💄🫶🏻 参考になったら嬉しいです🥰  ビビちゃんでは『コメント欄』と『DM』を解放しています!! 紹介した商品で気になった事や、紹介してほしい商品がある方はぜひ『コメント欄』や『DMに』✍🏻  この投稿が参考になったらあとで見返せるように『保存』お願いします💓 『いいね』を押していただけるととても励みになります！  #モテコスメ #美容 #コスメ #コスメ紹介 #コスメレビュー #コスメ購入品 #コスメ好きな人と繋がりたい #コスメ好きさんと繋がりたい #メイク #メイク好きさんと繋がりたい #可愛くなりたい #美容好き #垢抜けコスメ #垢抜ける方法 #プチプラコスメ #新作コスメ #ベースメイク #化粧下地 #ベストコスメ #ノーファンデ #ノーファンデ生活 #無印良品 #無印良品購入品 #無印,https://www.instagram.com/reel/DRtwxV1ktGc/?igsh=MWV4ejI5cmc4dzBwMQ==,単品,2026-01-07 16:36:04,21.966,264910.0,1857.0,2.0,,,0.0070099279,7.549733872e-06,0,0,10.4,0.4734589821,71.0,38.0,30.0,20.32,27.0,0.0001019214073,62.0
2025-12-24 00:00:00,Sakurabeauty,通常,TikTok,Riho,"I have sensitive skin, and my skin gets oily in summer. #kbeauty #koreanskincare #koreaserum #kbeautyskincare #kbeautyserum",https://www.tiktok.com/@sakurajkbeauty/photo/7587230877835480375?is_from_webapp=1&sender_device=pc&web_id=7584429213861414430,単品,2026-01-22 09:06:19,-,377900.0,17000.0,96.0,644.0,9086.0,0.04498544589,0.0002540354591,0.001704154538,0.02404339772,-,-%,-,-,-,3.6/8,225.0,0.0005953956073,97.0
