投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均視聴時間,視聴維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規フォロー,フォロー率,おすすめ率
2025-04-01 00:00:00,美容探偵,通常,,,ティーフィットプライマー,https://www.tiktok.com/@tantei_cosme/video/7488257159713541381?is_from_webapp=1&sender_device=pc&web_id=7195012036576167425,単品,,19.0,449700.0,9166.0,47.0,72.0,2527.0,0.02038247721,0.0001045141205,0.0001601067378,0.005619301757,6.5,0.3421052632,0.77,0.41,0.31,0.1195,14.0,,0.945
2025-04-01 00:00:00,コスメ怪獣ちゃん,PR,,,ルルルン,https://www.tiktok.com/@cosme_kaiju/video/7488267572488572165?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,17.0,10200.0,86.0,20.0,3.0,35.0,0.008431372549,0.001960784314,0.0002941176471,0.003431372549,4.8,0.2823529412,0.74,0.35,0.19,0.0735,1.0,,0.837
2025-04-01 00:00:00,韓国オンニ,通常,,,ネーミングハイライト,https://www.tiktok.com/@choa_cosme/video/7488275490017381637?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,18.0,57200.0,1275.0,20.0,13.0,597.0,0.02229020979,0.0003496503497,0.0002272727273,0.01043706294,6.0,0.3333333333,0.82,0.45,0.28,0.1087,8.0,,0.954
2025-04-01 00:00:00,成分オタクちゃん,通常,,,ドンキ3選,https://www.tiktok.com/@seibun_otakuchan/video/7488295259844218117?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,まとめ,,44.0,249800.0,2933.0,24.0,133.0,1653.0,0.01174139311,9.607686149e-05,0.0005324259408,0.006617293835,10.3,0.2340909091,0.8,0.42,0.29,0.0997,59.0,,0.987
2025-04-01 00:00:00,肌コミちゃん,通常,,,AnuaPDRN使い切り,https://www.tiktok.com/@bihadanaritaina/video/7488312722342432006?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,19.0,21800.0,239.0,27.0,1.0,50.0,0.01096330275,0.00123853211,4.587155963e-05,0.002293577982,8.1,0.4263157895,0.74,0.42,0.34,0.2,3.0,,0.916
2025-04-01 00:00:00,ビビちゃん,通常,,,キュレルクリーム,https://www.tiktok.com/@bibichan_cosme/video/7488296237104385286?is_from_webapp=1&sender_device=pc&web_id=7257366517452523010,単品,,19.0,514000.0,11800.0,72.0,80.0,3850.0,0.02295719844,0.000140077821,0.0001556420233,0.007490272374,7.2,0.3789473684,0.83,0.55,0.33,0.1402,44.0,,0.966
2025-04-01 00:00:00,モテコスメちゃん,PR,,,カラミー化粧水,https://www.tiktok.com/@mote_cosme/video/7488292551192038661?is_from_webapp=1&sender_device=pc&web_id=7257366517452523010,単品,,35.0,6634.0,143.0,20.0,1.0,43.0,0.02155562255,0.003014772385,0.0001507386192,0.006481760627,9.3,0.2657142857,0.71,0.35,0.24,0.0276,0.0,,0.666
2025-04-01 00:00:00,新規,通常,,,洗顔質問,https://www.tiktok.com/@cosme_gachiko/video/7488307141116267831?is_from_webapp=1&sender_device=pc&web_id=7257366517452523010,単品,,34.0,1429.0,2.0,1.0,0.0,0.0,0.001399580126,0.000699790063,0,0,,0,,,,,,,
2025-04-02 00:00:00,肌コミちゃん,通常,,,glow下地（改）,https://www.tiktok.com/@bihadanaritaina/video/7488634544380284215?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,22.0,140300.0,4999.0,20.0,48.0,2181.0,0.03563079116,0.000142551675,0.00034212402,0.01554526016,5.5,0.25,0.8,0.34,0.23,0.07,0.0,,0.82
2025-04-02 00:00:00,韓国オンニ,通常,,,プラザ新作3選,https://www.tiktok.com/@choa_cosme/video/7488647496965623046?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,まとめ,,40.0,357100.0,6172.0,23.0,70.0,1695.0,0.01728367404,6.440772893e-05,0.0001960235228,0.004746569588,10.1,0.2525,0.76,0.49,0.35,0.1031,80.0,,0.993
