投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均視聴時間,視聴維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規フォロー,フォロー率,おすすめ率
2024-08-01 00:00:00,韓国オンニ,通常,,,Fweeガラス玉ファンデ,https://vt.tiktok.com/ZS2JDvUDH/,短尺,,26.93,18045.0,331.0,8.0,2.0,65.0,0.01834303131,0.0004433361042,0.000110834026,0.003602105846,7.1,0.2636464909,74.0,40.0,28.0,12.04,5.0,,
2024-08-01 00:00:00,美忘録ちゃん,通常,,,絶対落ちないティント,https://www.tiktok.com/@otoroom01/video/7398126053522230546?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,24.01,68409.0,917.0,20.0,2.0,179.0,0.01340466898,0.0002923591925,2.923591925e-05,0.002616614773,8.4,0.3498542274,78.0,46.0,36.0,16.85,11.0,,
2024-08-03 00:00:00,美忘録ちゃん,通常,,,キープ力最強パウダー,https://www.tiktok.com/@otoroom01/video/7398887145550679304?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,24.38,4334.0,99.0,2.0,0.0,36.0,0.02284263959,0.0004614674665,0,0.008306414398,8.3,0.3404429861,82.0,41.0,28.0,14.2,0.0,,
2024-08-02 00:00:00,ビビちゃん,PR,,,韓国むき卵パック,https://www.tiktok.com/@bibichan_cosme/video/7398470627230878993?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,39.87,15678.0,148.0,1.0,1.0,20.0,0.009439979589,6.378364587e-05,6.378364587e-05,0.001275672917,3.4,0.08527715074,60.0,22.0,8.0,1.48,3.0,,
2024-08-01 00:00:00,モテコスメちゃん,PR,,,色持ち抜群最強ティント,https://www.tiktok.com/@mote_cosme/video/7398107008064359685?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,23.68,5051.0,169.0,2.0,0.0,21.0,0.03345872105,0.0003959611958,0,0.004157592556,4.9,0.2069256757,77.0,39.0,20.0,4.8,1.0,,46.0
2024-08-01 00:00:00,美容探偵,PR,,,IKNOWSNOWティント,https://www.tiktok.com/@tantei_cosme/video/7398106736047033605?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,23.01,1672.0,56.0,1.0,0.0,7.0,0.03349282297,0.0005980861244,0,0.004186602871,4.7,0.2042590178,67.0,25.0,14.0,4.93,1.0,,
2024-08-02 00:00:00,美容探偵,PR,,,Hemeアイシャドウ,https://www.tiktok.com/@tantei_cosme/video/7398471215649934609?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,34.55,1228.0,64.0,0.0,0.0,4.0,0.05211726384,0,0,0.00325732899,4.4,0.1273516643,61.0,26.0,14.0,3.8,1.0,,
2024-08-01 00:00:00,肌コミちゃん,通常,,,マツキヨクレンジング,https://www.tiktok.com/@bihadanaritaina/video/7398116660512640273?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,28.82,28576.0,542.0,1.0,14.0,264.0,0.01896696529,3.49944009e-05,0.0004899216125,0.009238521837,8.3,0.2879944483,82.0,41.0,27.0,13.12,17.0,,
2024-08-06 00:00:00,肌コミちゃん,通常,,,アヌアパック,https://www.tiktok.com/@bihadanaritaina/video/7399962977815842065?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,25.75,57510.0,1529.0,14.0,11.0,278.0,0.02658668058,0.0002434359242,0.0001912710833,0.004833941923,8.1,0.3145631068,76.0,42.0,30.0,12.34,35.0,,92.0
2024-08-05 00:00:00,突撃ちゃん,通常,,,爆モテ美白パッド,,短尺,,,,,,,,,,,,,,,,,,,,
2024-08-06 00:00:00,突撃ちゃん,通常,,,プチプラ神コスメ,https://www.tiktok.com/@totsugeki_cosme/video/7399917556577914119?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,長尺,,61.3,63905.0,1717.0,11.0,31.0,629.0,0.0268680072,0.0001721305062,0.000485095063,0.00984273531,20.0,0.3262642741,83.0,59.0,46.0,17.31,57.0,,98.0
2024-08-05 00:00:00,美容探偵,通常,,,プチプラパウダー,https://www.tiktok.com/@tantei_cosme/video/7399590940966423824?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,長尺,,61.3,173177.0,2527.0,23.0,39.0,1145.0,0.01459200702,0.000132812094,0.0002252031159,0.006611732505,11.6,0.189233279,78.0,40.0,29.0,9.23,76.0,,93.0
2024-08-05 00:00:00,美忘録ちゃん,通常,,,爆売れ美白パック,https://www.tiktok.com/@otoroom01/video/7399600159010589970?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,18.81,19000.0,322.0,6.0,7.0,101.0,0.01694736842,0.0003157894737,0.0003684210526,0.005315789474,6.6,0.350877193,80.0,37.0,26.0,12.73,8.0,,91.0
2024-08-07 00:00:00,美忘録ちゃん,通常,,,史上最強プランパー,https://www.tiktok.com/@otoroom01/video/7400366465565707527?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,20.39,2840.0,66.0,2.0,0.0,13.0,0.02323943662,0.0007042253521,0,0.004577464789,5.8,0.2844531633,75.0,33.0,19.0,10.6,0.0,,25.0
2024-08-07 00:00:00,韓国オンニ,通常,,,デイジークファンデ,https://vt.tiktok.com/ZS2JD7Ubr/,短尺,,22.68,20300.0,594.0,11.0,9.0,73.0,0.02926108374,0.0005418719212,0.0004433497537,0.003596059113,7.6,0.3350970018,82.0,48.0,35.0,12.66,8.0,,91.0
2024-08-08 00:00:00,韓国オンニ,PR,,,ルルルンクレンジング,https://vt.tiktok.com/ZS2RMg1gY/,短尺,,40.54,1690.0,49.0,3.0,0.0,8.0,0.02899408284,0.001775147929,0,0.004733727811,7.4,0.1825357671,65.0,35.0,22.0,3.78,0.0,,38.0
2024-08-09 00:00:00,韓国オンニ,通常,,,デイジークリップチーク,https://vt.tiktok.com/ZS2RMPhmg/,短尺,,22.17,24000.0,742.0,13.0,12.0,107.0,0.03091666667,0.0005416666667,0.0005,0.004458333333,8.1,0.3653585927,77.0,49.0,37.0,13.69,17.0,,88.0
2024-08-11 00:00:00,美忘録ちゃん,通常,,,色持ち抜群ティントリップ,https://www.tiktok.com/@otoroom01/video/7401827568724315399?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,20.87,5815.0,101.0,2.0,0.0,15.0,0.0173688736,0.0003439380911,0,0.002579535684,6.6,0.3162434116,72.0,38.0,28.0,14.98,3.0,,90.0
2024-08-09 00:00:00,突撃ちゃん,通常,,,お泊りスクラブ,https://www.tiktok.com/@totsugeki_cosme/video/7401033148999486727?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,19.97,5354.0,185.0,1.0,4.0,53.0,0.03455360478,0.0001867762421,0.0007471049682,0.009899140829,7.1,0.3555332999,79.0,41.0,27.0,16.97,0.0,,67.0
2024-08-08 00:00:00,成分オタクちゃん,通常,,,超！美白パック,https://www.tiktok.com/@seibun_otakuchan/video/7400706712426106119?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,23.87,139589.0,2606.0,16.0,28.0,646.0,0.01866909284,0.0001146222124,0.0002005888716,0.004627871824,8.6,0.36,77.0,50.0,36.0,19.35,58.0,,97.0
2024-08-11 00:00:00,成分オタクちゃん,通常,,,保湿力レベチパック,https://www.tiktok.com/@seibun_otakuchan/video/7401826873489050887?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,24.82,1462.0,18.0,1.0,0.0,4.0,0.0123119015,0.000683994528,0,0.002735978112,5.2,0.2095084609,76.0,32.0,20.0,7.13,0.0,,67.0
2024-08-09 00:00:00,美容探偵,通常,,,最強汗腺ケア,https://www.tiktok.com/@tantei_cosme/video/7401070880526224656?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,36.01,6593.0,159.0,2.0,4.0,54.0,0.02411648718,0.00030335204,0.0006067040801,0.008190505081,7.8,0.2166064982,77.0,39.0,26.0,11.3,5.0,,84.0
2024-08-07 00:00:00,モテコスメちゃん,通常,,,セザンヌ新作コスメ,https://www.tiktok.com/@mote_cosme/video/7400333493672103185?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,長尺,,63.95,17762.0,585.0,7.0,3.0,95.0,0.03293548024,0.0003940997635,0.0001688998987,0.005348496791,10.3,0.1610633307,68.0,37.0,29.0,5.45,14.0,,83.0
2024-08-07 00:00:00,肌コミちゃん,通常,,,セザンヌ神化粧水,https://www.tiktok.com/@bihadanaritaina/video/7400332152778280208?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,22.45,38098.0,708.0,12.0,9.0,181.0,0.01858365269,0.0003149771642,0.0002362328731,0.004750905559,6.8,0.3028953229,82.0,43.0,26.0,10.94,19.0,,90.0
2024-08-08 00:00:00,肌コミちゃん,通常,,,ちふれ化粧水,https://www.tiktok.com/@bihadanaritaina/video/7400703003604372752?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,24.31,69191.0,1088.0,6.0,31.0,359.0,0.01572458846,8.671648047e-05,0.0004480351491,0.005188536081,8.8,0.3619909502,87.0,46.0,29.0,13.78,26.0,,94.0
2024-08-12 00:00:00,韓国オンニ,通常,,,パウダーまとめ,https://vt.tiktok.com/ZS2REfqSb/,長尺,,65.06,13507.0,448.0,14.0,3.0,112.0,0.03316798697,0.001036499593,0.0002221070556,0.008291996742,13.2,0.2028896403,77.0,41.0,31.0,12.38,16.0,,90.0
2024-08-12 00:00:00,美忘録ちゃん,通常,,,垢抜け眉マスカラ,,短尺,,17.81,2445.0,46.0,4.0,0.0,8.0,0.01881390593,0.00163599182,0,0.00327198364,4.7,0.2638966873,67.0,31.0,22.0,8.96,0.0,,69.0
2024-08-13 00:00:00,美忘録ちゃん,通常,,,fwee リップチーク,https://www.tiktok.com/@otoroom01/video/7402564310708292882?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,17.37,4888.0,119.0,1.0,0.0,9.0,0.02434533552,0.0002045826514,0,0.001841243863,6.4,0.3684513529,73.0,36.0,27.0,15.3,1.0,,54.0
2024-08-12 00:00:00,肌コミちゃん,通常,,,Anua化粧水,https://www.tiktok.com/@bihadanaritaina/video/7402188909779619073?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,28.42,33027.0,865.0,18.0,5.0,155.0,0.02619069246,0.0005450086293,0.0001513912859,0.004693129863,7.9,0.2779732583,73.0,42.0,31.0,11.18,15.0,,95.0
2024-08-15 00:00:00,肌コミちゃん,通常,,,アヌア桃パック,https://www.tiktok.com/@bihadanaritaina/video/7403332887099034897?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,短尺,,16.67,7657.0,188.0,2.0,0.0,33.0,0.02455269688,0.000261198903,0,0.004309781899,6.4,0.3839232154,85.0,42.0,28.0,15.36,3.0,,90.0
2024-08-15 00:00:00,ビビちゃん,通常,,,ドンキ500円垢抜け,https://www.tiktok.com/@bibichan_cosme/video/7403339997790686482?is_from_webapp=1&sender_device=pc&web_id=7400208067570861585,長尺,,61.72,18616.0,933.0,3.0,13.0,222.0,0.05011817791,0.0001611516975,0.0006983240223,0.01192522561,16.6,0.2689565781,78.0,53.0,43.0,14.17,14.0,,90.0
