投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均 視聴時間,視聴 維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規 フォロー,フォロー率,おすすめ率
2025-08-22 00:00:00,韓国オンニ,PR,TikTok,Hina,"1度使ったらやみつきになるLAGOMの朝洗顔！🫧 ジェルタイプだから時短で助かるしメイクノリも良くなった感じがして嬉しい！🇰🇷✨ Qoo10やロフトでぜひチェックしてみて！🫶🏻 ラゴム ジェルトゥウォーター クレンザー 販売価格：2,310円（税込） #PR #LAGOM #ジェルトゥウォータークレンザー #洗顔 #韓国オンニ",https://www.tiktok.com/@choa_cosme/video/7541337957941202194?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,2025-12-12 15:26:15,30.0,5800000.0,7010.0,58.0,224.0,1448.0,,,,,,,,,,,,,
2025-08-06 00:00:00,モテコスメちゃん,PR,TikTok,Maya,これがあれば海とかプールとか夏のイベントも思いっきり楽しめちゃう！！☀️🌊 悩んでるの一人じゃないよ！ @ロート製薬  #PR #ロート製薬 #フェムケア＃メンソレータム＃カブレーナ乳液,https://www.tiktok.com/@mote_cosme/video/7535408032918883602?is_from_webapp=1&sender_device=pc&web_id=7496047921080141330,単品,2025-12-12 15:23:41,45.0,2500000.0,3061.0,39.0,150.0,548.0,,,,,,,,,,,,,
2025-08-07 00:00:00,怪獣ちゃん,通常,TikTok,Hina,ほんとに100円でいいの！？夏にぴったりな便利グッズがセリアに豊富すぎた〜‼️これからおでかけとか旅行の予定ある子は保存してチェックしてみて✅ #seria #便利グッズ #おすすめ #プチプラ #旅行 #お出かけ #コスメ怪獣ちゃん,https://www.tiktok.com/@cosme_kaiju/video/7535776758562344199?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,2025-12-12 15:23:37,43.0,2500000.0,72400.0,219.0,3614.0,44183.0,,,,,,,,,,,,,
2025-08-11 00:00:00,美容探偵,通常,TikTok,Moeka,ウソをつかない鏡！？ドンキっで毎回想像超えてくる〜#ドンキ #ドンキ購入品 #鏡 #メイク #コスメ #プチプラ #美容探偵ちゃん,https://www.tiktok.com/@tantei_cosme/video/7537242200099310855?is_from_webapp=1&sender_device=pc&web_id=7195012036576167425,単品,2025-12-12 15:24:14,22.0,2500000.0,79300.0,347.0,1995.0,23694.0,,,,,,,,,,,,,
2025-08-01 00:00:00,美容探偵,通常,YT,Moeka,ドンキで買える！嘘をつかない鏡見たら衝撃すぎた⁉︎🪞 #コスメ #美容 #メイク #購入品紹介,https://youtube.com/shorts/7LEJwxEXBLk?si=eyCpQzZValeozUTT,単品,2025-12-12 15:39:11,23.0,2313257.0,30944.0,227.0,,,,,,,,,,,,,,,
2025-08-05 00:00:00,コスメ俱楽部,通常,TikTok,Moeka,みんなのリピなしリップも教えて〜🥹🥹🥹あと使い方のコツあれば知りたい！！#コスメ #リップ #リピなしコスメ #正直レビュー #韓国コスメ #プチプラコスメ,https://www.tiktok.com/@cosme_katari.club/video/7535032230326963463?is_from_webapp=1&sender_device=pc&web_id=7195012036576167425,単品,2025-12-12 15:23:06,39.0,2200000.0,36700.0,284.0,148.0,3863.0,,,,,,,,,,,,,
2025-08-01 00:00:00,突撃ちゃん,通常,YT,Riho,デパコス級で優勝！無印のルースパウダーが噂以上に良かったので紹介させて #コスメ #美容 #メイク #おすすめ #無印良品,https://youtube.com/shorts/Xk0IAk5XV0k?si=fxpaSezLDK7H2W7V,単品,2025-12-12 15:38:56,17.0,2009456.0,10635.0,50.0,,,,,,,,,,,,,,,
2025-08-29 00:00:00,成分オタクちゃん,PR,TikTok,Riho,毛穴の黒ずみ汚れ目立ってる人〜〜！去年すぐになくなったパーフェクトワンフォーカス スムースクレンジングバーム VC7が8/31 12時〜から買えるで！！！！！！！！ #PR #パーフェクトワンフォーカス #クレンジング #VC7,https://www.tiktok.com/@seibun_otakuchan/video/7543934401307086101?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,2025-12-12 15:27:30,21.0,1800000.0,2252.0,12.0,78.0,99.0,,,,,,,,,,,,,
2025-08-08 00:00:00,肌コミちゃん,PR,TikTok,Riho,肌だけじゃなくて髪にもいい成分使っていこ！ベスコス受賞してるセラティスから出てる新作シャンプーがちょーやばいの！もうダメージ髪って言わせない！ #PR #セラティス #ヘアケア #高機能ナイトケア #サロン級 #プレエイジング,https://www.tiktok.com/@bihadanaritaina/video/7535768603463879956?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,2025-12-12 15:23:50,41.0,1600000.0,769.0,22.0,53.0,116.0,,,,,,,,,,,,,
2025-08-30 00:00:00,怪獣ちゃん,PR,TikTok,Hina,夏の皮脂放置してたら、秋には肌荒れ地獄になっちゃうかも…。😣 ピュアアゼライン酸×ナノカプセル化で皮脂＆肌荒れを同時に鎮圧するダーマレーザーのAZ100マスク、正直1回で効果感じた🥹💖 770円でドンキにあるから、とりあえず今すぐ1袋確保しとこ？ #PR #クオリティファースト #ダーマレーザー #アゼライン酸 #シートマスク,https://www.tiktok.com/@cosme_kaiju/video/7544323239586090248?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,2025-12-12 15:28:06,28.0,1600000.0,5621.0,27.0,157.0,1668.0,,,,,,,,,,,,,
