投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均視聴時間,視聴維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規フォロー,フォロー率,おすすめ率
2025-03-01 00:00:00,肌コミちゃん,通常,,,乾燥さんファンデ,https://www.tiktok.com/@bihadanaritaina/video/7476670490560433424?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,14.0,183300.0,1710.0,27.0,23.0,603.0,0.009328968903,0.000147299509,0.0001254773595,0.003289689034,5.8,0.4142857143,80.0,37.0,26.0,15.3,12.0,,92.0
2025-03-01 00:00:00,肌コミちゃん,通常,,,アネッサ日焼け止め,https://www.tiktok.com/@bihadanaritaina/video/7476767142386404626?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,15.0,92800.0,399.0,25.0,48.0,190.0,0.004299568966,0.0002693965517,0.0005172413793,0.002047413793,4.7,0.3133333333,74.0,29.0,21.0,9.72,16.0,,98.0
2025-03-02 00:00:00,肌コミちゃん,通常,,,毛穴撫子化粧下地,https://www.tiktok.com/@bihadanaritaina/video/7477170741310409992?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,19.0,29400.0,214.0,20.0,7.0,119.0,0.007278911565,0.0006802721088,0.0002380952381,0.004047619048,5.7,0.3,80.0,31.0,21.0,10.33,3.0,,95.4
2025-03-01 00:00:00,成分オタクちゃん,PR,,,samu美容液,https://www.tiktok.com/@seibun_otakuchan/video/7476766530462666002?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,33.0,29900.0,81.0,20.0,7.0,32.0,0.0027090301,0.0006688963211,0.0002341137124,0.001070234114,4.3,0.1303030303,62.0,25.0,15.0,4.39,7.0,,95.0
2025-03-02 00:00:00,成分オタクちゃん,通常,,,サプリ,https://www.tiktok.com/@seibun_otakuchan/video/7477168486851054868?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,15.0,193500.0,3764.0,32.0,91.0,1125.0,0.01945219638,0.000165374677,0.0004702842377,0.005813953488,5.8,0.3866666667,68.0,33.0,26.0,19.0,30.0,,96.7
2025-03-01 00:00:00,ビビちゃん,通常,,,＜柴原＞ファンデ,https://www.tiktok.com/@bibichan_cosme/video/7476768250106219794?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,まとめ,,47.0,90300.0,1610.0,20.0,11.0,566.0,0.01782945736,0.0002214839424,0.0001218161683,0.00626799557,0.135,0.002872340426,0.77,0.41,0.31,0.0961,22.0,,0.952
2025-03-01 00:00:00,ももそら,PR,,,プラグ,https://www.tiktok.com/@cosme_daisuki.kaigi/video/7476766704366800136?is_from_webapp=1&sender_device=pc&web_id=7257366517452523010,単品,,52.0,37400.0,423.0,10.0,12.0,146.0,0.01131016043,0.0002673796791,0.000320855615,0.003903743316,9.0,0.1730769231,0.7,0.37,0.28,0.0372,11.0,,0.659
2025-03-02 00:00:00,コスメ怪獣ちゃん,通常,,,ちふれチーク,https://www.tiktok.com/@cosme_kaiju/video/7477151514247564562?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,15.0,104100.0,2399.0,26.0,37.0,513.0,0.0230451489,0.0002497598463,0.0003554274736,0.00492795389,7.2,0.48,0.76,0.42,0.31,0.192,16.0,,0.714
2025-03-03 00:00:00,コスメ怪獣ちゃん,通常,,,オルビスVSミルボン,https://www.tiktok.com/@cosme_kaiju/video/7477498109170388232?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,23.0,238600.0,3783.0,50.0,53.0,797.0,0.01585498743,0.0002095557418,0.0002221290863,0.003340318525,9.0,0.3913043478,0.76,0.37,0.29,0.1711,41.0,,0.932
2025-03-03 00:00:00,成分オタクちゃん,通常,,,無印美容液,https://www.tiktok.com/@seibun_otakuchan/video/7477504436491881736?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,20.0,57200.0,310.0,20.0,11.0,144.0,0.00541958042,0.0003496503497,0.0001923076923,0.002517482517,7.4,0.37,81.0,40.0,28.0,14.7,7.0,,95.9
2025-03-03 00:00:00,肌コミちゃん,PR,,,VT美容液,https://www.tiktok.com/@bihadanaritaina/video/7477506537322269960?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,34.0,3351.0,41.0,23.0,2.0,22.0,0.01223515369,0.006863622799,0.0005968367651,0.006565204417,4.2,0.1235294118,72.0,24.0,13.0,2.79,1.0,,52.5
2025-03-04 00:00:00,肌コミちゃん,通常,,,セザンヌ美容液,https://www.tiktok.com/@bihadanaritaina/video/7477895001108712721?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,18.0,135600.0,1665.0,23.0,51.0,532.0,0.01227876106,0.0001696165192,0.0003761061947,0.003923303835,7.3,0.12,81.0,44.0,34.0,16.62,21.0,,95.4
2025-03-04 00:00:00,韓国オンニ,通常,,,ウォンジョンヨ新作,https://www.tiktok.com/@choa_cosme/video/7477868394159688978?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,まとめ,,28.0,76500.0,1346.0,24.0,12.0,211.0,0.01759477124,0.0003137254902,0.0001568627451,0.002758169935,7.9,0.2821428571,0.71,0.41,0.29,0.0842,21.0,,0.808
2025-03-04 00:00:00,ももそら,PR,,,VT,https://www.tiktok.com/@cosme_daisuki.kaigi/video/7477877242308087047?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,51.0,21500.0,112.0,20.0,1.0,31.0,0.005209302326,0.0009302325581,4.651162791e-05,0.001441860465,8.3,0.162745098,0.69,0.3,0.21,0.0469,12.0,,0.295
2025-03-04 00:00:00,成分オタクちゃん,PR,,,VT,https://www.tiktok.com/@seibun_otakuchan/video/7477874014015212807?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,33.0,3853.0,40.0,20.0,0.0,23.0,0.01038152089,0.005190760446,0,0.005969374513,4.8,0.1454545455,65.0,25.0,14.0,4.08,2.0,,71.0
2025-03-01 00:00:00,美容探偵,PR,,,【PR】BRING GREEN,https://www.tiktok.com/@tantei_cosme/video/7476768404225985800?is_from_webapp=1&sender_device=pc&web_id=7195012036576167425,まとめ,,42.0,3343.0,57.0,20.0,0.0,24.0,0.0170505534,0.005982650314,0,0.007179180377,5.0,0.119047619,0.66,0.24,0.14,0.02,1.0,,0.442
2025-03-03 00:00:00,美容探偵,PR,,,【PR】by365,https://www.tiktok.com/@tantei_cosme/video/7477509511326993682?is_from_webapp=1&sender_device=pc&web_id=7195012036576167425,まとめ,,45.0,1300000.0,4998.0,59.0,68.0,885.0,0.003844615385,4.538461538e-05,5.230769231e-05,0.0006807692308,3.9,0.08666666667,0.69,0.25,0.14,0.0109,129.0,,0.985
2025-03-04 00:00:00,美容探偵,通常,,,日焼け止め（直クラ）,https://www.tiktok.com/@tantei_cosme/video/7477894886470077714?is_from_webapp=1&sender_device=pc&web_id=7195012036576167425,まとめ,,34.0,155000.0,2870.0,55.0,22.0,527.0,0.01851612903,0.0003548387097,0.0001419354839,0.0034,10.6,0.3117647059,0.74,0.42,0.33,0.122,62.0,,0.958
2025-03-05 00:00:00,コスメ怪獣ちゃん,通常,,,ナンバーズイン9番,https://www.tiktok.com/@cosme_kaiju/video/7478250542536330514?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,28.0,19800.0,218.0,,8.0,102.0,0.01101010101,0,0.000404040404,0.005151515152,,0,,,,,,,
2025-03-05 00:00:00,韓国オンニ,通常,,,ユーシモール,https://www.tiktok.com/@choa_cosme/video/7478249543872613650?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,25.0,356400.0,4482.0,36.0,97.0,1677.0,0.01257575758,0.000101010101,0.0002721661055,0.004705387205,6.9,0.276,0.77,0.27,0.2,0.1117,46.0,,0.876
2025-03-05 00:00:00,美容探偵,PR,,,【PR】APR,https://www.tiktok.com/@tantei_cosme/video/7478269246758243602?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,29.0,166200.0,326.0,25.0,14.0,99.0,0.001961492178,0.0001504211793,8.423586041e-05,0.00059566787,7.8,0.2689655172,0.6,0.29,0.2,0.0802,2.0,,0.773
2025-03-05 00:00:00,成分オタクちゃん,PR,,,ドミナス美容液,https://www.tiktok.com/@seibun_otakuchan/video/7478253314333805832?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,32.0,6102.0,45.0,20.0,1.0,23.0,0.007374631268,0.003277613897,0.0001638806949,0.003769255982,4.3,0.134375,63.0,27.0,14.0,4.57,1.0,,61.4
2025-03-05 00:00:00,肌コミちゃん,通常,,,fweeリキッドファンデ,https://www.tiktok.com/@bihadanaritaina/video/7478262864843721992?is_from_webapp=1&sender_device=pc&web_id=7409943419302872596,単品,,20.0,402000.0,9084.0,80.0,81.0,3256.0,0.02259701493,0.0001990049751,0.0002014925373,0.008099502488,6.9,0.345,75.0,40.0,29.0,12.71,29.0,,84.5
2025-03-03 00:00:00,モテコスメちゃん,通常,,,ミルフィー,https://www.tiktok.com/@mote_cosme/video/7477537630142450962?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,19.0,149000.0,2997.0,27.0,51.0,1006.0,0.02011409396,0.0001812080537,0.0003422818792,0.006751677852,5.9,0.3105263158,0.78,0.39,0.24,0.0679,0.31,,0.893
2025-03-04 00:00:00,モテコスメちゃん,通常,,,プラザ新作コスメ,https://www.tiktok.com/@mote_cosme/video/7477888314566102279?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,まとめ,,64.0,461000.0,7890.0,43.0,151.0,2895.0,0.01711496746,9.327548807e-05,0.0003275488069,0.006279826464,,0,,,,,,,
2025-03-05 00:00:00,モテコスメちゃん,通常,,,メディキューブPDRN,https://www.tiktok.com/@mote_cosme/video/7478254569118600456?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,19.0,171000.0,1707.0,45.0,20.0,321.0,0.00998245614,0.0002631578947,0.0001169590643,0.001877192982,9.3,0.4894736842,0.72,0.43,0.36,0.1991,28.0,,0.679
2025-03-04 00:00:00,ビビちゃん,通常,,,メルト化粧水,https://www.tiktok.com/@bibichan_cosme/video/7477902243585641746?is_from_webapp=1&sender_device=pc&web_id=7332696059221394962,単品,,23.0,84200.0,1897.0,37.0,25.0,616.0,0.02252969121,0.0004394299287,0.000296912114,0.007315914489,9.1,0.3956521739,0.82,0.45,0.32,0.1536,23.0,,0.813
