,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,R/S,,,,,,,,,,,,,,,,,,,,
"リストアップ
対応者",No,優先度,Brand,Product,image,カテゴリ,"カテゴリ別
Googleフォーム",フォーム記載,フォームチェック備考,"ブランド別
Googleフォーム",Open ,"GROSS
Target","NET
TAP利率",CAP利率,TAPリンク（クリエイター展開用）,CAPリンク（クリエイター展開用）,商品URL,ショップコード,キャンペーンURL,BD,Category,Price,KOL確認,下書き確認,期間,サンプル,レギュレーション資料,"社内リスト
[Inner]TAP完全成果報酬案件_リスト",クライアント共有用リスト,クライアント連絡先,"C Lリスト確認
日付記載"
,106,中,"bonparme
（ボンパルム）","ボンパルム
シャントリセット",,日用品,https://docs.google.com/forms/d/17SP-nu4qCfYvcTOxWSgToEfifzRqawJYEV94h2UVruI/edit,TRUE,,https://docs.google.com/forms/d/1kSgAdSEcYbA_cIJQA-XhP-JonpYBsNmKUiCI2y_MsAs/edit,15.0%,25.0%,20.0%,,,,https://shop.tiktok.com/view/product/1731594336586467093?region=JP&locale=ja&trackParams=%7B%22isFromSelectionPath%22%3A1%2C%22source_page_type%22%3A%22agency_product_affiliate%22%2C%22enter_from%22%3A%22agency_product_affiliate%22%2C%22channel%22%3A%22agency_shared_product_copy_link%22%2C%22geccTeaParams%22%3A%22%7B%5C%22agency_id%5C%22%3A%5C%228650132493746013968%5C%22%7D%22%7D&source=agency,JPJPLC7LLLTW,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7569442389032683284&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,ヘアケア,"¥3,000",あり,なし,2025/11/6-2026/3/31,サンプルリクエスト,-,,[Share]bonparme_AnyMind × TAP案件,,
,65,高,DOOGEE,Android15 タブレット,,ガジェット,https://docs.google.com/forms/d/1Kq0vwOAoahzYZS0Ew_eL6wzhm4z-5Du4RIpl8Su9_68/edit,TRUE,,https://docs.google.com/forms/d/1Cf3L29YgwnYmz7CBaScaGrbRLq6PEe6TKBzHUamH2KQ/edit,5.0%,12.0%,10.0%,,,,https://vt.tiktok.com/ZSHTB8duAoHBs-tUz75/,JPJPLCBLLLQU,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7575012887448274708&tab=info&market=20&page_size=20&cur_page=1&product_status=2&marked=false&activeTab=approved&approved_sub_tab=individual,Rui Tamura,ガジェット,"¥30,000",なし,なし,2025/11/21-2026/5/31,サンプルリクエスト,,,[Share]DOOGEE様_AnyMind × TAP案件,lark,1月28日(水)
,118,中,DOPAMY,"ニューロペップ8R
アンプルセラム 30ml",,スキンケア,https://docs.google.com/forms/d/1rISsB7ji4O9BRJYssr8rqL0y6eEIIr4b_NWqrFD55fE/edit,TRUE,,https://docs.google.com/forms/d/13AHVogihZt9UgDMs1uYvSfXcX-dvDIU1GXzwnlv-GY4/edit,10.0%,30.0%,25.0%,,,,https://shop.tiktok.com/view/product/1732739510825551094?region=JP&locale=ja&trackParams=%7B%22isFromSelectionPath%22%3A1%2C%22source_page_type%22%3A%22agency_product_affiliate%22%2C%22enter_from%22%3A%22agency_product_affiliate%22%2C%22channel%22%3A%22agency_shared_product_copy_link%22%2C%22geccTeaParams%22%3A%22%7B%5C%22agency_id%5C%22%3A%5C%228650132493746013968%5C%22%7D%22%7D&source=agency,JPJPLCJTLLHF,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7569442720763856661&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,スキンケア,"¥3,900",あり,なし,2025/11/6-2026/3/31,サンプルリクエスト,-,,[Share]DOPAMY様_AnyMind × TAP案件,,
,119,中,DOPAMY,"ニューロペップ8R
クレンジングオイル 160ml",,スキンケア,https://docs.google.com/forms/d/1rISsB7ji4O9BRJYssr8rqL0y6eEIIr4b_NWqrFD55fE/edit,TRUE,,,10.0%,30.0%,25.0%,,,,-,JPJPLCJTLLHF,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7569442720763856661&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,スキンケア,"¥3,300",あり,なし,2025/11/6-2026/3/31,サンプルリクエスト,-,,[Share]DOPAMY様_AnyMind × TAP案件,,
,7,高,Falami,"サングラス メンズ/レディース
偏光×調光 最新型",,ガジェット,https://docs.google.com/forms/d/1Kq0vwOAoahzYZS0Ew_eL6wzhm4z-5Du4RIpl8Su9_68/edit,TRUE,,https://docs.google.com/forms/d/1pq-5Trd_XyvT4uF6H4nSaYwoIY228lIp4y6HpLkfj4k/edit,11.0%,25.0%,20.0%,20%,https://affiliate.tiktok.com/api/v1/share/AJLfirJKcgML,https://affiliate.tiktok.com/api/v1/share/AJLfloua93Ir,https://shop.tiktok.com/view/product/1732248318298195661?region=JP&locale=ja&trackParams=%7B%22isFromSelectionPath%22%3A1%2C%22source_page_type%22%3A%22agency_product_affiliate%22%2C%22enter_from%22%3A%22agency_product_affiliate%22%2C%22channel%22%3A%22agency_shared_product_copy_link%22%2C%22geccTeaParams%22%3A%22%7B%5C%22agency_id%5C%22%3A%5C%228650132493746013968%5C%22%7D%22%7D&source=agency,JPJPLC9LLLVF,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7564243869976495892&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,ガジェット,"¥2,680",あり,なし,2025/10/23-2025/12/31,サンプルリクエスト,-,,[Share] ファラー株式会社様_AnyMind × TAP案件,,
,49,高,Falami,"サングラス メンズ
偏光×調光 UV400カット",,ガジェット,https://docs.google.com/forms/d/1Kq0vwOAoahzYZS0Ew_eL6wzhm4z-5Du4RIpl8Su9_68/edit,TRUE,,,11.0%,25.0%,20.0%,20%,https://affiliate.tiktok.com/api/v1/share/AJLfirXAIRO3,https://affiliate.tiktok.com/api/v1/share/AJLfkhRcbfyK,https://shop.tiktok.com/view/product/1732024896987039437?region=JP&locale=ja&trackParams=%7B%22isFromSelectionPath%22%3A1%2C%22source_page_type%22%3A%22agency_product_affiliate%22%2C%22enter_from%22%3A%22agency_product_affiliate%22%2C%22channel%22%3A%22agency_shared_product_copy_link%22%2C%22geccTeaParams%22%3A%22%7B%5C%22agency_id%5C%22%3A%5C%228650132493746013968%5C%22%7D%22%7D&source=agency,JPJPLC9LLLVF,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7564243869976495892&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,ガジェット,"¥2,880",あり,なし,2025/10/23-2025/12/31,サンプルリクエスト,-,,[Share] ファラー株式会社様_AnyMind × TAP案件,,
,50,高,Falami,"サングラス メンズ
偏光×調光 ボストン型",,ガジェット,https://docs.google.com/forms/d/1Kq0vwOAoahzYZS0Ew_eL6wzhm4z-5Du4RIpl8Su9_68/edit,TRUE,,,11.0%,25.0%,20.0%,20%,https://affiliate.tiktok.com/api/v1/share/AJLfirJKtw5S,https://affiliate.tiktok.com/api/v1/share/AJLfkhZhclUL,https://shop.tiktok.com/view/product/1732381617271178957?region=JP&locale=ja&trackParams=%7B%22isFromSelectionPath%22%3A1%2C%22source_page_type%22%3A%22agency_product_affiliate%22%2C%22enter_from%22%3A%22agency_product_affiliate%22%2C%22channel%22%3A%22agency_shared_product_copy_link%22%2C%22geccTeaParams%22%3A%22%7B%5C%22agency_id%5C%22%3A%5C%228650132493746013968%5C%22%7D%22%7D&source=agency,JPJPLC9LLLVF,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7564243869976495892&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,ガジェット,"¥2,680",あり,なし,2025/10/23-2025/12/31,サンプルリクエスト,-,,[Share] ファラー株式会社様_AnyMind × TAP案件,,
yuki,30,高,FOODOLOGY,"コレオロジー快調ゼリー
10本入り もぎたてブドウ味",,インナーケア,https://docs.google.com/forms/d/1RZY2e1alFg6hoIwRPBE-hHDRfbR1pQDRc773iEFuzIY/edit,TRUE,,https://docs.google.com/forms/d/1hPrYQzp9J3jEqfsnEUBI0kLHZZG05RezVINlr3oWEb0/edit,11.0%,25.0%,20.0%,20%,https://affiliate.tiktok.com/api/v1/share/AJLgX4ny0rzv,https://affiliate.tiktok.com/api/v1/share/AJLgZ9T57O3D,https://shop.tiktok.com/view/product/1732575036999501401?region=JP&locale=ja&trackParams=%7B%22isFromSelectionPath%22%3A1%2C%22source_page_type%22%3A%22agency_product_affiliate%22%2C%22enter_from%22%3A%22agency_product_affiliate%22%2C%22channel%22%3A%22agency_shared_product_copy_link%22%2C%22geccTeaParams%22%3A%22%7B%5C%22agency_id%5C%22%3A%5C%228650132493746013968%5C%22%7D%22%7D&source=agency,JPJPLCGLLLCT,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7564691164773336853&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,サプリメント,"¥2,680",あり,なし,2025/10/24-2026/6/30,サンプルリクエスト,https://docs.google.com/spreadsheets/d/1-USlUCHdMhT4zuqSGAbOs8PQRUdzbHD9ly0db90_qo4/edit?gid=38782498#gid=38782498,,[Share]FOODLOGY様_AnyMind × TAP案件,LINE,1/29
yuki,31,高,FOODOLOGY,"コレオロジー快調ゼリー
10本入り×2 もぎたてブドウ味",,インナーケア,https://docs.google.com/forms/d/1RZY2e1alFg6hoIwRPBE-hHDRfbR1pQDRc773iEFuzIY/edit,TRUE,,,11.0%,25.0%,20.0%,20%,https://affiliate.tiktok.com/api/v1/share/AJLgX4fQfs9a,https://affiliate.tiktok.com/api/v1/share/AJLgZ93VqX3L,https://shop.tiktok.com/view/product/1732575038846895705?region=JP&locale=ja&trackParams=%7B%22isFromSelectionPath%22%3A1%2C%22source_page_type%22%3A%22agency_product_affiliate%22%2C%22enter_from%22%3A%22agency_product_affiliate%22%2C%22channel%22%3A%22agency_shared_product_copy_link%22%2C%22geccTeaParams%22%3A%22%7B%5C%22agency_id%5C%22%3A%5C%228650132493746013968%5C%22%7D%22%7D&source=agency,JPJPLCGLLLCT,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7564691164773336853&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,サプリメント,"¥5,360",あり,なし,2025/10/24-2026/6/30,サンプルリクエスト,https://docs.google.com/spreadsheets/d/1-USlUCHdMhT4zuqSGAbOs8PQRUdzbHD9ly0db90_qo4/edit?gid=38782498#gid=38782498,,[Share]FOODLOGY様_AnyMind × TAP案件,LINE,
yuki,32,高,FOODOLOGY,"コレオロジー快調ゼリー
10本入り×3 もぎたてブドウ味",,インナーケア,https://docs.google.com/forms/d/1RZY2e1alFg6hoIwRPBE-hHDRfbR1pQDRc773iEFuzIY/edit,TRUE,,,11.0%,25.0%,20.0%,20%,https://affiliate.tiktok.com/api/v1/share/AJLgXGRwCMc7,https://affiliate.tiktok.com/api/v1/share/AJLgZ8XmtetZ,https://shop.tiktok.com/view/product/1732575132906849881?region=JP&locale=ja&trackParams=%7B%22isFromSelectionPath%22%3A1%2C%22source_page_type%22%3A%22agency_product_affiliate%22%2C%22enter_from%22%3A%22agency_product_affiliate%22%2C%22channel%22%3A%22agency_shared_product_copy_link%22%2C%22geccTeaParams%22%3A%22%7B%5C%22agency_id%5C%22%3A%5C%228650132493746013968%5C%22%7D%22%7D&source=agency,JPJPLCGLLLCT,https://partner.tiktokshop.com/affiliate-campaign/campaign/detail?campaign_id=7564691164773336853&tab=info&page_size=20&cur_page=1&product_status=1&marked=false,Rui Tamura,サプリメント,"¥8,040",あり,なし,2025/10/24-2026/6/30,サンプルリクエスト,https://docs.google.com/spreadsheets/d/1-USlUCHdMhT4zuqSGAbOs8PQRUdzbHD9ly0db90_qo4/edit?gid=38782498#gid=38782498,,[Share]FOODLOGY様_AnyMind × TAP案件,LINE,
