,,,,,,,,,,,,,,,,,,,,,,
,1月売上,,10013672,進捗率,目標,,,1月営業利益,,8971441,,,,,,,請求書支払日：Greed、NEL、CCPR、リアレーション、PPP 2ヶ月後,,,,,
2401.0,,,,,,,,二次利用費,180000.0,,True,True,True,True,,,,ビビちゃん,,,,
2401.0,1/17【水】,ビビちゃん,ザ・ダーマ,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,1月発生2月払い,投稿制作費,400000.0,クロスセル,True,True,True,True,,,,ビビちゃん,,,,
2401.0,,,,,,,,二次利用費,100000.0,,True,True,True,True,セット割,,,ビビちゃん,,,,
2401.0,1/25【木】,ビビちゃん,ピュアエブリーズ,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,1月発生2月払い,投稿制作費,350000.0,クロスセル,True,True,True,True,,,,ビビちゃん,,,,
2401.0,,,,,,,,二次利用費,180000.0,,True,True,True,True,,,,ビビちゃん,,,,
2401.0,1/26【金】,ビビちゃん,プレシャスGREEN,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,1月発生2月払い,投稿制作費,350000.0,クロスセル,True,True,True,True,,,,ビビちゃん,,,,
2401.0,,,,,,,,二次利用費,180000.0,,True,True,True,True,,,,ビビちゃん,,,,
2401.0,1/27【土】,ビビちゃん,OVER45カメリアピンク,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,1月発生2月払い,投稿制作費,350000.0,クロスセル,True,True,True,True,,,,ビビちゃん,,,,
2401.0,,,,,,,,二次利用費,180000.0,,True,True,True,True,,,,ビビちゃん,,,,
2401.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,,,
2401.0,1/10【水】,美容探偵,SHEGLAM③,株式会社クリーク･アンド･リバー社,〒105-0004 東京都港区新橋四丁目1番1号 新虎通りCORE,,1月発生2月払い,投稿制作費,100000.0,リピート,True,True,True,True,※3投稿割、前月繰越,,,美容探偵,75070.0,,,
2401.0,1/23【火】,美容探偵,ダーマレーザー4種,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,1月発生2月払い,投稿制作費,200000.0,リピート,True,True,True,True,,,,美容探偵,,,,
2401.0,,,,,,,,二次利用費,50000.0,,True,True,True,True,セット割,,,美容探偵,,,,
2401.0,1/24【水】,美容探偵,ピュアエブリーズ,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,1月発生2月払い,投稿制作費,200000.0,クロスセル,True,True,True,True,,,,美容探偵,,,,
