,,BCM,肌コミちゃん,RCP,,,,投稿制作費,非課税,300000.0,250000.0,150000,,True,150000,150000,投稿完了,,,
,ナンバーズイン,BCM,モテコスメちゃん,AnyMind,,,,投稿制作費,非課税,400000.0,0.0,0,0.0,True,0,400000,進行中,TikTok9件＋リール4件（同一動画）＋全動画2次利用3ヶ月,,
,,BCM,ビビちゃん,AnyMind,,,,投稿制作費,非課税,400000.0,0.0,0,,True,0,400000,投稿完了,3350000,,
,,BCM,美容探偵,AnyMind,,,,投稿制作費,非課税,400000.0,0.0,0,,True,0,400000,投稿完了,合計3350000,,
,,BCM,突撃ちゃん,AnyMind,,,,投稿制作費,非課税,400000.0,0.0,0,,True,0,400000,進行中,,,
,,BCM,肌コミちゃん,RCP,,,,投稿制作費,非課税,300000.0,250000.0,150000,,True,150000,150000,投稿完了,,,
,,BCM,コスメ怪獣ちゃん,RCP,,,,投稿制作費,非課税,250000.0,200000.0,120000,,True,120000,130000,投稿完了,,,
,,BCM,韓国オンニ,AnyMind,,,,投稿制作費,非課税,400000.0,0.0,0,,True,0,400000,投稿完了,,,
,,BCM,成分オタクちゃん,AnyMind,,,,投稿制作費,非課税,400000.0,0.0,0,,True,0,400000,進行中,,,
,,BCM,ももそら,AnyMind,,,,投稿制作費,非課税,400000.0,0.0,0,,True,0,400000,進行中,,,
,,,,,,,,,,3350000,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
