,,,,,,,,,,,
,売上,13167500,進捗率,目標,▲支出,3449881,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,TikTok売上,12417500,0.8782807242,14138418,▲投稿制作費（外注費、コスメ代）,854395,,モテコスメちゃん,1218000,0,1218000
,モテコスメちゃん,1118000,0.5656406209,1976520.0,▲販管費,2595486.0,,ビビちゃん,1548000,350000,1198000
,ビビちゃん,1548000,0.7166467598,2160060.0,,,,美容探偵,1116000,250000,866000
,美容探偵,1116000,0.8383740951,1331148.0,粗利,,,合計,3882000,600000,3282000
,突撃ちゃん,808000,0.9765530578,827400.0,12313105,,,,,,
,肌コミちゃん,618000,0.6288156288,982800.0,営業利益,,,制作原価,854395,3メディア分,284798.3333
,コスメ怪獣ちゃん,883000,0.9881931621,893550.0,9717619,,0.7892094642,,,,
,韓国オンニ,1316000,1.656095842,794640.0,,,,,,,
,成分オタクちゃん,1803500,0.60267335,2992500.0,目標,,,売上報告,True,担当：吉谷,
,コスメ女子会ズ,1891000,1.845238095,1024800.0,,,,制作原価請求,True,担当：吉谷,
,コスメ語りたい倶楽部,1316000,2.088888889,630000.0,10113487.0,,,,,,
,新規,0.0,0,525000.0,,,,,,,
,Instagram売上,100000,,,,,,,,,
,YouTube売上,150000,,,0.9608574174,,,,,,
,運用代行,500000.0,,,,,,,,,
,,,,,,,,,,,
Month,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2507.0,モテコスメちゃん,花王Essentialプレミアムシリーズ,ウィングリット,,投稿制作費,300000.0,請求書送付済,,NADESIKO,,
2507.0,モテコスメちゃん,花王Essentialプレミアムシリーズ,ウィングリット,,二次利用費,200000.0,請求書送付済,,,,
2507.0,モテコスメちゃん,ボディスクラブ アンレーベルラボ,ena,,投稿制作費,310000.0,請求書送付済,成果保証PKG,NADESIKO,,
2507.0,モテコスメちゃん,ボディウォッシュ アンレーベルラボ,ena,,投稿制作費,308000.0,請求書送付済,成果保証PKG,NADESIKO,,
2507.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2507.0,ビビちゃん,ナチュリエ,トレンダーズ,7月発生8月払い,投稿制作費,400000.0,請求書送付済,,NADESIKO,上原,
2507.0,ビビちゃん,ナチュリエ,トレンダーズ,,二次利用費,180000.0,請求書送付済,,,,
2507.0,ビビちゃん,マトメージュ・オム,デジタルガレージ,,投稿制作費,350000.0,投稿完了,,ライスカレー,,
2507.0,ビビちゃん,ボディスクラブ アンレーベルラボ,ena,,投稿制作費,310000.0,請求書送付済,成果保証PKG,NADESIKO,,
2507.0,ビビちゃん,ボディウォッシュ アンレーベルラボ,ena,,投稿制作費,308000.0,請求書送付済,成果保証PKG,NADESIKO,,
2507.0,ビビちゃん,,,,,,,,,,
2507.0,ビビちゃん,,,,,,,,,,
2507.0,ビビちゃん,,,,,,,,,,
2507.0,ビビちゃん,,,,,,,,,,
2507.0,ビビちゃん,,,,,,,,,,
2507.0,ビビちゃん,,,,,,,,,,
2507.0,ビビちゃん,,,,,,,,,,
2507.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2507.0,美容探偵,ストレイン,Natee,,投稿制作費,250000.0,請求書送付済,,NADESIKO,,
2507.0,美容探偵,マトメージュ・オム,デジタルガレージ,,投稿制作費,250000.0,投稿完了,,ライスカレー,,
2507.0,美容探偵,ボディウォッシュ アンレーベルラボ,ena,,投稿制作費,308000.0,請求書送付済,成果保証PKG,NADESIKO,,
