,,,,,,,,,,,,,,,,,,
,売上,,粗利,,,,,,,,,,,,,,,
,"¥10,400,000",,"¥7,014,000",,,,,,,,,,,,,,,
,NDSK Sales,"¥4,482,000",粗利率,67.44%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,担当者,クライアント,案件名,アカウント名,区分,税区分,摘要,HS URL,CAM ID,売上,費用,支払費用60%,広告費,広告費FIX,粗利,ステータス,備考,
,Nagato Kei,AnyMind,MANARA,肌コミちゃん,RCP,課税,動画納品,https://app.hubspot.com/contacts/6727898/record/0-3/51296094061?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3D%E8%82%8C%E3%82%B3%E3%83%9F,CAM0077403,"¥400,000","¥400,000","¥240,000",¥0,TRUE,"¥160,000",投稿完了,動画納品×2本,
,Nagoshi Yuto,AnyMind,アリエールジェルボール,ビビちゃん,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/41506980609/,CAM0073118,"¥1,650,000",¥0,¥0,"¥364,000",TRUE,"¥1,286,000",投稿完了,追加でももそらIG二次利用１クール,"TikTok投稿（AnyMind側での再生数保証あり）
IG転載投稿（二次利用あり）"
,Nagoshi Yuto,AnyMind,アリエールジェルボール,美容探偵,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/41506980609/,CAM0073118,¥0,¥0,¥0,"¥364,000",TRUE,"-¥364,000",投稿完了,,
,Song Rie,AnyMind,パーフェクトダイアリー,モテコスメちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/51663202703,CAM0078449,"¥670,000",¥0,¥0,"¥114,000",TRUE,"¥556,000",投稿完了,"再生保証(285,000再生)＋IGリール",クッションファンデーション
,Song Rie,AnyMind,パーフェクトダイアリー,肌コミちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/51663202703,CAM0078449,"¥300,000","¥300,000","¥180,000","¥60,000",TRUE,"¥60,000",投稿完了,"再生保証(150,000再生)",クッションファンデーション
,Song Rie,AnyMind,パーフェクトダイアリー,語りたい倶楽部,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/51663202703,CAM0078449,"¥400,000","¥400,000","¥240,000","¥80,000",TRUE,"¥80,000",投稿完了,"再生保証(200,000再生)",クッションファンデーション
,Song Rie,AnyMind,パーフェクトダイアリー,ビビちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/51663202703,CAM0078449,"¥350,000",¥0,¥0,¥0,TRUE,"¥350,000",投稿完了,,クッションファンデーション
,Song Rie,AnyMind,パーフェクトダイアリー,語りたい倶楽部,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/51663202703,CAM0078449,"¥400,000","¥400,000","¥240,000",¥0,TRUE,"¥160,000",投稿完了,,パウダー1月投稿
,Song Rie,enclu,BANOBAGI バラエティパック,成分オタクちゃん,AJP,非課税,YTs,https://app.hubspot.com/contacts/6727898/record/0-3/51894033843,CAM0077913,"¥200,000",¥0,¥0,¥0,TRUE,"¥200,000",投稿完了,"YouTube Shorts投稿 ＋ 1ヶ月の二次利（Meta, SparkAds, 元素材利用など）","¥2,120,000"
,,,,,,,,,,,"¥2,900,000","¥1,740,000","¥140,000","¥1,600,000",,,,
