,,,,,,,,,,,
,売上,7140000,進捗率,目標,▲支出,2975028,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,TikTok売上,6680000,0.8665877743,7708394,▲投稿制作費（外注費、コスメ代）,1260568,,モテコスメちゃん,400000,0,400000
,モテコスメちゃん,300000,0.1897273997,1581216.0,▲販管費,1714460.0,,ビビちゃん,1830000,0,1830000
,ビビちゃん,1730000,1.001129598,1728048.0,,,,美容探偵,650000,0,650000
,美容探偵,650000,0.6103756346,1064918.0,粗利,,,合計,2880000,0,2880000
,突撃ちゃん,700000,1.057529611,661920.0,5879432,,,,,,
,肌コミちゃん,1250000,1.58984534,786240.0,営業利益,,,制作原価,1260568,3メディア分,420189.3333
,おとちゃん,300000,0.4196743327,714840.0,4164972,,,,,,
,韓国オンニ,1450000,2.280907077,635712.0,,,,,,,
,成分オタクちゃん,300000,0.7518796992,399000.0,,,,売上報告,False,担当：吉谷,
,新規アカウント,0.0,0,136500.0,,,,制作原価請求,False,担当：吉谷,
,Instagram売上,0,,,,,,,,,
,YouTube売上,460000,,,,,,,,,
,,,,,,,,,,,
Month,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,モテコスメちゃん,【ダーマレーザー ウルセラエクソソーム+グルタチオン美容液（スギ薬局限定販売）】OMOT,OMOT,10月発生11月払い,投稿制作費,300000.0,請求書送付済,SAあり,吉谷,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,ビビちゃん,IROKA,トレンダーズ株式会社,10月発生11月払い,投稿制作費,400000.0,請求書送付済,,吉谷,,
2410.0,ビビちゃん,dプログラム,AnyMind株式会社,10月発生11月払い,投稿制作費,400000.0,請求書送付済,,吉谷,,
2410.0,ビビちゃん,ダーマレーザー,OMOT,10月発生11月払い,投稿制作費,350000.0,請求書送付済,ライスプランSAあり,吉谷,,
2410.0,ビビちゃん,ザリポ,OMOT,10月発生11月払い,投稿制作費,580000.0,請求書送付済,SA、店舗撮影あり,吉谷,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,美容探偵,ダーマレーザー,OMOT,10月発生11月払い,投稿制作費,350000.0,請求書送付済,ライスプランSAあり,吉谷,,
2410.0,美容探偵,【ダーマレーザー ウルセラエクソソーム+グルタチオン美容液（スギ薬局限定販売）】OMOT,OMOT,10月発生11月払い,投稿制作費,300000.0,請求書送付済,SAあり,吉谷,,
2410.0,美容探偵,,,,,,,,,,
2410.0,美容探偵,,,,,,,,,,
2410.0,美容探偵,,,,,,,,,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,突撃ちゃん,LANEIGE,ULTRA SOCIAL株式会社,10月発生11月払い,投稿制作費,250000.0,請求書送付済,TikTok投稿：25万円,吉谷,,
2410.0,,,,,二次利用費,100000.0,,広告ブースト：10万円/1ヶ月,,,
2410.0,,,,,出張撮影費,50000.0,,街頭インタビュー：5万円,,,
2410.0,突撃ちゃん,ダーマレーザー,OMOT,10月発生11月払い,投稿制作費,300000.0,請求書送付済,SAあり,吉谷,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
