,,,,,,,,0.5872113573,,,,
2503.0,False,肌コミちゃん,,,,,,,,,,False
2503.0,False,肌コミちゃん,,,,,,,,,,False
2503.0,False,肌コミちゃん,,,,,,,,,,False
2503.0,,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2503.0,False,コスメ怪獣ちゃん,デオナチュレ シリーズ,ハーマンドット,3月発生5月払い,投稿制作費,375000.0,請求書送付済,,NADESIKO,上原,True
2503.0,False,コスメ怪獣ちゃん,T/ME U（タイムユー）,AnyMind,3月発生4月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,上原,True
2503.0,True,コスメ怪獣ちゃん,Ongredients,bibin,3月発生4月払い,投稿制作費,200000.0,請求書送付済,セット割引,NADESIKO,吉谷,True
2503.0,False,コスメ怪獣ちゃん,リフタープランプ,CCPR,3月発生4月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,True
2503.0,False,コスメ怪獣ちゃん,TIRTIR,D&ACE,3月発生4月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,,True
2503.0,,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2503.0,True,韓国オンニ,ANUA,ANUA,3月発生4月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,吉谷,True
2503.0,True,韓国オンニ,Ongredients,bibin,3月発生4月払い,投稿制作費,250000.0,請求書送付済,セット割引,NADESIKO,吉谷,True
2503.0,False,韓国オンニ,,,,,,,,,,False
2503.0,False,韓国オンニ,,,,,,,,,,False
2503.0,False,韓国オンニ,,,,,,,,,,False
2503.0,False,韓国オンニ,,,,,,,,,,False
2503.0,False,韓国オンニ,,,,,,,,,,False
2503.0,False,韓国オンニ,,,,,,,,,,False
2503.0,,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2503.0,True,成分オタクちゃん,VT,YON,3月発生4月払い,投稿制作費,300000.0,請求書送付済,バルク,NADESIKO,吉谷,True
2503.0,False,成分オタクちゃん,SAM'U,SAM'U,3月発生4月払い,投稿制作費,525000.0,請求書送付済,,NADESIKO,吉谷,True
2503.0,True,成分オタクちゃん,ドナミス,Greed,3月発生4月払い,投稿制作費,350000.0,請求書送付済,,NADESIKO,吉谷,True
2503.0,True,成分オタクちゃん,動画納品,OMOT,3月発生4月払い,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,True
2503.0,False,成分オタクちゃん,BRUNO beauty+ 薬用白玉美白シートマスク,BUZZLE,3月発生4月払い,投稿制作費,350000.0,請求書送付済,追加修正費用5万円あり,NADESIKO,吉谷,True
2503.0,,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2503.0,True,女子会ズ,VT,YON,3月発生4月払い,投稿制作費,250000.0,請求書送付済,バルク,NADESIKO,吉谷,True
2503.0,True,女子会ズ,PLUG,YON,3月発生4月払い,投稿制作費,8400.0,請求書送付済,"成果報酬
------------------
最終DL数：24件　※添付参照
ご請求額：¥8,400(¥350/1DL×24件)
支払い月：3月締め/5月払い
------------------",NADESIKO,吉谷,True
2503.0,True,女子会ズ,ドナミス,Greed,3月発生4月払い,投稿制作費,450000.0,請求書送付済,,NADESIKO,吉谷,True
2503.0,True,女子会ズ,ネイチャーリパブリック,OMOT,3月発生4月払い,投稿制作費,300000.0,請求書送付済,SAあり,NADESIKO,吉谷,True
2503.0,False,女子会ズ,カラミー カラミンノーセバムローション,NEL,3月発生4月払い,投稿制作費,600000.0,請求書送付済,店頭二次利用,,,True
2503.0,,Instagramタイアップ,,,,,,,,Instagramタイアップ,,
2503.0,,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2503.0,False,肌コミちゃん,コーセーコスメポート,MERY,3月発生4月払い,投稿制作費,50000.0,請求書送付済,,NADESIKO,吉谷,True
2503.0,False,ビビちゃん,コーセーコスメポート,MERY,3月発生4月払い,投稿制作費,50000.0,請求書送付済,,NADESIKO,吉谷,True
