RCM,コスメ怪獣ちゃん,ダーマレーザー,(株)OMOT,投稿制作費,300000.0,請求書送付済,SparkAds(1ヶ月)含む,,,,,,
RCM,語りたい倶楽部,ダーマレーザー,(株)OMOT,投稿制作費,300000.0,請求書送付済,SparkAds(1ヶ月)含む,,,,,,
,Instagramタイアップ,,,,,,,,,,,,
,アカウント名,案件名,取引先,摘要,単価,ステータス,備考,,,,,,
AnyMind,モテコスメちゃん,Vaseline ハンド&ネイル,(株)Natee,IGリール,100000.0,請求書送付済,,,,,,,
AnyMind,モテコスメちゃん,skin1004,Amira(同),IGリール,100000.0,請求書送付済,,,,,,,
AnyMind,モテコスメちゃん,THE FLOWER SHOP,(株)ｆ−ｍｅ,IGリール,100000.0,請求書送付済,,,,,,,
AnyMind,モテコスメちゃん,Tottimo!ブリーチケアマスク Instagram固定費広告案件,(株)BrandConnect,IGリール,100000.0,請求書送付済,税込,,税,税込表記でお願いいたします。,"内税で¥100,000
税抜：90,910円
消費税：9,090円",,
AnyMind,ビビちゃん,skin1004,Amira(同),IGリール,100000.0,請求書送付済,,,,,,,
RCM,コスメ怪獣ちゃん,黒龍堂(アイブロウ),(株)Anyglo,IGリール,100000.0,請求書送付済,,,,,,,
RCM,コスメ怪獣ちゃん,黒龍堂(クレーリナ),(株)Anyglo,IGリール,100000.0,請求書送付済,,,,,,,
RCM,コスメ怪獣ちゃん,CORALHAZE,(株)bibin,IGリール,100000.0,請求書送付済,,,金額,金額をご修正お願いいたします。(10万円となります),完了,,
,,,,,,,,,,,,,
