,,,,,,,,,,,,,,,,,,,,
,NADESIKO売上,,5760000,進捗率,目標,,,NADESIKO売上,,売上総利益,,営業利益,,,,,,,,
2406.0,6/28【金】,突撃ちゃん,CHOI,株式会社OMOT,〒151-0053 東京都渋谷区代々木2-1-1 新宿マインズタワー8F,,6月発生7月払い,投稿制作費,350000.0,リピート,True,True,True,True,"・店頭撮影稼働(福岡天神のドン・キホーテ想定)
・二次利用(Sparkads7月末まで)",国内,,,,
2406.0,6/26【水】,突撃ちゃん,skin1004,株式会社メディアエイド,〒150-6016 東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー16階,,6月発生7月払い,投稿制作費,200000.0,リピート,True,True,True,True,SA込み、税なし,韓国,,,,
2406.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,
2406.0,6/7【金】,肌コミちゃん,キャロットカロテン・カーミングウォーターパッド,株式会社ナハト,〒150-0043 東京都渋谷区道玄坂1-12-1 渋谷マークシティウエスト 13F,,6月発生7月払い,投稿制作費,200000.0,リピート,True,True,True,True,,韓国,,,,
2406.0,2024-06-14 00:00:00,肌コミちゃん,ミシャ,株式会社OMOT,〒151-0053 東京都渋谷区代々木2-1-1 新宿マインズタワー8F,,6月発生7月払い,投稿制作費,250000.0,リピート,True,True,True,True,二次利用込,国内,,,,
2406.0,6/25【火】,肌コミちゃん,ルルルン,株式会社チェックレイズ,〒150-0042 東京都渋谷区宇田川町12-3-902,,6月発生8月払い,投稿制作費,200000.0,リピート,True,True,True,True,,国内,,,,
2406.0,,,,,,,,,,,False,False,False,False,,,,,,
2406.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,
2406.0,2024-05-31 00:00:00,おとちゃん,BnDアンダーアームクリーム,株式会社POTEGAR Japan,,,6月発生7月払い,投稿制作費,150000.0,新規,True,True,True,True,セット割、税込,韓国,,,,
2406.0,,,,,,,,,,,False,False,False,False,,,,,,
2406.0,,,,,,,,,,,False,False,False,False,,,,,,
2406.0,,,,,,,,,,,False,False,False,False,,,,,,
2406.0,,,,,,,,,,,False,False,False,False,,,,,,
2406.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,
2406.0,2024-05-31 00:00:00,韓国オンニ,BnDアンダーアームクリーム,株式会社POTEGAR Japan,,,6月発生7月払い,投稿制作費,100000.0,新規,True,True,True,True,セット割、税込,韓国,,,,
2406.0,2024-06-03 00:00:00,韓国オンニ,FEEV,株式会社ノードメイソン,"4F, Nordmason Building, Tojeong-ro 119, Mapogu, Seoul, 04075, Korea",,6月発生7月払い,投稿制作費,150000.0,新規,True,True,True,True,,韓国,,,,
2406.0,6/5【水】,韓国オンニ,Fation,株式会社ブーケ,〒150-0033 東京都渋谷区猿楽町28-6 ノイ・ネスト代官山3階,,6月発生7月払い,投稿制作費,180000.0,新規,True,True,True,True,二次利用3万円込み,韓国,,,,
2406.0,2024-06-06 00:00:00,韓国オンニ,epais,"Aiden Lab Co.,Ltd.","4F, 76-1, Wausan-ro, Mapo-gu, Seoul, The Republic of Korea",,6月発生7月払い,投稿制作費,150000.0,リピート,True,True,True,True,,韓国,,,,
2406.0,6/25【火】,韓国オンニ,ルルルン,株式会社チェックレイズ,〒150-0042 東京都渋谷区宇田川町12-3-902,,6月発生8月払い,投稿制作費,200000.0,リピート,True,True,True,True,,国内,,,,
