,,,,,,,,,,,
,売上,19828663,進捗率,目標,▲支出,3603243,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,TikTok売上,18562000,0.9668223468,19198977,▲投稿制作費（外注費、コスメ代）,907840,,モテコスメちゃん,1534000,284000,1250000
,モテコスメちゃん,1309000,0.4415167399,2964780.0,▲販管費,2695403.0,,ビビちゃん,2389000,234000,2155000
,ビビちゃん,2114000,0.6524510122,3240090.0,,,,美容探偵,2924000,134000,2790000
,美容探偵,2924000,1.464400152,1996722.0,粗利,,,合計,6847000,652000,6195000
,突撃ちゃん,0,0,1241100.0,18920823,,,,,,
,肌コミちゃん,2915000,1.977343644,1474200.0,営業利益,,,制作原価,907840,3メディア分,302613.3333
,コスメ怪獣ちゃん,1350000,1.007218399,1340325.0,16225420,,,,,,
,韓国オンニ,2315000,1.942179268,1191960.0,,,,,,,
,成分オタクちゃん,2585000,0.8638262322,2992500.0,目標,,,売上報告,True,担当：吉谷,
,コスメ女子会ズ,2800000,2.732240437,1024800.0,,,,制作原価請求,True,担当：吉谷,
,コスメ語りたい倶楽部,250000,0.2645502646,945000.0,15098138.0,,,,,,
,新規,0.0,0,787500.0,,,,吉谷,31,0.6326530612,
,Instagram売上,600000,,,,,,上原,11,0.2244897959,
,YouTube売上,300000,,,1.074663644,,,五十嵐,7,0.1428571429,
,運用代行,366663.0,,,,,,,,,
,,,,,,,,,,,
Month,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,モテコスメちゃん,Anua,直クラ,5月発生6月払い,投稿制作費,325000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,モテコスメちゃん,プロカリテ,デジタルガレージ,5月発生6月払い,投稿制作費,284000.0,投稿完了,,ライスカレー,吉谷,
2505.0,モテコスメちゃん,skin1004１投稿目,直,5月発生6月払い,投稿制作費,250000.0,投稿完了,３投稿で75万円,NADESIKO,吉谷,6月にまとめて請求
2505.0,モテコスメちゃん,クレイパック,直,,投稿制作費,350000.0,請求書送付済,リールあり,NADESIKO,吉谷,
2505.0,モテコスメちゃん,グロー,,,二次利用費,100000.0,投稿完了,,,,請求情報✅
2505.0,モテコスメちゃん,,,,,,,,,,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,ビビちゃん,サミュ,サミュ,5月発生6月払い,投稿制作費,580000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,ビビちゃん,CVITAS+ 化粧水,,5月発生6月払い,投稿制作費,500000.0,請求書送付済,,NADESIKO,齊藤,
2505.0,ビビちゃん,プロカリテ,デジタルガレージ,5月発生6月払い,投稿制作費,234000.0,投稿完了,,ライスカレー,吉谷,
2505.0,ビビちゃん,ナンバーズイン,BENOW,5月発生6月払い,投稿制作費,800000.0,請求書送付済,3媒体二次利用あり,NADESIKO,吉谷,
2505.0,ビビちゃん,,,,,,,,,,
2505.0,ビビちゃん,,,,,,,,,,
2505.0,ビビちゃん,,,,,,,,,,
2505.0,ビビちゃん,,,,,,,,,,
2505.0,ビビちゃん,,,,,,,,,,
2505.0,ビビちゃん,,,,,,,,,,
2505.0,ビビちゃん,,,,,,,,,,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,美容探偵,パーフェクトワンフォーカス,gracemode,5月発生6月払い,投稿制作費,400000.0,請求書送付済,SAあり,NADESIKO,五十嵐,
2505.0,美容探偵,Anua,直クラ,5月発生6月払い,投稿制作費,300000.0,請求書送付済,SAあり,NADESIKO,吉谷,
