,,,,,,,,,,,
,売上,17267265,進捗率,目標,▲支出,4663078,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,TikTok売上,16205000,0.8816675873,18379943,▲投稿制作費（外注費、コスメ代）,817011,←未確定,モテコスメちゃん,1294709,0,1294709
,モテコスメちゃん,450000,0.1751329843,2569476.0,▲販管費,2678848.0,←未確定,ビビちゃん,840000,0,840000
,ビビちゃん,690000,0.2457196702,2808078.0,▲広告費,1167219,,美容探偵,580000,0,580000
,美容探偵,580000,0.3351647971,1730492.0,粗利,,,合計,2714709,0,2714709
,突撃ちゃん,1690000,1.57118685,1075620.0,16450254,,,,,,
,肌コミちゃん,2650000,2.07413669,1277640.0,営業利益,,,制作原価,817011,3メディア分,272337
,コスメ怪獣ちゃん,1925000,1.65717557,1161615.0,12604187,,0.766200145,,,,
,韓国オンニ,2325000,2.25065632,1033032.0,,,,,,,
,成分オタクちゃん,2030000,0.5218173639,3890250.0,目標,,,売上報告,True,,
,コスメ女子会ズ,2325000,1.745181048,1332240.0,,,,制作原価請求,True,,
,コスメ語りたい倶楽部,1540000,1.88034188,819000.0,14291390.0,,,,,,
,新規,0.0,0,682500.0,,,,,,,
,Instagram売上,850000,,,,,,,,,
,YouTube売上,0,,,0.8819426942,,,,,,
,その他,212265,,,,,,,,,
,,,,,,,,,,,
Month,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,モテコスメちゃん,メンソレータム カブレーナ乳液,Anyglo,,投稿制作費,450000.0,請求書送付済,SparkAds(1ヶ月)含む,NADESIKO,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
,モテコスメちゃん,,,,,,,,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,ビビちゃん,ANUA8月,直,,投稿制作費,390000.0,請求書送付済,SparkAds(1ヶ月)含む,NADESIKO,,
2508.0,ビビちゃん,ELT,JDTC,,投稿制作費,300000.0,請求書送付済,,NADESIKO,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,美容探偵,Dr.VT,直クラ,,投稿制作費,330000.0,請求書送付済,SparkAds(1ヶ月)含む、再撮影費含む,NADESIKO,,
2508.0,美容探偵,イージーデュー,GROVE,,投稿制作費,250000.0,請求書送付済,,NADESIKO,,
2508.0,,,,,,,,,NADESIKO,,
2508.0,美容探偵,,,,,,,,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,突撃ちゃん,VT COSMETICS,直,,投稿制作費,190000.0,請求書送付済,,NADESIKO,,
2508.0,突撃ちゃん,WOSADO,直,,投稿制作費,150000.0,請求書送付済,,,,
2508.0,突撃ちゃん,リデンス,F＆Lコーポレーション,,投稿制作費,200000.0,請求書送付済,,,,
2508.0,突撃ちゃん,skin1004,直,,投稿制作費,500000.0,請求書送付済,2投稿分の費用,,,
