,,,,,,,,,,
,売上,10476518,進捗率,目標,▲支出,2327277,,,,
2408.0,モテコスメちゃん,beplain,株式会社bibin,8月発生9月払い,IGリール,100000.0,請求書送付済,,ライスカレー,
2408.0,モテコスメちゃん,treecell,株式会社JDTC,8月発生9月払い,IGフィード,50000.0,請求書送付済,,ライスカレー,
2408.0,モテコスメちゃん,エスターフォーミュラ,株式会社CarryOn,8月発生9月払い,IGフィード,50000.0,請求書送付済,,ライスカレー,
2408.0,モテコスメちゃん,ANUA,YMS株式会社,8月発生9月払い,IGリール,100000.0,請求書送付済,リール,ライスカレー,
2408.0,ビビちゃん,ANUA,YMS株式会社,8月発生9月払い,IGリール,100000.0,請求書送付済,リール,ライスカレー,
2408.0,肌コミちゃん,ANUA,YMS株式会社,8月発生9月払い,IGリール,100000.0,請求書送付済,リール,HADO,
2408.0,おとちゃん,ANUA,YMS株式会社,8月発生9月払い,IGリール,100000.0,請求書送付済,リール,HADO,
2408.0,YouTubeタイアップ,,,,,,,,,
2408.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,
2408.0,ビビちゃん,ポイントマジックPRO ポアカバーC,株式会社黒龍堂,8月発生9月払い,YTS,100000.0,請求書送付済,,HADO,
2408.0,おとちゃん,,,,YTS,100000.0,請求書送付済,,HADO,
2408.0,ビビちゃん,FRANKLY,FRANKLY,8月発生9月払い,YTS,130000.0,請求書送付済,,ライスカレー,
,,,,,,,,,,
