,,,,,,,,,,,
,売上,9515160,進捗率,目標,▲支出,4642022,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,TikTok売上,6718160,0.6654371857,10095859,▲投稿制作費（外注費、コスメ代）,886185,,モテコスメちゃん,1070000,0,1070000
,モテコスメちゃん,1250000,0.592898124,2108288.0,▲販管費,1750537.0,,ビビちゃん,1150000,0,1150000
,ビビちゃん,1230000,0.5338393378,2304064.0,▲キャスティング,2005300,,美容探偵,1188160,0,1188160
,美容探偵,1238160,0.872010598,1419891.0,粗利,,,合計,3408160,0,3408160
,突撃ちゃん,300000,0.3399202321,882560.0,8628975,,,,,,
,肌コミちゃん,1750000,1.669337607,1048320.0,営業利益,,,制作原価,886185,3メディア分,295395
,おとちゃん,200000,0.2098371664,953120.0,4873138,,,,,,
,韓国オンニ,750000,0.8848346421,847616.0,,,,,,,
,成分オタクちゃん,0,0,532000.0,,,,売上報告,False,担当：吉谷,
,Instagram売上,570000,,,,,,制作原価請求,False,担当：吉谷,
,YouTube売上,0,,,,,,,,,
,タイアップ外売上,2227000,,,,,,,,,
,,,,,,,,,,,
Month,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,ディレ,,
2409.0,モテコスメちゃん,ファイントゥデイ「+tmr(プラストゥモロー)」,株式会社Starbank,9月発生10月払い,投稿制作費,450000.0,請求書送付済,第三者配信＋プレキャン利用＋プレキャン利用のAD配信,吉谷,,
2409.0,,,,,二次利用費,400000.0,,,,,
2409.0,モテコスメちゃん,heme,YMS株式会社,9月発生10月払い,投稿制作費,400000.0,請求書送付済,,吉谷,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2409.0,ビビちゃん,heme,YMS株式会社,9月発生10月払い,投稿制作費,350000.0,請求書送付済,,吉谷,,
2409.0,ビビちゃん,ダーマレーザー,株式会社OMOT,9月発生10月払い,投稿制作費,300000.0,請求書送付済,ライスプラン二次利用あり,吉谷,,
2409.0,ビビちゃん,おやすみスイッチ,MISM,9月発生10月払い,投稿制作費,400000.0,請求書送付済,,吉谷,,
2409.0,,,,,二次利用費,180000.0,,,,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2409.0,美容探偵,ウルトラチューン,APR,9月発生10月払い,投稿制作費,300000.0,請求書送付済,,吉谷,,
2409.0,,,,,二次利用費,50000.0,,,←バルク割適用もれ10万円から5万円,,
2409.0,美容探偵,ムーンショット,ブイ,9月発生10月払い,投稿制作費,338160.0,請求書送付済,,吉谷,,
2409.0,美容探偵,heme,YMS株式会社,9月発生10月払い,投稿制作費,250000.0,請求書送付済,,吉谷,,
2409.0,美容探偵,ダーマレーザー,株式会社OMOT,9月発生10月払い,投稿制作費,300000.0,請求書送付済,ライスプラン二次利用あり,吉谷,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2409.0,突撃ちゃん,ダーマレーザー,株式会社OMOT,9月発生10月払い,投稿制作費,250000.0,請求書送付済,セット割引,吉谷,,
2409.0,,,,,二次利用費,50000.0,,,,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2409.0,肌コミちゃん,TIRTIR,株式会社スターミュージック・エンタテインメント,9月発生10月払い,投稿制作費,250000.0,請求書送付済,,吉谷,,
2409.0,肌コミちゃん,obsero,株式会社Anyglo,9月発生10月払い,投稿制作費,250000.0,請求書送付済,,吉谷,,
2409.0,肌コミちゃん,アクアレーベル,トレンダーズ株式会社,9月発生10月払い,投稿制作費,250000.0,請求書送付済,,吉谷,,
2409.0,肌コミちゃん,KiSS　もちみずベース,トレンダーズ株式会社,9月発生10月払い,投稿制作費,250000.0,請求書送付済,,吉谷,,
2409.0,肌コミちゃん,シック・ジャパン,株式会社ウィングリット,9月発生10月払い,投稿制作費,250000.0,請求書送付済,投稿メディアでの第三者配信広告、制作した縦型動画素材を納品いただき投稿メディア以外のIG、Youtube広告での活用,吉谷,,
2409.0,,,,,二次利用費,180000.0,,,,,
2409.0,,,,,追加修正費,20000.0,,,,,
2409.0,肌コミちゃん,ダーマレーザー,株式会社OMOT,9月発生10月払い,投稿制作費,250000.0,請求書送付済,,吉谷,,
2409.0,,,,,二次利用費,50000.0,,セット割引,,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2409.0,備忘録ちゃん,東亜製薬,JammyWorks,9月発生10月払い,投稿制作費,200000.0,請求書送付済,,吉谷,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2409.0,韓国オンニ,アリウル,アリウル,9月発生10月払い,投稿制作費,200000.0,請求書送付済,請求書備考欄の記入事項をメールから確認、お送り先も確認,吉谷,,
2409.0,韓国オンニ,アゼペア,株式会社OMOT,9月発生10月払い,投稿制作費,200000.0,請求書送付済,,吉谷,,
2409.0,,,,,二次利用費,100000.0,,,,,
2409.0,韓国オンニ,UIQ,シーズマーケット,9月発生10月払い,投稿制作費,200000.0,請求書送付済,割引あり,吉谷,,
2409.0,,,,,二次利用費,50000.0,,,,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2409.0,成分オタクちゃん,,,,,,,,,,
2409.0,Instagramタイアップ,,,,,,,,,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2409.0,ビビちゃん,iHerb,AnyMind,9月発生10月払い,IGフィード,100000.0,請求書送付済,ストーリーズ有り,吉谷,,
2409.0,モテコスメちゃん,Torhop,Danmee株式会社,9月発生10月払い,IGフィード,70000.0,請求書送付済,ストーリーズ有り,吉谷,,
2409.0,肌コミちゃん,スージー エキスパート マイクロエアリーパウダーF,REECH,9月発生10月払い,IGリール,200000.0,請求書送付済,,吉谷,,
2409.0,肌コミちゃん,アモーレパシフィック,株式会社INFLUENCER BANK,9月発生10月払い,IGフィード,50000.0,請求書送付済,LINEにて記入事項確認,吉谷,,
2409.0,モテコスメちゃん,Tearal_A/W,ミンツプランニング,9月発生10月払い,IGフィード,50000.0,請求書送付済,1200立替費,吉谷,,
2409.0,モテコスメちゃん,ANUA,Founders Inc,9月発生10月払い,IGリール,100000.0,請求書送付済,,吉谷,,
,YouTubeタイアップ,,,,,,,,,,
,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
